Database???Annual by Province
Indicators£ºNumber of Foreigners Visitor(million person-times)
Year£ºLATEST10
Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Beijing,,3.40,3.32,3.55,3.58,3.65,3.88,4.34,4.47,4.22
Tianjin,,0.56,0.69,0.72,0.69,0.67,0.66,0.64,0.64,1.53
Hebei,,0.75,0.70,0.66,0.60,0.60,0.70,1.07,0.98,0.85
Shanxi,,0.47,0.43,0.40,0.38,0.36,0.39,1.20,0.98,0.82
Inner Mongolia,,1.79,1.76,1.68,1.53,1.60,1.55,1.51,1.48,1.40
Liaoning,,2.30,2.17,2.12,2.05,2.01,1.74,3.89,3.39,3.07
Jilin,,1.24,1.28,1.42,1.29,1.13,1.08,1.01,0.85,0.72
Heilongjiang,,1.04,0.98,0.91,0.79,1.32,1.45,1.95,1.98,1.65
Shanghai,,6.02,5.89,5.73,5.41,5.23,5.11,5.40,5.55,5.93
Jiangsu,,2.65,2.42,2.18,2.01,1.97,1.93,5.75,5.38,4.73
Zhejiang,,3.23,4.30,3.87,3.34,2.70,2.52,5.71,5.15,4.47
Anhui,,2.19,2.05,1.84,1.71,1.61,1.67,1.90,1.52,1.17
Fujian,,2.18,2.93,2.54,1.34,1.27,1.15,1.67,1.40,1.15
Jiangxi,,0.57,0.57,0.50,0.45,0.45,0.40,0.50,0.44,0.40
Shandong,,3.06,3.16,2.38,2.26,2.18,2.06,3.42,3.12,2.78
Henan,,1.05,1.00,0.96,0.84,0.72,0.73,1.19,1.04,0.96
Hubei,,3.07,2.78,2.55,2.40,2.13,2.05,1.93,1.60,1.39
Hunan,,1.79,1.55,1.27,1.18,1.00,0.88,0.91,1.20,1.03
Guangdong,,8.62,8.65,9.09,7.84,7.75,7.61,7.73,7.49,7.33
Guangxi,,2.70,2.55,2.52,2.39,1.47,1.51,1.93,1.71,1.41
Hainan,,0.90,0.79,0.47,0.36,0.42,0.50,0.52,0.56,0.47
Chongqing,,1.59,1.36,1.19,0.99,0.81,0.77,1.53,1.33,1.04
Sichuan,,2.76,2.41,2.19,1.93,1.70,1.47,1.51,1.14,0.75
Guizhou,,0.18,0.13,0.32,0.30,0.28,0.27,0.30,0.24,0.19
Yunnan,,5.50,5.08,4.51,4.20,2.06,2.13,3.30,2.81,2.31
Tibet,,0.24,0.27,0.21,0.14,0.20,0.19,0.17,0.25,0.21
Shaanxi,,3.07,2.62,2.29,1.94,1.86,1.79,2.34,1.90,1.55
Gansu,,0.06,0.04,0.04,0.03,0.03,0.06,0.07,0.05,0.05
Qinghai,,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03
Ningxia,,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01
Xinjiang,,0.86,0.67,0.52,0.46,0.48,0.60,0.49,0.49,0.45
Data Sources£ºNational Bureau of Statistics
