Database???Annual by Province
Indicators£ºNumber of Beds of Medical Institutions(10000 units)
Year£ºLATEST10
Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Beijing,,12.36,12.06,11.70,11.16,10.98,10.40,10.02,9.47,9.28
Tianjin,,6.82,6.84,6.58,6.37,6.09,5.77,5.35,4.94,4.88
Hebei,,42.19,39.50,36.05,34.21,32.29,30.35,28.44,26.65,24.97
Shanxi,,20.83,19.75,18.97,18.32,17.74,17.26,16.53,15.71,15.59
Inner Mongolia,,15.90,15.03,13.92,13.39,12.90,12.01,11.08,10.06,9.34
Liaoning,,31.44,29.86,28.44,26.70,25.55,24.19,23.10,21.58,20.42
Jilin,,16.70,15.37,15.12,14.45,14.10,13.32,12.78,12.12,11.51
Heilongjiang,,25.01,24.17,22.01,21.26,20.13,18.92,17.82,16.53,15.99
Shanghai,,13.90,13.46,12.92,12.28,11.75,11.43,10.98,10.71,10.51
Jiangsu,,49.15,46.92,44.31,41.36,39.23,36.83,33.31,29.64,26.95
Zhejiang,,33.21,31.35,28.99,27.25,24.58,23.01,21.33,19.48,18.41
Anhui,,32.81,30.57,28.17,26.74,25.20,23.60,22.23,20.42,18.80
Fujian,,19.25,18.24,17.48,17.30,16.48,15.61,13.93,12.42,11.30
Jiangxi,,24.95,23.40,20.91,19.78,18.67,17.43,16.37,13.56,12.46
Shandong,,60.85,58.48,54.10,51.94,50.06,48.97,47.38,41.61,38.23
Henan,,60.85,55.90,52.15,48.96,45.93,42.98,39.40,34.96,32.76
Hubei,,39.35,37.62,36.06,34.31,31.75,28.82,25.30,22.40,20.04
Hunan,,48.24,45.23,42.58,39.70,35.55,31.41,28.70,25.77,23.35
Guangdong,,51.69,49.21,46.51,43.57,40.58,37.84,35.53,32.50,30.01
Guangxi,,25.59,24.11,22.45,21.45,20.16,18.72,16.87,15.20,14.37
Hainan,,4.48,4.20,4.03,3.87,3.45,3.21,3.03,2.85,2.60
Chongqing,,22.01,20.64,19.09,17.65,16.06,14.74,13.08,11.56,10.36
Sichuan,,59.89,56.35,51.92,48.88,45.96,42.66,39.01,33.47,30.12
Guizhou,,24.56,23.30,21.03,19.64,18.22,16.67,13.92,11.75,10.53
Yunnan,,29.12,27.48,25.36,23.76,22.49,21.01,19.47,17.34,15.71
Tibet,,1.68,1.61,1.45,1.40,1.19,1.10,0.84,0.96,0.88
Shaanxi,,25.37,24.13,22.54,21.19,19.94,18.51,16.92,15.38,14.23
Gansu,,16.27,14.66,13.43,12.77,12.24,11.61,11.23,9.49,9.04
Qinghai,,3.91,3.83,3.47,3.45,3.30,2.95,2.60,2.31,2.05
Ningxia,,4.10,3.98,3.63,3.38,3.25,3.11,2.78,2.58,2.37
Xinjiang,,17.89,16.76,15.69,15.03,14.30,13.73,13.16,12.54,11.62
Data Sources£ºNational Bureau of Statistics
