Database???Annual by Province
Indicators£ºPassenger Traffic(10000 persons)
Year£ºLATEST10
Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Beijing,,58935,58871,61519,62849,65063,64161,142731,139718,135045
Tianjin,,17450,17440,18377,18345,18300,17995,27529,24934,24525
Hebei,,47346,50023,50701,53274,60725,61718,105064,99458,90847
Shanxi,,23837,25155,26374,29612,34168,34899,39987,39208,38424
Inner Mongolia,,13268,14867,15735,16125,18283,20819,27630,26014,24043
Liaoning,,71343,72483,73632,73692,94172,91735,103283,98606,101525
Jilin,,31956,32989,34910,36359,35004,34148,72679,68190,64486
Heilongjiang,,31568,34670,39386,42869,46841,45566,52404,50481,46895
Shanghai,,15845,15485,14416,13844,13317,11691,10859,10033,10233
Jiangsu,,120612,126783,133580,138308,155207,151444,267710,246855,226073
Zhejiang,,98380,104497,105018,111369,130145,135348,233115,230769,226946
Anhui,,63347,69105,81106,86810,139553,126710,213432,185575,159388
Fujian,,48105,51134,51649,51646,58719,55107,82041,79549,75798
Jiangxi,,60686,62997,62876,62418,67795,65067,84240,78930,76447
Shandong,,67443,65299,63463,60356,74378,75074,265632,251187,249358
Henan,,110421,114351,120528,125015,140180,136237,207247,193285,167223
Hubei,,98350,103144,102990,102035,100730,91522,127079,112422,103268
Hunan,,106680,114936,121760,131311,161837,159726,184336,171371,156404
Guangdong,,142144,137418,130345,123926,180789,153120,574266,510653,456139
Guangxi,,47931,48578,48699,49101,51904,49275,90229,83100,75751
Hainan,,14383,14660,13912,13728,14210,13328,47117,46224,44209
Chongqing,,60587,60522,61255,62282,68399,65183,156545,140398,126066
Sichuan,,98569,109093,123746,135969,138274,134775,277611,258845,241868
Guizhou,,93025,91803,89464,87541,86571,83436,83527,72428,70819
Yunnan,,41484,44622,46519,48794,49080,47626,48456,44963,39407
Tibet,,1399,1319,1155,1092,1571,1455,3849,3769,8165
Shaanxi,,71583,67880,69820,69680,74188,70133,111773,107032,93171
Gansu,,42185,42638,41626,40453,38986,36163,64361,60902,53771
Qinghai,,6443,6274,5934,5602,5444,4790,12692,11870,10951
Ningxia,,6137,7345,8757,9300,9186,8418,16343,15104,13560
Xinjiang,,21204,27083,32148,35948,37176,40926,38331,35130,31937
Data Sources£ºNational Bureau of Statistics
