Database???Annual by Province
Indicators£ºPossession of Private Vehicles(10000 units)
Year£ºLATEST10
Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Beijing,,478.49,466.61,452.04,439.33,435.79,424.95,405.55,387.29,371.51
Tianjin,,250.11,242.51,234.39,234.68,235.15,224.36,185.54,155.46,125.70
Hebei,,1411.48,1279.38,1143.78,978.65,834.90,719.46,624.04,510.61,404.16
Shanxi,,588.35,533.70,472.94,414.68,367.02,318.88,270.45,230.20,186.60
Inner Mongolia,,488.34,439.36,379.95,334.90,300.49,263.86,223.66,188.08,147.47
Liaoning,,687.38,620.99,553.39,478.94,416.98,355.94,304.82,250.59,198.81
Jilin,,380.86,349.80,315.00,275.21,242.18,206.13,170.19,141.36,114.49
Heilongjiang,,425.79,385.96,344.29,299.11,265.03,231.06,201.37,172.02,139.65
Shanghai,,302.14,274.38,242.66,208.65,183.30,163.23,141.16,119.75,103.71
Jiangsu,,1531.36,1401.92,1245.83,1070.12,927.48,780.43,646.69,528.86,418.13
Zhejiang,,1346.46,1227.09,1104.23,976.99,869.95,763.87,643.34,534.70,431.52
Anhui,,707.63,612.37,511.45,411.36,335.40,274.57,223.41,178.46,136.85
Fujian,,544.20,491.72,435.31,377.95,329.53,277.49,230.88,189.60,151.93
Jiangxi,,478.52,412.75,349.06,286.21,234.17,190.71,149.58,117.18,87.38
Shandong,,1910.26,1736.35,1550.65,1351.83,1191.62,1039.55,877.56,708.53,577.11
Henan,,1318.28,1155.83,992.37,836.73,775.77,580.64,467.80,383.63,294.76
Hubei,,690.79,605.67,519.69,428.31,349.64,282.94,227.45,185.38,148.65
Hunan,,722.34,630.42,544.16,457.79,384.71,318.49,261.59,212.89,169.24
Guangdong,,1861.11,1678.99,1485.17,1292.68,1149.83,995.93,863.46,745.37,628.12
Guangxi,,531.74,450.61,375.81,314.12,266.87,223.01,177.42,140.40,108.33
Hainan,,109.66,97.94,82.87,70.69,61.65,51.40,42.68,35.51,28.09
Chongqing,,362.59,320.14,278.64,231.64,190.58,148.37,117.10,89.89,74.15
Sichuan,,975.38,884.86,786.03,676.09,576.10,485.52,408.89,342.29,280.95
Guizhou,,436.19,374.34,310.62,254.41,207.47,166.28,132.21,106.26,87.81
Yunnan,,620.72,568.11,498.07,429.86,373.78,318.54,273.79,228.11,185.57
Tibet,,42.33,35.94,31.16,26.74,23.01,19.54,15.22,13.09,11.03
Shaanxi,,554.94,495.03,440.26,386.02,331.66,280.79,230.79,185.39,144.11
Gansu,,265.57,240.86,207.41,171.12,141.96,114.54,90.17,69.65,52.74
Qinghai,,91.05,82.38,72.96,63.12,54.10,44.67,35.78,27.48,19.95
Ningxia,,131.67,118.77,103.63,88.87,77.61,65.33,53.49,41.42,30.94
Xinjiang,,329.21,300.32,266.39,232.32,205.60,171.20,142.52,107.37,79.25
Data Sources£ºNational Bureau of Statistics
