Database???Annual by Province
Indicators£ºResident Population (year-end)(10000 persons)
Year£ºLATEST10
Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Beijing,,2154,2171,2173,2171,2152,2115,2069,2019,1962
Tianjin,,1560,1557,1562,1547,1517,1472,1413,1355,1299
Hebei,,7556,7520,7470,7425,7384,7333,7288,7241,7194
Shanxi,,3718,3702,3682,3664,3648,3630,3611,3593,3574
Inner Mongolia,,2534,2529,2520,2511,2505,2498,2490,2482,2472
Liaoning,,4359,4369,4378,4382,4391,4390,4389,4383,4375
Jilin,,2704,2717,2733,2753,2752,2751,2750,2749,2747
Heilongjiang,,3773,3789,3799,3812,3833,3835,3834,3834,3833
Shanghai,,2424,2418,2420,2415,2426,2415,2380,2347,2303
Jiangsu,,8051,8029,7999,7976,7960,7939,7920,7899,7869
Zhejiang,,5737,5657,5590,5539,5508,5498,5477,5463,5447
Anhui,,6324,6255,6196,6144,6083,6030,5988,5968,5957
Fujian,,3941,3911,3874,3839,3806,3774,3748,3720,3693
Jiangxi,,4648,4622,4592,4566,4542,4522,4504,4488,4462
Shandong,,10047,10006,9947,9847,9789,9733,9685,9637,9588
Henan,,9605,9559,9532,9480,9436,9413,9406,9388,9405
Hubei,,5917,5902,5885,5852,5816,5799,5779,5758,5728
Hunan,,6899,6860,6822,6783,6737,6691,6639,6596,6570
Guangdong,,11346,11169,10999,10849,10724,10644,10594,10505,10441
Guangxi,,4926,4885,4838,4796,4754,4719,4682,4645,4610
Hainan,,934,926,917,911,903,895,887,877,869
Chongqing,,3102,3075,3048,3017,2991,2970,2945,2919,2885
Sichuan,,8341,8302,8262,8204,8140,8107,8076,8050,8045
Guizhou,,3600,3580,3555,3530,3508,3502,3484,3469,3479
Yunnan,,4830,4801,4771,4742,4714,4687,4659,4631,4602
Tibet,,344,337,331,324,318,312,308,303,300
Shaanxi,,3864,3835,3813,3793,3775,3764,3753,3743,3735
Gansu,,2637,2626,2610,2600,2591,2582,2578,2564,2560
Qinghai,,603,598,593,588,583,578,573,568,563
Ningxia,,688,682,675,668,662,654,647,639,633
Xinjiang,,2487,2445,2398,2360,2298,2264,2233,2209,2185
"Note:Population data for 2000 and 2001 are estimated on the basis of population census, the rest of the data are estimated on the basis of the annual national sample surveys on population changes. Population data by region are permanent resident population since 2005."
Data Sources£ºNational Bureau of Statistics
