Database???Annual by Province
Indicators£ºRural Population(10000 persons)
Year£ºLATEST10
Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Beijing,,291,293,293,293,294,290,286,279,275
Tianjin,,263,266,267,269,269,265,261,264,266
Hebei,,3292,3383,3487,3614,3741,3804,3877,3939,3993
Shanxi,,1546,1579,1612,1648,1686,1722,1760,1808,1857
Inner Mongolia,,945,961,978,997,1014,1031,1052,1077,1100
Liaoning,,1391,1420,1429,1431,1447,1473,1508,1576,1658
Jilin,,1148,1178,1203,1230,1244,1260,1273,1281,1281
Heilongjiang,,1505,1538,1550,1570,1609,1634,1652,1668,1700
Shanghai,,288,297,293,299,252,251,255,251,246
Jiangsu,,2447,2508,2582,2670,2769,2849,2930,3009,3102
Zhejiang,,1784,1810,1845,1894,1935,1979,2016,2060,2090
Anhui,,2865,2909,2975,3041,3093,3144,3204,3294,3395
Fujian,,1347,1377,1410,1436,1454,1481,1514,1559,1584
Jiangxi,,2044,2098,2154,2209,2261,2312,2364,2437,2496
Shandong,,3900,3944,4076,4233,4404,4502,4607,4727,4823
Henan,,4638,4764,4909,5039,5171,5290,5415,5579,5784
Hubei,,2349,2402,2466,2525,2578,2638,2687,2774,2881
Hunan,,3034,3113,3223,3331,3417,3482,3542,3621,3725
Guangdong,,3324,3367,3388,3395,3432,3432,3454,3519,3531
Guangxi,,2452,2481,2512,2539,2567,2604,2644,2703,2766
Hainan,,382,389,396,409,418,423,429,434,436
Chongqing,,1070,1105,1140,1178,1209,1237,1267,1313,1355
Sichuan,,3979,4085,4196,4292,4371,4467,4561,4683,4812
Guizhou,,1889,1932,1985,2047,2104,2177,2216,2256,2303
Yunnan,,2521,2559,2623,2687,2747,2789,2828,2927,3005
Tibet,,237,233,233,234,236,238,238,234,232
Shaanxi,,1618,1657,1703,1748,1791,1833,1876,1973,2026
Gansu,,1379,1408,1444,1477,1511,1546,1579,1612,1635
Qinghai,,275,281,287,292,293,298,301,306,311
Ningxia,,283,287,295,299,307,314,319,321,330
Xinjiang,,1221,1238,1239,1245,1240,1257,1251,1247,1245
"Note:Population data for 2000 and 2001 are estimated on the basis of population census, the rest of the data are estimated on the basis of the annual national sample surveys on population changes. Population data by region are permanent resident population since 2005."
Data Sources£ºNational Bureau of Statistics
