Database???Annual by Province
Indicators£ºNumber of Students Per 100 000 Population in Junior _Secondary Education(person)
Year£ºLATEST10
Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Beijing,,1285,1226,1236,1317,1451,1501,1513,1541,1766
Tianjin,,1800,1679,1657,1724,1815,1845,1893,2017,2226
Hebei,,3765,3481,3281,3198,3121,2866,3002,2989,3145
Shanxi,,3073,2940,2982,3089,3358,3576,4182,4597,5004
Inner Mongolia,,2517,2455,2439,2553,2681,2765,3007,3202,3364
Liaoning,,2255,2201,2233,2307,2405,2409,2589,2734,2946
Jilin,,2431,2264,2195,2164,2264,2345,2534,2736,3011
Heilongjiang,,2462,2380,2371,2348,2389,2433,3142,3193,3377
Shanghai,,1789,1701,1711,1700,1767,1835,1843,1870,2216
Jiangsu,,2812,2609,2444,2346,2333,2345,2494,2683,3016
Zhejiang,,2854,2788,2714,2686,2727,2707,2733,2838,3226
Anhui,,3344,3263,3161,3125,3191,3335,3570,4195,4551
Fujian,,3291,3138,3008,2978,2983,2957,3012,3134,3517
Jiangxi,,4478,4160,3948,3884,3870,3895,4334,4504,4514
Shandong,,3455,3311,3208,3175,3234,3283,3405,3600,3681
Henan,,4727,4502,4386,4290,4242,4094,4834,4976,4948
Hubei,,2690,2527,2418,2348,2373,2567,2740,3563,3813
Hunan,,3505,3366,3318,3301,3298,3228,3201,3293,3355
Guangdong,,3335,3238,3206,3313,3540,3821,4212,4588,5189
Guangxi,,4353,4206,4144,4129,4134,4167,4233,4356,4127
Hainan,,3810,3635,3554,3642,3768,3910,4157,4516,4879
Chongqing,,3400,3249,3202,3211,3298,3455,3725,4125,4483
Sichuan,,3154,3015,2984,3027,3187,3365,3779,4060,4207
Guizhou,,5051,5147,5358,5643,5906,6036,6057,6146,5654
Yunnan,,3877,3925,3950,4018,4050,4023,4220,4460,4551
Tibet,,3840,3763,3712,3696,3983,4095,4295,4531,4792
Shaanxi,,2830,2753,2771,2837,2968,3202,3515,4013,4356
Gansu,,3313,3280,3370,3509,3760,4018,4603,5021,5252
Qinghai,,3726,3471,3536,3656,3669,3632,3674,3968,3938
Ningxia,,4259,4136,4112,4144,4254,4401,4579,4734,4919
Xinjiang,,3781,3761,3792,3949,4025,4113,4270,4469,4648
Note:Junior secondary schools include regular junior schools and junior vocational schools.
Data Sources£ºNational Bureau of Statistics
