Database???Annual by Province
Indicators£ºNumber of Students Per 100 000 Population in Higher _Education(person)
Year£ºLATEST10
Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Beijing,,5268,5300,5028,5218,5429,5469,5534,5613,6196
Tianjin,,4150,4072,4058,4185,4283,4346,4358,4329,4412
Hebei,,2457,2328,2191,2141,2098,2108,2063,2006,1951
Shanxi,,2383,2401,2439,2504,2519,2474,2351,2202,2132
Inner Mongolia,,1984,1969,1937,2035,2156,2137,2042,1920,1884
Liaoning,,2866,2859,2845,2876,2933,2903,2811,2712,2671
Jilin,,3131,3038,3048,3169,3168,3033,2889,2807,2716
Heilongjiang,,2405,2403,2427,2518,2555,2529,2441,2409,2447
Shanghai,,3517,3498,3327,3330,3348,3421,3481,3556,4300
Jiangsu,,3143,3045,2937,2896,2858,2814,2786,2824,2819
Zhejiang,,2370,2345,2355,2414,2408,2363,2288,2218,2285
Anhui,,2245,2250,2259,2309,2245,2203,2101,2007,1841
Fujian,,2355,2352,2438,2508,2513,2435,2301,2200,2144
Jiangxi,,2771,2676,2698,2654,2527,2381,2295,2212,2162
Shandong,,2588,2519,2620,2516,2421,2304,2238,2191,2202
Henan,,2653,2455,2352,2293,2203,2114,2012,1901,1839
Hubei,,3088,3000,2950,3038,3121,3144,3078,2991,2906
Hunan,,2610,2419,2251,2215,2160,2106,2087,2054,2051
Guangdong,,2542,2454,2431,2434,2356,2199,2082,1978,2037
Guangxi,,2602,2383,2279,2178,2052,1939,1834,1688,1530
Hainan,,2305,2261,2258,2290,2317,2253,2218,2079,2036
Chongqing,,3081,3084,3059,3071,3017,2894,2734,2522,2413
Sichuan,,2409,2339,2314,2312,2244,2140,2037,1904,1790
Guizhou,,2254,2129,2005,1819,1690,1535,1392,1254,1109
Yunnan,,2166,1999,1889,1819,1731,1662,1566,1520,1391
Tibet,,1616,1678,1765,1766,1676,1528,1508,1446,1373
Shaanxi,,3562,3582,3540,3628,3652,3612,3525,3378,3208
Gansu,,2258,2217,2189,2194,2219,2193,2145,2041,1882
Qinghai,,1426,1391,1319,1275,1220,1162,1133,1082,1119
Ningxia,,2379,2278,2225,2244,2255,2195,2107,1912,1868
Xinjiang,,1954,1863,1780,1759,1749,1681,1596,1521,1467
Note:Institutions of higher education include that of regular institutions of higher education and institutions of higher education for adults.
Data Sources£ºNational Bureau of Statistics
