date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,9,6,0.0,3.8,1,1,11,04:51 AM,03:10 PM,07:13 AM,05:35 PM,5,6,7,6,11,83,86,0.0,1022,9,8,127,8
2020-01-23,10,7,0.0,5.5,1,1,3,05:49 AM,04:02 PM,07:12 AM,05:36 PM,5,6,8,6,18,80,81,0.0,1025,10,9,61,13
2020-01-24,8,6,0.0,3.8,1,1,0,06:41 AM,04:58 PM,07:12 AM,05:37 PM,3,4,7,4,23,86,75,1.0,1030,8,10,73,17
2020-01-25,8,5,0.0,5.5,1,1,0,07:29 AM,05:56 PM,07:11 AM,05:38 PM,1,3,6,3,21,83,71,0.4,1030,8,9,48,16
2020-01-26,3,-2,0.0,3.9,1,1,4,08:09 AM,06:53 PM,07:11 AM,05:39 PM,2,-2,3,-2,24,100,94,20.8,1027,3,8,27,18
2020-01-27,5,3,1.1,3.9,1,1,11,08:46 AM,07:50 PM,07:10 AM,05:40 PM,1,1,4,1,15,95,87,2.3,1024,5,8,313,11
2020-01-28,8,2,0.0,8.7,1,1,18,09:18 AM,08:44 PM,07:10 AM,05:41 PM,-0,2,5,2,14,35,72,0.0,1024,8,10,302,10
2020-01-29,9,2,0.0,7.1,1,1,26,09:48 AM,09:39 PM,07:09 AM,05:41 PM,1,4,6,4,13,32,69,0.0,1025,9,10,306,9
2020-01-30,11,3,0.0,8.7,1,1,33,10:17 AM,10:32 PM,07:09 AM,05:42 PM,1,5,7,5,10,2,64,0.0,1025,11,10,326,8
2020-01-31,15,6,0.0,8.7,1,1,37,10:45 AM,11:26 PM,07:08 AM,05:43 PM,2,9,10,9,9,4,61,0.0,1025,15,10,184,7
2020-02-01,12,5,0.0,5.5,1,1,49,11:14 AM,No moonset,07:07 AM,05:44 PM,0,6,8,6,16,56,59,0.0,1026,12,10,114,10
2020-02-02,13,5,0.0,8.7,1,1,57,11:45 AM,12:20 AM,07:07 AM,05:45 PM,-0,8,9,8,11,40,53,0.0,1026,13,10,232,7
2020-02-03,11,4,0.0,7.1,1,1,64,12:18 PM,01:16 AM,07:06 AM,05:46 PM,2,5,8,5,20,67,68,0.0,1028,11,10,97,14
2020-02-04,17,5,0.0,8.7,1,1,72,12:57 PM,02:14 AM,07:05 AM,05:47 PM,4,9,10,9,12,9,68,0.0,1025,17,10,158,8
2020-02-05,9,4,0.0,5.5,1,1,79,01:42 PM,03:14 AM,07:05 AM,05:48 PM,2,3,6,3,31,50,76,0.0,1029,9,10,87,22
2020-02-06,5,1,0.0,3.9,1,1,87,02:34 PM,04:15 AM,07:04 AM,05:49 PM,2,-0,4,-0,28,100,85,2.9,1029,5,8,87,21
2020-02-07,8,4,0.0,3.9,1,1,95,03:34 PM,05:15 AM,07:03 AM,05:50 PM,3,4,6,4,9,83,84,0.8,1030,8,9,72,7
2020-02-08,10,5,0.0,5.5,1,1,100,04:40 PM,06:11 AM,07:02 AM,05:51 PM,3,7,8,7,6,61,74,0.0,1032,10,10,307,4
2020-02-09,15,5,0.0,8.7,1,1,100,05:50 PM,07:02 AM,07:01 AM,05:52 PM,4,9,10,9,13,4,66,0.0,1029,15,10,238,10
2020-02-10,16,7,0.0,8.7,1,1,83,07:01 PM,07:48 AM,07:01 AM,05:53 PM,4,10,12,10,15,23,63,0.0,1023,16,10,169,10
