date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,16,11,0.0,10.0,1,1,11,05:28 AM,04:00 PM,07:48 AM,06:22 PM,5,14,14,14,5,60,57,0.8,1018,16,10,214,4
2020-01-23,16,11,0.0,10.0,1,1,3,06:24 AM,04:53 PM,07:48 AM,06:23 PM,6,13,13,13,7,58,62,0.3,1019,16,10,40,6
2020-01-24,14,10,0.0,5.4,1,1,0,07:17 AM,05:49 PM,07:48 AM,06:24 PM,6,11,11,11,8,90,71,0.5,1024,14,10,242,6
2020-01-25,9,1,0.0,5.4,1,1,0,08:04 AM,06:45 PM,07:47 AM,06:25 PM,6,8,8,8,5,94,81,11.9,1026,9,6,193,4
2020-01-26,13,7,0.0,8.5,1,1,4,08:46 AM,07:42 PM,07:47 AM,06:26 PM,4,10,10,10,6,65,68,0.0,1023,13,10,128,5
2020-01-27,13,9,0.0,5.4,1,1,11,09:24 AM,08:37 PM,07:47 AM,06:26 PM,3,11,11,11,8,78,58,0.0,1021,13,10,95,6
2020-01-28,14,10,0.0,10.8,1,1,18,09:58 AM,09:31 PM,07:46 AM,06:27 PM,3,12,12,12,6,53,56,0.2,1023,14,10,96,5
2020-01-29,15,9,0.0,10.8,1,1,26,10:29 AM,10:23 PM,07:46 AM,06:28 PM,4,13,13,13,4,20,56,0.0,1026,15,10,217,3
2020-01-30,16,10,0.0,10.8,1,1,33,10:59 AM,11:15 PM,07:45 AM,06:29 PM,3,14,13,14,7,17,51,0.0,1023,16,10,70,5
2020-01-31,11,10,0.0,5.4,1,1,37,11:29 AM,No moonset,07:45 AM,06:30 PM,6,10,11,10,9,92,71,2.4,1021,11,7,68,7
2020-02-01,13,10,0.0,5.4,1,1,49,11:59 AM,12:07 AM,07:44 AM,06:31 PM,6,11,11,11,7,97,70,0.8,1021,13,8,160,6
2020-02-02,11,10,0.0,5.4,1,1,57,12:31 PM,01:00 AM,07:44 AM,06:32 PM,7,10,10,10,6,98,78,4.6,1024,11,9,210,5
2020-02-03,13,9,0.0,7.0,1,1,64,01:06 PM,01:55 AM,07:43 AM,06:32 PM,6,11,11,11,5,76,73,3.2,1025,13,9,113,4
2020-02-04,16,8,0.0,10.9,1,1,72,01:46 PM,02:52 AM,07:42 AM,06:33 PM,4,12,12,12,7,26,61,0.0,1023,16,10,62,6
2020-02-05,12,10,0.0,5.5,1,1,79,02:32 PM,03:51 AM,07:42 AM,06:34 PM,6,10,11,10,11,79,73,5.6,1019,12,10,58,8
2020-02-06,13,10,0.0,5.5,1,1,87,03:25 PM,04:51 AM,07:41 AM,06:35 PM,8,11,11,11,6,81,80,7.0,1021,13,10,202,5
2020-02-07,15,9,0.0,7.0,1,1,95,04:25 PM,05:50 AM,07:40 AM,06:36 PM,6,12,12,12,8,50,68,0.0,1025,15,10,47,6
2020-02-08,16,10,0.0,10.1,1,1,100,05:31 PM,06:47 AM,07:40 AM,06:37 PM,6,13,13,13,7,50,61,0.1,1029,16,10,28,6
2020-02-09,17,12,0.0,10.1,1,1,100,06:39 PM,07:39 AM,07:39 AM,06:37 PM,6,14,14,14,4,62,60,0.6,1028,17,8,188,3
2020-02-10,12,11,0.0,5.5,1,1,83,07:49 PM,08:26 AM,07:38 AM,06:38 PM,8,11,12,11,6,89,78,4.7,1021,12,8,99,5
2020-02-11,17,9,0.0,10.1,1,1,75,08:57 PM,09:10 AM,07:37 AM,06:39 PM,7,14,14,14,5,29,68,0.0,1019,17,10,37,4
2020-02-12,20,12,0.0,11.0,1,1,68,10:04 PM,09:49 AM,07:37 AM,06:40 PM,8,16,16,16,7,22,62,0.1,1016,20,10,50,5
2020-02-13,20,14,0.0,8.6,1,1,60,11:10 PM,10:27 AM,07:36 AM,06:41 PM,9,17,17,17,7,52,62,0.2,1011,20,10,39,5
2020-02-14,16,10,0.0,5.5,1,1,53,No moonrise,11:05 AM,07:35 AM,06:41 PM,9,14,15,14,10,76,70,0.2,1011,16,10,233,7
2020-02-15,6,-2,0.0,5.5,1,1,45,12:15 AM,11:44 AM,07:34 AM,06:42 PM,2,2,5,2,14,92,80,25.1,1027,6,7,225,12
2020-02-16,13,4,0.0,11.1,1,1,38,01:19 AM,12:25 PM,07:33 AM,06:43 PM,-2,8,9,8,9,33,54,0.5,1032,13,9,118,7
2020-02-17,16,9,0.0,11.1,1,1,30,02:21 AM,01:09 PM,07:32 AM,06:44 PM,-1,12,12,12,5,9,42,0.0,1032,16,10,97,4
2020-02-18,15,10,0.0,10.1,1,1,22,03:23 AM,01:57 PM,07:32 AM,06:44 PM,2,12,12,12,7,56,49,0.0,1026,15,10,77,5
2020-02-19,16,11,0.0,8.6,1,1,15,04:20 AM,02:48 PM,07:31 AM,06:45 PM,5,12,13,12,9,59,62,0.6,1024,16,8,143,7
2020-02-20,12,11,0.0,5.6,1,1,7,05:14 AM,03:43 PM,07:30 AM,06:46 PM,6,11,11,11,8,81,68,0.1,1025,12,10,24,6
2020-02-21,17,10,0.0,11.2,1,1,0,06:02 AM,04:38 PM,07:29 AM,06:47 PM,5,13,13,13,7,46,61,0.1,1031,17,10,116,5
2020-02-22,15,11,0.0,5.6,1,1,0,06:45 AM,05:35 PM,07:28 AM,06:47 PM,7,13,13,13,7,64,65,0.0,1028,15,10,47,6
2020-02-23,14,13,0.0,5.6,1,1,0,07:23 AM,06:29 PM,07:27 AM,06:48 PM,8,14,13,14,5,93,68,0.2,1022,14,10,139,4
2020-02-24,16,12,0.0,5.6,1,1,0,07:58 AM,07:24 PM,07:26 AM,06:49 PM,9,14,13,14,4,76,76,0.6,1016,16,9,250,4
2020-02-25,19,13,0.0,11.3,1,1,8,08:30 AM,08:16 PM,07:25 AM,06:50 PM,9,15,15,15,6,32,66,0.0,1016,19,10,60,5
2020-02-26,18,14,0.0,5.6,1,1,15,09:00 AM,09:09 PM,07:24 AM,06:50 PM,11,16,16,16,8,85,74,0.2,1016,18,10,29,6
2020-02-27,16,15,0.0,5.6,1,1,23,09:30 AM,10:01 PM,07:23 AM,06:51 PM,13,15,15,15,6,98,89,13.3,1014,16,7,243,5
2020-02-28,18,15,0.0,5.7,1,1,30,09:59 AM,10:53 PM,07:22 AM,06:52 PM,13,16,16,16,5,80,82,8.4,1015,18,9,242,4
2020-02-29,17,13,0.0,7.1,1,1,38,10:30 AM,11:47 PM,07:21 AM,06:52 PM,11,15,15,15,5,56,79,0.2,1014,17,10,135,4
2020-03-01,21,14,0.0,11.3,1,1,44,11:04 AM,No moonset,07:20 AM,06:53 PM,11,17,17,17,5,44,68,0.0,1016,21,10,176,4
2020-03-02,13,9,0.0,5.7,1,1,51,11:41 AM,12:41 AM,07:19 AM,06:54 PM,9,12,13,12,14,94,77,8.5,1018,13,9,64,11
2020-03-03,14,10,0.0,5.7,1,1,58,12:22 PM,01:38 AM,07:17 AM,06:55 PM,8,11,12,11,9,93,75,2.4,1021,14,10,66,7
2020-03-04,16,11,0.0,5.7,1,1,65,01:11 PM,02:36 AM,07:16 AM,06:55 PM,8,13,13,13,9,80,70,0.9,1023,16,8,89,7
2020-03-05,15,12,0.0,7.2,1,1,73,02:06 PM,03:34 AM,07:15 AM,06:56 PM,7,13,13,13,10,63,65,0.0,1018,15,10,68,8
2020-03-06,20,13,0.0,10.1,1,1,80,03:07 PM,04:30 AM,07:14 AM,06:57 PM,7,16,16,16,8,47,55,0.0,1013,20,10,53,6
2020-03-07,20,14,0.0,8.7,1,1,87,04:14 PM,05:24 AM,07:13 AM,06:57 PM,8,16,16,16,9,45,60,0.2,1011,20,10,69,7
2020-03-08,16,12,0.0,5.7,1,1,95,05:23 PM,06:13 AM,07:12 AM,06:58 PM,11,15,15,15,8,79,74,0.3,1006,16,10,58,6
2020-03-09,17,13,0.0,5.7,1,1,100,06:33 PM,06:59 AM,07:11 AM,06:58 PM,8,15,15,15,10,59,64,0.0,1015,17,10,315,8
2020-03-10,20,13,0.0,11.5,1,1,100,07:43 PM,07:41 AM,07:09 AM,06:59 PM,6,16,16,16,8,39,53,0.0,1021,20,10,125,7
2020-03-11,16,14,0.0,6.0,1,1,84,08:51 PM,08:20 AM,07:08 AM,07:00 PM,8,14,14,14,11,90,67,1.1,1015,16,7,59,9
2020-03-12,21,13,0.0,10.2,1,1,76,09:59 PM,08:59 AM,07:07 AM,07:00 PM,8,17,18,17,8,52,57,0.4,1014,21,9,73,6
2020-03-13,22,16,0.0,11.6,1,1,69,11:06 PM,09:39 AM,07:06 AM,07:01 PM,8,19,19,19,9,29,52,0.0,1021,22,10,195,7
2020-03-14,22,14,0.0,10.2,1,1,62,No moonrise,10:20 AM,07:05 AM,07:02 PM,9,18,19,18,9,45,56,0.0,1022,22,10,25,7
2020-03-15,18,16,0.0,6.0,1,1,55,12:12 AM,11:05 AM,07:04 AM,07:02 PM,10,18,18,18,9,82,63,0.0,1018,18,10,50,8
2020-03-16,16,14,0.0,6.0,1,1,47,01:16 AM,11:53 AM,07:02 AM,07:03 PM,10,15,15,15,7,96,72,0.3,1020,16,10,305,6
2020-03-17,21,13,0.0,8.8,1,1,40,02:16 AM,12:44 PM,07:01 AM,07:03 PM,9,16,16,16,4,65,66,3.6,1022,21,9,204,4
2020-03-18,23,15,0.0,11.6,1,1,33,03:11 AM,01:38 PM,07:00 AM,07:04 PM,8,19,20,19,8,19,52,0.0,1016,23,10,56,7
2020-03-19,27,17,0.0,11.6,1,1,25,04:01 AM,02:33 PM,06:59 AM,07:05 PM,8,22,22,22,8,14,43,0.0,1015,27,10,136,6
2020-03-20,28,19,0.0,11.6,1,1,18,04:45 AM,03:30 PM,06:58 AM,07:05 PM,10,23,23,23,10,31,45,0.0,1008,28,10,103,7
2020-03-21,28,20,0.0,7.6,1,1,11,05:25 AM,04:24 PM,06:56 AM,07:06 PM,14,25,25,24,10,54,54,0.8,1006,28,10,122,8
2020-03-22,28,21,0.0,11.6,1,1,4,06:00 AM,05:19 PM,06:55 AM,07:07 PM,13,25,25,23,9,20,52,0.0,1012,28,10,285,7
2020-03-23,28,20,0.0,10.3,1,1,0,06:32 AM,06:11 PM,06:54 AM,07:07 PM,14,25,25,24,9,39,56,0.6,1012,28,10,34,7
2020-03-24,28,22,0.0,10.3,1,1,0,07:02 AM,07:04 PM,06:53 AM,07:08 PM,15,26,26,24,11,68,59,11.8,1008,28,9,155,8
2020-03-25,29,21,0.0,11.6,1,1,3,07:32 AM,07:56 PM,06:52 AM,07:08 PM,16,25,25,24,10,30,59,6.5,1004,29,10,96,7
2020-03-26,31,22,0.0,11.6,1,1,11,08:01 AM,08:48 PM,06:50 AM,07:09 PM,16,27,27,25,11,35,57,1.1,1004,31,10,92,8
2020-03-27,17,16,0.0,6.3,1,1,18,08:31 AM,09:42 PM,06:49 AM,07:10 PM,12,17,17,17,14,99,73,10.7,1015,17,9,303,10
2020-03-28,17,12,0.0,6.3,1,1,25,09:04 AM,10:36 PM,06:48 AM,07:10 PM,10,14,15,14,12,95,74,0.7,1016,17,10,65,10
