date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,18,15,0.0,5.6,1,1,11,04:28 AM,03:24 PM,06:53 AM,05:46 PM,12,16,16,16,5,82,77,0.4,1020,18,9,225,3
2020-01-23,21,17,0.0,5.6,1,1,3,05:25 AM,04:17 PM,06:53 AM,05:46 PM,17,19,19,19,13,77,88,0.4,1018,21,9,123,8
2020-01-24,18,16,0.0,4.1,1,1,0,06:18 AM,05:12 PM,06:52 AM,05:47 PM,14,17,17,17,28,92,86,0.9,1020,18,8,80,20
2020-01-25,19,12,0.0,4.1,1,1,0,07:06 AM,06:08 PM,06:52 AM,05:48 PM,13,16,16,16,26,85,80,0.0,1018,19,10,79,19
2020-01-26,17,15,0.0,4.1,1,1,4,07:50 AM,07:02 PM,06:52 AM,05:49 PM,14,16,16,16,11,78,89,26.0,1015,17,7,125,8
2020-01-27,18,13,0.0,8.7,1,1,11,08:29 AM,07:56 PM,06:52 AM,05:49 PM,9,15,15,15,16,15,69,0.0,1017,18,10,190,12
2020-01-28,15,12,0.0,4.1,1,1,18,09:05 AM,08:47 PM,06:51 AM,05:50 PM,8,12,13,12,18,71,70,0.0,1019,15,10,72,13
2020-01-29,15,11,0.0,8.7,1,1,26,09:39 AM,09:38 PM,06:51 AM,05:51 PM,6,11,13,11,19,17,66,0.0,1021,15,10,191,14
2020-01-30,18,11,0.0,8.7,1,1,33,10:11 AM,10:27 PM,06:51 AM,05:51 PM,4,13,14,13,14,0,54,0.0,1022,18,10,148,11
2020-01-31,15,11,0.0,8.7,1,1,37,10:42 AM,11:17 PM,06:50 AM,05:52 PM,3,11,13,11,18,0,52,0.0,1023,15,10,78,14
2020-02-01,15,10,0.0,8.7,1,1,49,11:15 AM,No moonset,06:50 AM,05:53 PM,5,11,12,11,28,13,61,0.0,1024,15,10,71,21
2020-02-02,15,11,0.0,7.2,1,1,57,11:49 AM,12:08 AM,06:49 AM,05:53 PM,7,13,13,13,12,34,65,0.0,1024,15,10,99,9
2020-02-03,17,13,0.0,8.7,1,1,64,12:26 PM,01:00 AM,06:49 AM,05:54 PM,9,14,14,14,18,50,72,0.2,1023,17,9,78,13
2020-02-04,14,13,0.0,4.2,1,1,72,01:08 PM,01:55 AM,06:48 AM,05:55 PM,12,13,14,13,11,86,88,8.3,1022,14,7,173,8
2020-02-05,16,12,0.0,7.2,1,1,79,01:55 PM,02:52 AM,06:48 AM,05:55 PM,10,12,14,12,37,53,77,0.0,1022,16,10,63,27
2020-02-06,17,12,0.0,8.7,1,1,87,02:49 PM,03:51 AM,06:47 AM,05:56 PM,9,13,14,13,25,43,72,0.0,1022,17,10,63,18
2020-02-07,16,13,0.0,4.2,1,1,95,03:48 PM,04:50 AM,06:47 AM,05:57 PM,11,13,14,13,21,78,83,1.7,1023,16,10,80,15
2020-02-08,15,12,0.0,4.2,1,1,100,04:53 PM,05:48 AM,06:46 AM,05:57 PM,9,11,13,11,36,80,76,0.0,1025,15,10,66,27
2020-02-09,16,11,0.0,7.2,1,1,100,05:59 PM,06:42 AM,06:46 AM,05:58 PM,8,11,13,11,31,45,72,0.0,1027,16,10,73,23
2020-02-10,16,11,0.0,8.7,1,1,83,07:06 PM,07:32 AM,06:45 AM,05:59 PM,8,12,13,12,22,19,68,0.0,1024,16,10,79,16
2020-02-11,17,14,0.0,7.2,1,1,75,08:12 PM,08:17 AM,06:45 AM,05:59 PM,11,16,16,16,8,56,73,0.0,1022,17,10,98,5
2020-02-12,20,16,0.0,7.2,1,1,68,09:17 PM,09:00 AM,06:44 AM,06:00 PM,16,18,18,18,12,66,86,10.0,1018,20,9,186,7
2020-02-13,20,18,0.0,5.8,1,1,60,10:19 PM,09:41 AM,06:43 AM,06:01 PM,17,18,18,18,8,64,92,2.0,1016,20,9,100,4
2020-02-14,19,17,0.0,5.8,1,1,53,11:22 PM,10:21 AM,06:43 AM,06:01 PM,17,18,18,18,7,78,94,28.7,1016,19,5,246,5
2020-02-15,19,17,0.0,10.2,1,1,45,No moonrise,11:02 AM,06:42 AM,06:02 PM,17,18,18,18,11,68,91,0.2,1016,19,8,104,7
2020-02-16,15,11,0.0,7.3,1,1,38,12:23 AM,11:46 AM,06:41 AM,06:02 PM,11,13,14,13,22,79,83,11.3,1022,15,8,136,16
