date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,25,19,0.0,7.0,1,1,11,04:45 AM,03:47 PM,07:10 AM,06:07 PM,16,22,22,22,11,77,70,0.3,1019,25,10,137,9
2020-01-23,27,21,0.0,7.0,1,1,3,05:42 AM,04:40 PM,07:10 AM,06:08 PM,18,25,25,24,12,56,71,0.5,1017,27,10,161,10
2020-01-24,26,21,0.0,7.0,1,1,0,06:35 AM,05:35 PM,07:10 AM,06:08 PM,17,25,25,23,7,58,69,0.5,1018,26,10,150,6
2020-01-25,22,16,0.0,5.5,1,1,0,07:24 AM,06:30 PM,07:09 AM,06:09 PM,13,20,21,20,18,87,67,2.1,1017,22,10,125,14
2020-01-26,16,12,0.0,8.6,1,1,4,08:07 AM,07:25 PM,07:09 AM,06:10 PM,9,13,14,13,23,59,71,6.6,1017,16,10,353,19
2020-01-27,17,10,0.0,11.0,1,1,11,08:47 AM,08:17 PM,07:09 AM,06:10 PM,4,11,13,11,24,17,55,0.0,1018,17,10,239,19
2020-01-28,17,10,0.0,11.0,1,1,18,09:24 AM,09:08 PM,07:09 AM,06:11 PM,3,12,13,12,21,23,51,0.0,1020,17,10,121,17
2020-01-29,17,10,0.0,11.0,1,1,26,09:58 AM,09:58 PM,07:08 AM,06:12 PM,2,12,13,12,23,18,47,0.0,1022,17,10,240,19
2020-01-30,20,11,0.0,11.0,1,1,33,10:30 AM,10:47 PM,07:08 AM,06:12 PM,-0,14,15,14,19,0,36,0.0,1023,20,10,16,17
2020-01-31,21,12,0.0,11.1,1,1,37,11:03 AM,11:37 PM,07:08 AM,06:13 PM,-2,16,17,16,10,9,29,0.0,1023,21,10,77,9
2020-02-01,19,14,0.0,10.1,1,1,49,11:36 AM,No moonset,07:07 AM,06:14 PM,3,17,17,17,8,50,41,0.0,1022,19,10,77,6
2020-02-02,21,16,0.0,5.5,1,1,57,12:10 PM,12:26 AM,07:07 AM,06:14 PM,9,18,19,18,11,68,55,0.0,1022,21,10,113,9
2020-02-03,17,15,0.0,5.5,1,1,64,12:48 PM,01:19 AM,07:07 AM,06:15 PM,13,17,17,17,12,95,77,4.6,1021,17,9,24,10
2020-02-04,19,15,0.0,5.6,1,1,72,01:31 PM,02:13 AM,07:06 AM,06:16 PM,12,16,16,16,10,92,77,4.0,1021,19,9,138,8
2020-02-05,21,17,0.0,5.6,1,1,79,02:18 PM,03:10 AM,07:06 AM,06:16 PM,13,18,18,18,7,85,72,0.7,1021,21,7,61,6
2020-02-06,19,16,0.0,7.1,1,1,87,03:12 PM,04:08 AM,07:05 AM,06:17 PM,13,18,18,18,13,83,71,0.0,1020,19,10,139,10
2020-02-07,19,17,0.0,5.6,1,1,95,04:11 PM,05:08 AM,07:05 AM,06:18 PM,13,18,18,18,14,78,76,0.7,1022,19,8,12,11
2020-02-08,20,15,0.0,11.1,1,1,100,05:16 PM,06:05 AM,07:04 AM,06:18 PM,9,16,17,16,19,36,62,0.0,1025,20,10,13,15
2020-02-09,17,13,0.0,10.1,1,1,100,06:22 PM,07:00 AM,07:04 AM,06:19 PM,7,14,15,14,16,48,59,0.0,1027,17,10,12,13
2020-02-10,21,14,0.0,8.6,1,1,83,07:28 PM,07:50 AM,07:03 AM,06:19 PM,9,17,17,17,8,52,60,0.0,1023,21,10,145,7
2020-02-11,20,13,0.0,5.6,1,1,75,08:33 PM,08:36 AM,07:02 AM,06:20 PM,14,18,19,18,8,94,73,2.2,1021,20,6,109,6
2020-02-12,27,19,0.0,8.6,1,1,68,09:37 PM,09:20 AM,07:02 AM,06:21 PM,17,23,23,22,10,57,73,0.6,1017,27,9,213,8
2020-02-13,25,18,0.0,7.1,1,1,60,10:39 PM,10:01 AM,07:01 AM,06:21 PM,17,22,23,22,12,56,74,13.6,1015,25,9,187,9
2020-02-14,26,20,0.0,5.6,1,1,53,11:41 PM,10:42 AM,07:01 AM,06:22 PM,18,24,24,23,23,83,78,24.2,1013,26,9,162,16
2020-02-15,25,19,0.0,5.6,1,1,45,No moonrise,11:24 AM,07:00 AM,06:22 PM,17,25,25,22,37,93,79,17.3,1014,25,9,175,23
2020-02-16,12,10,0.0,10.2,1,1,38,12:41 AM,12:08 PM,06:59 AM,06:23 PM,4,8,11,8,32,53,63,0.6,1023,12,8,121,25
2020-02-17,16,9,0.0,11.6,1,1,30,01:42 AM,12:54 PM,06:59 AM,06:24 PM,0,10,12,10,27,24,45,0.0,1028,16,10,15,21
2020-02-18,21,11,0.0,11.6,1,1,22,02:41 AM,01:44 PM,06:58 AM,06:24 PM,0,15,16,15,12,9,35,0.0,1027,21,10,53,10
2020-02-19,23,15,0.0,11.6,1,1,15,03:38 AM,02:35 PM,06:57 AM,06:25 PM,7,19,19,19,5,24,45,0.0,1024,23,10,160,5
2020-02-20,25,17,0.0,8.7,1,1,7,04:31 AM,03:30 PM,06:56 AM,06:25 PM,11,21,22,21,7,46,54,0.0,1025,25,10,70,5
2020-02-21,28,19,0.0,11.6,1,1,0,05:20 AM,04:24 PM,06:56 AM,06:26 PM,11,23,23,23,5,20,49,0.0,1027,28,10,171,5
2020-02-22,28,21,0.0,10.2,1,1,0,06:05 AM,05:18 PM,06:55 AM,06:26 PM,14,25,25,24,9,33,53,0.0,1026,28,10,49,8
2020-02-23,27,21,0.0,11.6,1,1,0,06:46 AM,06:10 PM,06:54 AM,06:27 PM,13,24,24,24,10,43,53,0.0,1024,27,10,142,8
2020-02-24,25,21,0.0,5.9,1,1,0,07:23 AM,07:02 PM,06:53 AM,06:27 PM,14,24,24,23,16,66,60,0.5,1020,25,10,141,13
2020-02-25,28,21,0.0,5.9,1,1,8,07:58 AM,07:52 PM,06:53 AM,06:28 PM,17,26,26,24,10,77,68,1.4,1017,28,10,149,8
2020-02-26,31,22,0.0,10.2,1,1,15,08:30 AM,08:41 PM,06:52 AM,06:28 PM,18,28,28,26,8,40,62,0.6,1017,31,10,176,7
2020-02-27,28,23,0.0,8.7,1,1,23,09:03 AM,09:31 PM,06:51 AM,06:29 PM,17,27,27,25,16,43,60,0.3,1018,28,10,150,14
2020-02-28,27,21,0.0,8.7,1,1,30,09:35 AM,10:20 PM,06:50 AM,06:29 PM,16,25,25,24,12,48,61,0.0,1018,27,10,135,10
2020-02-29,29,22,0.0,11.6,1,1,38,10:09 AM,11:11 PM,06:49 AM,06:30 PM,17,27,27,25,15,28,59,0.0,1014,29,10,168,12
2020-03-01,29,23,0.0,7.3,1,1,44,10:45 AM,No moonset,06:48 AM,06:30 PM,18,27,27,26,11,49,62,3.4,1014,29,10,276,9
2020-03-02,24,21,0.0,5.9,1,1,51,11:24 AM,12:03 AM,06:48 AM,06:31 PM,15,24,24,23,19,90,61,0.4,1017,24,9,117,15
2020-03-03,27,20,0.0,5.9,1,1,58,12:08 PM,12:58 AM,06:47 AM,06:31 PM,15,24,24,23,16,74,61,0.1,1018,27,10,162,13
2020-03-04,21,14,0.0,5.9,1,1,65,12:57 PM,01:54 AM,06:46 AM,06:31 PM,15,19,20,19,15,97,75,2.4,1019,21,8,122,13
2020-03-05,24,16,0.0,8.8,1,1,73,01:53 PM,02:51 AM,06:45 AM,06:32 PM,12,20,20,20,12,70,63,2.6,1019,24,10,29,10
2020-03-06,23,19,0.0,5.9,1,1,80,02:53 PM,03:49 AM,06:44 AM,06:32 PM,15,21,22,21,14,82,67,0.2,1017,23,10,161,11
2020-03-07,27,21,0.0,7.4,1,1,87,03:58 PM,04:43 AM,06:43 AM,06:33 PM,18,25,25,23,18,75,73,1.6,1014,27,10,180,14
2020-03-08,25,23,0.0,6.0,1,1,95,05:04 PM,05:35 AM,06:42 AM,06:33 PM,20,26,26,24,25,86,79,0.3,1010,25,10,156,19
