date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,22,17,0.0,5.5,1,1,11,05:04 AM,04:00 PM,07:28 AM,06:20 PM,16,19,20,19,18,85,82,0.2,1017,22,10,175,11
2020-01-23,22,18,0.0,5.5,1,1,3,06:01 AM,04:54 PM,07:27 AM,06:21 PM,17,20,21,20,14,87,82,0.1,1015,22,10,169,9
2020-01-24,15,12,0.0,5.5,1,1,0,06:54 AM,05:49 PM,07:27 AM,06:22 PM,11,13,14,13,15,98,84,9.6,1018,15,10,10,11
2020-01-25,11,3,0.0,5.5,1,1,0,07:42 AM,06:44 PM,07:27 AM,06:22 PM,8,7,10,7,29,99,88,74.8,1020,11,6,13,20
2020-01-26,13,7,0.0,11.0,1,1,4,08:25 AM,07:39 PM,07:27 AM,06:23 PM,5,7,9,7,24,24,74,10.0,1021,13,9,126,18
2020-01-27,11,6,0.0,11.0,1,1,11,09:05 AM,08:31 PM,07:26 AM,06:24 PM,3,5,8,5,25,31,68,0.0,1020,11,10,25,18
2020-01-28,13,6,0.0,11.0,1,1,18,09:41 AM,09:23 PM,07:26 AM,06:25 PM,2,7,9,7,21,46,61,0.1,1022,13,10,23,16
2020-01-29,15,8,0.0,11.0,1,1,26,10:14 AM,10:13 PM,07:26 AM,06:25 PM,3,10,11,10,19,29,57,0.0,1024,15,10,19,14
2020-01-30,17,8,0.0,11.0,1,1,33,10:46 AM,11:03 PM,07:25 AM,06:26 PM,1,11,12,11,15,10,49,0.0,1023,17,10,44,11
2020-01-31,16,9,0.0,8.6,1,1,37,11:18 AM,11:53 PM,07:25 AM,06:27 PM,3,12,12,12,7,47,55,0.0,1022,16,10,76,5
2020-02-01,13,12,0.0,5.5,1,1,49,11:51 AM,No moonset,07:25 AM,06:27 PM,6,13,13,13,5,94,61,0.4,1021,13,9,152,4
2020-02-02,13,12,0.0,5.5,1,1,57,12:25 PM,12:43 AM,07:24 AM,06:28 PM,9,12,12,12,7,97,80,1.2,1021,13,6,18,6
2020-02-03,11,2,0.0,5.5,1,1,64,01:02 PM,01:36 AM,07:24 AM,06:29 PM,9,8,10,8,17,100,87,28.4,1022,11,8,12,13
2020-02-04,14,10,0.0,5.5,1,1,72,01:44 PM,02:31 AM,07:23 AM,06:30 PM,9,11,12,11,12,97,82,4.0,1022,14,10,134,10
2020-02-05,12,7,0.0,5.5,1,1,79,02:31 PM,03:28 AM,07:23 AM,06:30 PM,10,11,12,11,8,100,87,5.7,1020,12,8,139,6
2020-02-06,14,9,0.0,5.5,1,1,87,03:25 PM,04:27 AM,07:22 AM,06:31 PM,12,12,13,12,8,100,94,15.1,1018,14,7,27,6
2020-02-07,14,11,0.0,5.6,1,1,95,04:25 PM,05:26 AM,07:22 AM,06:32 PM,9,11,12,11,18,93,81,0.9,1023,14,9,21,13
2020-02-08,10,9,0.0,5.6,1,1,100,05:30 PM,06:23 AM,07:21 AM,06:32 PM,7,8,10,8,20,100,84,5.1,1027,10,7,11,15
2020-02-09,11,7,0.0,5.6,1,1,100,06:36 PM,07:18 AM,07:21 AM,06:33 PM,7,8,10,8,18,84,79,0.3,1028,11,9,116,13
2020-02-10,16,11,0.0,5.6,1,1,83,07:43 PM,08:07 AM,07:20 AM,06:33 PM,10,14,13,14,6,97,77,0.0,1023,16,10,153,5
2020-02-11,20,15,0.0,5.6,1,1,75,08:49 PM,08:53 AM,07:19 AM,06:34 PM,14,17,16,17,6,90,83,0.4,1019,20,8,226,4
2020-02-12,24,15,0.0,5.6,1,1,68,09:53 PM,09:36 AM,07:19 AM,06:35 PM,16,19,20,19,11,85,84,12.9,1016,24,9,143,7
2020-02-13,22,18,0.0,5.6,1,1,60,10:56 PM,10:16 AM,07:18 AM,06:35 PM,18,20,20,20,16,85,91,30.8,1012,22,8,159,9
2020-02-14,25,18,0.0,5.6,1,1,53,11:58 PM,10:57 AM,07:18 AM,06:36 PM,19,21,22,21,15,81,89,35.6,1009,25,8,161,9
2020-02-15,20,8,0.0,7.1,1,1,45,No moonrise,11:39 AM,07:17 AM,06:37 PM,13,14,16,14,29,74,84,31.1,1015,20,8,129,20
2020-02-16,12,5,0.0,10.1,1,1,38,12:59 AM,12:22 PM,07:16 AM,06:37 PM,1,4,8,4,34,41,62,0.5,1027,12,9,25,25
2020-02-17,13,7,0.0,11.2,1,1,30,02:00 AM,01:08 PM,07:15 AM,06:38 PM,0,7,10,7,29,33,53,0.0,1029,13,10,27,19
2020-02-18,19,8,0.0,11.2,1,1,22,02:59 AM,01:57 PM,07:15 AM,06:38 PM,3,12,13,12,10,21,52,0.0,1026,19,10,67,7
2020-02-19,18,13,0.0,8.6,1,1,15,03:56 AM,02:49 PM,07:14 AM,06:39 PM,7,15,15,15,6,55,58,0.0,1024,18,10,100,5
2020-02-20,18,14,0.0,7.1,1,1,7,04:49 AM,03:43 PM,07:13 AM,06:40 PM,10,16,16,16,7,76,70,0.0,1024,18,10,50,5
2020-02-21,18,15,0.0,8.6,1,1,0,05:39 AM,04:37 PM,07:12 AM,06:40 PM,13,16,16,16,9,49,79,0.0,1027,18,10,354,7
2020-02-22,23,15,0.0,11.3,1,1,0,06:23 AM,05:32 PM,07:12 AM,06:41 PM,13,18,19,18,9,24,73,0.0,1027,23,10,5,6
2020-02-23,25,17,0.0,5.7,1,1,0,07:03 AM,06:25 PM,07:11 AM,06:41 PM,14,21,22,21,10,55,68,0.4,1023,25,10,131,7
2020-02-24,24,18,0.0,8.6,1,1,0,07:40 AM,07:17 PM,07:10 AM,06:42 PM,15,21,23,21,21,38,69,0.2,1018,24,10,184,15
2020-02-25,25,19,0.0,5.7,1,1,8,08:14 AM,08:07 PM,07:09 AM,06:42 PM,16,23,23,22,15,59,72,0.5,1016,25,10,188,11
2020-02-26,27,20,0.0,11.4,1,1,15,08:47 AM,08:57 PM,07:08 AM,06:43 PM,17,25,25,24,8,31,69,0.0,1017,27,10,183,6
2020-02-27,28,22,0.0,10.1,1,1,23,09:19 AM,09:47 PM,07:07 AM,06:43 PM,17,26,26,25,10,26,64,0.1,1016,28,10,166,7
2020-02-28,25,20,0.0,7.2,1,1,30,09:51 AM,10:37 PM,07:07 AM,06:44 PM,17,24,24,22,20,51,73,1.0,1015,25,10,177,14
2020-02-29,25,20,0.0,7.2,1,1,38,10:23 AM,11:29 PM,07:06 AM,06:44 PM,18,24,24,22,22,62,78,18.7,1013,25,9,195,13
2020-03-01,22,18,0.0,8.7,1,1,44,10:59 AM,No moonset,07:05 AM,06:45 PM,17,20,21,20,14,72,81,4.6,1014,22,10,29,10
2020-03-02,19,15,0.0,5.7,1,1,51,11:38 AM,12:21 AM,07:04 AM,06:45 PM,12,17,17,17,14,96,74,4.1,1016,19,9,22,11
2020-03-03,16,14,0.0,5.7,1,1,58,12:21 PM,01:16 AM,07:03 AM,06:46 PM,14,15,15,15,17,100,90,35.1,1017,16,7,127,10
2020-03-04,12,5,0.0,5.7,1,1,65,01:11 PM,02:12 AM,07:02 AM,06:46 PM,10,9,11,9,23,98,88,58.5,1020,12,7,126,16
2020-03-05,17,11,0.0,7.2,1,1,73,02:06 PM,03:10 AM,07:01 AM,06:47 PM,10,14,14,14,10,88,77,0.5,1020,17,8,74,8
2020-03-06,20,15,0.0,5.7,1,1,80,03:07 PM,04:07 AM,07:00 AM,06:47 PM,15,17,17,17,10,100,89,1.5,1015,20,6,163,7
2020-03-07,25,19,0.0,5.9,1,1,87,04:12 PM,05:02 AM,06:59 AM,06:48 PM,19,23,23,22,15,78,85,1.1,1011,25,8,192,11
2020-03-08,25,20,0.0,7.4,1,1,95,05:19 PM,05:53 AM,06:58 AM,06:48 PM,20,24,24,23,22,62,84,0.4,1005,25,10,187,15
2020-03-09,27,18,0.0,7.4,1,1,100,06:26 PM,06:41 AM,06:57 AM,06:49 PM,18,23,23,22,17,55,79,2.3,1007,27,10,190,12
2020-03-10,19,15,0.0,11.6,1,1,100,07:33 PM,07:26 AM,06:56 AM,06:49 PM,9,16,17,16,32,40,61,0.1,1018,19,10,29,24
2020-03-11,18,15,0.0,6.0,1,1,84,08:38 PM,08:08 AM,06:55 AM,06:50 PM,10,16,16,16,11,84,67,0.3,1017,18,10,56,8
2020-03-12,17,10,0.0,6.0,1,1,76,09:43 PM,08:50 AM,06:54 AM,06:50 PM,14,15,16,15,7,99,87,1.7,1013,17,8,34,5
2020-03-13,19,16,0.0,6.0,1,1,69,10:47 PM,09:33 AM,06:53 AM,06:51 PM,15,18,18,18,18,91,84,1.0,1017,19,6,125,12
2020-03-14,20,15,0.0,10.2,1,1,62,11:51 PM,10:16 AM,06:52 AM,06:51 PM,10,17,17,17,29,50,64,0.0,1021,20,10,22,20
2020-03-15,20,16,0.0,6.0,1,1,55,No moonrise,11:03 AM,06:51 AM,06:51 PM,10,18,18,18,10,86,61,0.0,1019,20,10,62,7
2020-03-16,17,16,0.0,6.0,1,1,47,12:53 AM,11:53 AM,06:50 AM,06:52 PM,13,17,17,17,8,100,77,0.4,1018,17,9,36,6
2020-03-17,16,14,0.0,6.0,1,1,40,01:52 AM,12:45 PM,06:49 AM,06:52 PM,13,15,15,15,14,100,87,12.8,1019,16,9,346,10
2020-03-18,17,13,0.0,6.0,1,1,33,02:47 AM,01:39 PM,06:48 AM,06:53 PM,13,15,15,15,8,100,87,16.7,1016,17,9,123,6
2020-03-19,24,16,0.0,8.8,1,1,25,03:38 AM,02:33 PM,06:47 AM,06:53 PM,16,20,21,20,10,67,80,15.5,1015,24,9,144,7
2020-03-20,25,19,0.0,6.0,1,1,18,04:23 AM,03:28 PM,06:46 AM,06:54 PM,19,24,24,22,10,88,80,0.1,1013,25,10,176,7
2020-03-21,27,22,0.0,6.0,1,1,11,05:04 AM,04:20 PM,06:45 AM,06:54 PM,20,26,26,24,23,66,81,0.9,1011,27,10,194,16
2020-03-22,27,21,0.0,6.1,1,1,4,05:42 AM,05:13 PM,06:44 AM,06:54 PM,21,26,26,24,12,66,80,2.7,1012,27,10,186,8
2020-03-23,28,22,0.0,7.4,1,1,0,06:16 AM,06:03 PM,06:43 AM,06:55 PM,21,27,27,25,6,59,79,17.8,1012,28,9,158,4
2020-03-24,28,22,0.0,6.1,1,1,0,06:48 AM,06:53 PM,06:42 AM,06:55 PM,20,27,27,25,18,79,77,23.0,1011,28,8,185,12
2020-03-25,25,22,0.0,6.1,1,1,3,07:20 AM,07:43 PM,06:41 AM,06:56 PM,20,25,25,23,26,81,83,16.1,1011,25,9,177,18
2020-03-26,26,22,0.0,6.1,1,1,11,07:52 AM,08:33 PM,06:40 AM,06:56 PM,20,26,26,24,22,83,82,4.9,1010,26,10,181,15
2020-03-27,28,22,0.0,6.1,1,1,18,08:24 AM,09:24 PM,06:39 AM,06:57 PM,20,27,27,24,29,79,83,28.7,1010,28,8,193,16
2020-03-28,16,13,0.0,8.8,1,1,25,08:59 AM,10:16 PM,06:38 AM,06:57 PM,11,13,15,13,28,73,77,1.3,1016,16,10,22,21
