date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,15,8,0.0,6.9,1,1,37,11:55 AM,11:41 PM,07:42 AM,06:11 PM,10,10,12,10,26,83,88,0.0,1021,15,9,193,18
2020-01-02,14,7,0.0,5.4,1,1,44,12:27 PM,No moonset,07:42 AM,06:12 PM,11,11,12,11,12,92,90,0.1,1021,14,7,162,8
2020-01-03,12,6,0.0,5.4,1,1,51,12:58 PM,12:31 AM,07:42 AM,06:13 PM,7,8,9,8,14,86,86,1.4,1022,12,6,27,9
2020-01-04,14,6,0.0,5.4,1,1,59,01:30 PM,01:23 AM,07:42 AM,06:13 PM,9,9,10,9,19,96,91,8.6,1018,14,8,156,12
2020-01-05,17,10,0.0,5.4,1,1,66,02:02 PM,02:14 AM,07:43 AM,06:14 PM,12,13,14,13,38,81,87,6.6,1013,17,10,188,28
2020-01-06,17,10,0.0,5.4,1,1,73,02:37 PM,03:08 AM,07:43 AM,06:15 PM,12,14,15,14,35,82,84,8.3,1012,17,10,190,25
2020-01-07,17,6,0.0,10.7,1,1,80,03:17 PM,04:03 AM,07:43 AM,06:15 PM,5,10,11,10,14,23,72,2.6,1018,17,10,161,9
2020-01-08,17,11,0.0,5.4,1,1,88,04:01 PM,05:01 AM,07:43 AM,06:16 PM,12,13,14,13,34,83,87,2.1,1014,17,10,189,23
2020-01-09,13,5,0.0,5.4,1,1,95,04:52 PM,06:01 AM,07:43 AM,06:17 PM,9,10,11,10,18,82,86,0.5,1013,13,10,31,11
2020-01-10,12,4,0.0,8.5,1,1,100,05:50 PM,07:02 AM,07:43 AM,06:18 PM,5,6,8,6,14,78,81,0.8,1015,12,7,30,10
2020-01-11,10,4,0.0,10.8,1,1,100,06:52 PM,08:00 AM,07:43 AM,06:18 PM,2,4,7,4,16,37,74,0.4,1021,10,10,25,13
2020-01-12,14,3,0.0,10.8,1,1,83,07:58 PM,08:55 AM,07:43 AM,06:19 PM,3,7,8,7,10,14,72,0.0,1018,14,10,190,7
2020-01-13,10,5,0.0,5.4,1,1,76,09:04 PM,09:45 AM,07:43 AM,06:20 PM,5,6,7,6,11,69,87,1.5,1016,10,9,138,7
2020-01-14,6,1,0.0,5.4,1,1,69,10:09 PM,10:30 AM,07:43 AM,06:21 PM,3,3,5,3,13,92,88,8.0,1018,6,9,69,9
2020-01-15,9,-1,0.2,5.4,1,1,61,11:13 PM,11:12 AM,07:43 AM,06:21 PM,3,3,5,3,14,89,86,3.5,1016,9,8,19,9
2020-01-16,7,3,0.0,5.4,1,1,54,No moonrise,11:51 AM,07:43 AM,06:22 PM,1,2,4,2,14,80,79,0.7,1022,7,9,29,10
2020-01-17,8,2,0.0,8.5,1,1,47,12:15 AM,12:29 PM,07:43 AM,06:23 PM,0,3,5,3,11,65,75,0.0,1023,8,10,63,8
2020-01-18,7,3,0.0,8.5,1,1,40,01:17 AM,01:08 PM,07:43 AM,06:24 PM,0,2,4,2,13,79,74,0.0,1021,7,10,41,9
2020-01-19,9,3,0.0,10.1,1,1,32,02:18 AM,01:48 PM,07:43 AM,06:25 PM,1,4,5,4,11,53,76,0.0,1023,9,10,57,8
2020-01-20,11,4,0.0,5.4,1,1,25,03:20 AM,02:30 PM,07:43 AM,06:25 PM,4,6,7,6,13,81,79,0.0,1019,11,10,151,9
2020-01-21,15,9,0.0,5.4,1,1,18,04:20 AM,03:17 PM,07:43 AM,06:26 PM,10,10,12,10,36,78,86,0.6,1015,15,10,193,24
2020-01-22,19,12,0.0,5.4,1,1,11,05:20 AM,04:06 PM,07:42 AM,06:27 PM,10,13,15,13,22,75,83,8.0,1013,19,10,183,15
2020-01-23,11,7,0.0,5.4,1,1,3,06:17 AM,05:00 PM,07:42 AM,06:28 PM,6,7,8,7,14,84,82,3.1,1015,11,10,34,10
2020-01-24,7,6,0.0,7.0,1,1,0,07:10 AM,05:55 PM,07:42 AM,06:29 PM,4,4,6,4,16,80,85,11.3,1020,7,9,26,13
2020-01-25,4,-3,12.6,5.4,1,1,0,07:58 AM,06:51 PM,07:42 AM,06:29 PM,2,-1,3,-1,14,100,96,27.4,1024,4,4,134,12
2020-01-26,7,1,0.0,8.5,1,1,4,08:40 AM,07:46 PM,07:41 AM,06:30 PM,0,1,3,1,12,64,82,0.0,1022,7,8,50,9
2020-01-27,5,0,0.0,5.5,1,1,11,09:19 AM,08:40 PM,07:41 AM,06:31 PM,-0,-1,2,-1,12,85,85,0.1,1021,5,9,49,9
2020-01-28,8,-0,0.3,10.9,1,1,18,09:54 AM,09:33 PM,07:40 AM,06:32 PM,-0,1,3,1,13,61,78,0.5,1022,8,9,47,9
2020-01-29,10,3,0.0,10.9,1,1,26,10:26 AM,10:23 PM,07:40 AM,06:32 PM,1,4,6,4,9,33,70,0.0,1024,10,10,25,7
2020-01-30,12,4,0.0,10.9,1,1,33,10:58 AM,11:14 PM,07:40 AM,06:33 PM,1,6,7,6,11,41,68,0.0,1022,12,10,139,8
2020-01-31,8,5,0.0,8.5,1,1,37,11:29 AM,No moonset,07:39 AM,06:34 PM,1,3,6,3,20,66,73,1.1,1020,8,8,155,16
2020-02-01,10,3,0.0,5.5,1,1,49,12:00 PM,12:05 AM,07:39 AM,06:35 PM,4,4,7,4,16,84,83,2.8,1018,10,6,157,11
