date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,24,16,0.0,11.1,1,1,11,04:53 AM,04:11 PM,07:18 AM,06:29 PM,15,19,21,19,8,41,82,0.0,1017,24,6,135,5
2020-01-23,26,15,0.0,11.1,1,1,3,05:49 AM,05:05 PM,07:18 AM,06:29 PM,15,21,21,20,8,48,82,0.0,1015,26,6,147,5
2020-01-24,24,14,0.0,11.1,1,1,0,06:42 AM,05:59 PM,07:18 AM,06:30 PM,15,18,19,18,10,57,84,0.0,1015,24,5,136,6
2020-01-25,24,14,0.0,11.1,1,1,0,07:32 AM,06:53 PM,07:18 AM,06:31 PM,13,19,19,19,8,34,76,0.0,1013,24,7,135,5
2020-01-26,18,9,0.0,5.6,1,1,4,08:16 AM,07:46 PM,07:18 AM,06:31 PM,14,14,15,14,8,81,94,5.9,1014,18,8,6,5
2020-01-27,17,12,0.0,5.6,1,1,11,08:57 AM,08:37 PM,07:18 AM,06:32 PM,13,15,14,15,5,100,92,4.7,1014,17,7,19,3
2020-01-28,16,11,0.0,5.6,1,1,18,09:36 AM,09:27 PM,07:17 AM,06:32 PM,14,15,15,15,6,100,97,4.9,1016,16,4,46,4
2020-01-29,19,10,0.0,7.1,1,1,26,10:11 AM,10:15 PM,07:17 AM,06:33 PM,11,14,14,14,9,74,85,2.8,1019,19,8,29,6
2020-01-30,19,9,0.0,8.6,1,1,33,10:45 AM,11:02 PM,07:17 AM,06:34 PM,8,13,13,13,8,38,76,0.1,1019,19,10,48,5
2020-01-31,22,10,0.0,10.1,1,1,37,11:19 AM,11:50 PM,07:17 AM,06:34 PM,8,14,14,14,7,28,72,0.0,1019,22,10,130,5
2020-02-01,22,11,0.0,10.1,1,1,49,11:54 AM,No moonset,07:17 AM,06:35 PM,11,15,15,15,8,30,79,0.2,1019,22,9,126,5
2020-02-02,23,14,0.0,8.6,1,1,57,12:30 PM,12:38 AM,07:16 AM,06:35 PM,14,18,19,18,7,50,84,0.4,1019,23,7,134,5
2020-02-03,23,14,0.0,11.2,1,1,64,01:09 PM,01:29 AM,07:16 AM,06:36 PM,14,18,18,18,9,58,82,0.1,1017,23,5,136,6
2020-02-04,24,14,0.0,10.1,1,1,72,01:53 PM,02:22 AM,07:16 AM,06:36 PM,14,18,19,18,7,60,80,1.0,1017,24,6,136,4
2020-02-05,24,15,0.0,7.1,1,1,79,02:41 PM,03:18 AM,07:15 AM,06:37 PM,16,19,19,19,6,74,86,4.6,1017,24,7,129,4
2020-02-06,22,14,0.0,5.6,1,1,87,03:36 PM,04:15 AM,07:15 AM,06:37 PM,15,18,19,18,9,77,84,0.7,1016,22,7,137,6
2020-02-07,26,16,0.0,10.1,1,1,95,04:35 PM,05:15 AM,07:15 AM,06:38 PM,15,20,20,20,6,47,79,2.1,1018,26,7,121,4
2020-02-08,21,13,0.0,8.6,1,1,100,05:39 PM,06:12 AM,07:14 AM,06:38 PM,15,18,18,18,9,63,85,0.4,1020,21,6,49,5
2020-02-09,21,12,0.0,11.3,1,1,100,06:44 PM,07:08 AM,07:14 AM,06:39 PM,13,17,17,17,9,51,82,0.1,1022,21,8,53,6
