date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,-11,-22,0.0,8.7,1,1,11,04:51 AM,01:48 PM,07:06 AM,04:23 PM,-17,-20,-16,-20,11,37,90,0.0,1026,-11,9,319,6
2020-01-23,-11,-19,0.1,3.4,1,1,3,05:51 AM,02:39 PM,07:06 AM,04:25 PM,-17,-21,-15,-21,22,62,86,0.3,1027,-11,8,274,13
2020-01-24,-16,-23,0.0,8.7,1,1,0,06:43 AM,03:38 PM,07:05 AM,04:26 PM,-22,-28,-20,-28,22,11,87,0.0,1039,-16,10,212,12
2020-01-25,-12,-23,0.0,7.0,1,1,0,07:27 AM,04:39 PM,07:04 AM,04:28 PM,-20,-23,-19,-23,12,33,87,0.0,1036,-12,10,142,6
2020-01-26,-11,-21,0.0,8.7,1,1,4,08:02 AM,05:43 PM,07:03 AM,04:29 PM,-18,-23,-17,-23,23,29,91,0.0,1035,-11,9,199,12
2020-01-27,-3,-16,0.0,8.7,1,1,11,08:31 AM,06:46 PM,07:02 AM,04:30 PM,-13,-14,-10,-14,12,3,79,0.0,1029,-3,10,182,6
2020-01-28,-8,-15,0.0,5.2,1,1,18,08:57 AM,07:49 PM,07:01 AM,04:32 PM,-14,-17,-12,-17,16,84,90,0.0,1028,-8,7,234,9
2020-01-29,-9,-19,0.0,8.7,1,1,26,09:20 AM,08:51 PM,07:00 AM,04:33 PM,-16,-22,-15,-22,24,27,92,0.0,1029,-9,10,123,13
2020-01-30,-12,-21,0.0,7.0,1,1,33,09:41 AM,09:52 PM,06:59 AM,04:35 PM,-18,-22,-18,-22,11,48,96,0.0,1026,-12,3,327,6
2020-01-31,-12,-22,0.0,7.0,1,1,37,10:01 AM,10:53 PM,06:57 AM,04:36 PM,-19,-23,-18,-23,11,37,93,0.0,1024,-12,7,197,6
2020-02-01,-11,-19,0.1,3.7,1,1,49,10:23 AM,11:56 PM,06:56 AM,04:38 PM,-17,-22,-15,-22,21,66,92,0.3,1025,-11,10,243,12
2020-02-02,-13,-22,0.0,8.7,1,1,57,10:46 AM,No moonset,06:55 AM,04:39 PM,-20,-27,-19,-27,24,13,89,0.0,1028,-13,10,240,13
2020-02-03,-15,-24,0.0,8.7,1,1,64,11:13 AM,12:59 AM,06:54 AM,04:41 PM,-22,-28,-21,-28,21,29,90,0.0,1026,-15,8,236,11
2020-02-04,-20,-27,0.1,5.4,1,1,72,11:44 AM,02:05 AM,06:53 AM,04:42 PM,-24,-32,-24,-32,18,74,94,0.2,1029,-20,8,276,10
2020-02-05,-19,-28,0.2,3.7,1,1,79,12:23 PM,03:11 AM,06:51 AM,04:44 PM,-25,-32,-24,-32,18,81,96,0.4,1037,-19,6,260,10
2020-02-06,-17,-28,0.0,3.7,1,1,87,01:12 PM,04:16 AM,06:50 AM,04:45 PM,-23,-30,-21,-30,27,72,91,0.0,1035,-17,10,196,15
2020-02-07,-15,-23,0.0,3.7,1,1,95,02:11 PM,05:17 AM,06:49 AM,04:47 PM,-20,-24,-19,-24,12,98,93,0.0,1029,-15,6,279,7
2020-02-08,-13,-25,0.0,8.7,1,1,100,03:21 PM,06:10 AM,06:47 AM,04:48 PM,-21,-25,-20,-25,15,40,92,0.0,1033,-13,7,253,8
2020-02-09,-8,-19,1.4,5.4,1,1,100,04:38 PM,06:56 AM,06:46 AM,04:50 PM,-15,-22,-14,-22,26,75,92,1.7,1020,-8,7,229,16
2020-02-10,-10,-19,0.3,7.1,1,1,83,05:58 PM,07:34 AM,06:44 AM,04:51 PM,-15,-19,-15,-19,14,57,93,0.4,1024,-10,9,184,8
2020-02-11,2,-11,0.0,5.4,1,1,75,07:18 PM,08:06 AM,06:43 AM,04:53 PM,-5,-9,-3,-9,43,51,85,0.0,1015,2,10,203,25
2020-02-12,1,-0,0.0,3.8,1,1,68,08:37 PM,08:35 AM,06:42 AM,04:54 PM,-1,-3,1,-3,26,89,92,0.1,1013,1,9,224,16
2020-02-13,1,-12,3.3,3.8,1,1,60,09:55 PM,09:02 AM,06:40 AM,04:56 PM,-4,-8,-3,-8,20,100,96,4.6,1016,1,3,129,13
