date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,6,-2,0.0,7.0,1,1,37,11:35 AM,11:08 PM,07:32 AM,05:29 PM,-12,0,2,0,8,54,37,0.0,1030,6,10,133,5
2020-01-02,6,2,0.0,3.7,1,1,44,12:03 PM,No moonset,07:32 AM,05:30 PM,-3,4,4,4,5,88,59,0.0,1030,6,10,65,4
2020-01-03,12,2,0.0,7.0,1,1,51,12:31 PM,12:03 AM,07:32 AM,05:30 PM,-2,6,7,6,6,47,56,0.0,1028,12,10,72,3
2020-01-04,13,4,0.0,8.7,1,1,59,12:59 PM,12:57 AM,07:32 AM,05:31 PM,0,7,8,7,9,30,61,0.2,1026,13,9,112,5
2020-01-05,6,-1,0.0,3.8,1,1,66,01:29 PM,01:52 AM,07:32 AM,05:32 PM,4,1,5,1,30,100,91,31.8,1024,6,8,54,20
2020-01-06,3,2,0.0,3.8,1,1,73,02:01 PM,02:48 AM,07:32 AM,05:33 PM,1,-1,2,-1,22,100,93,16.0,1023,3,8,124,15
2020-01-07,5,2,0.0,3.8,1,1,80,02:37 PM,03:47 AM,07:33 AM,05:34 PM,1,-1,3,-1,24,99,88,7.1,1024,5,7,137,17
2020-01-08,5,1,1.2,3.8,1,1,88,03:19 PM,04:48 AM,07:33 AM,05:34 PM,-0,1,2,1,9,92,84,2.1,1029,5,8,115,6
2020-01-09,6,1,0.9,3.8,1,1,95,04:08 PM,05:50 AM,07:33 AM,05:35 PM,-2,2,3,2,7,89,74,1.2,1027,6,9,70,5
2020-01-10,7,1,0.0,5.4,1,1,100,05:04 PM,06:52 AM,07:33 AM,05:36 PM,-3,3,4,3,7,56,62,0.0,1025,7,10,147,5
2020-01-11,8,3,0.0,3.8,1,1,100,06:07 PM,07:50 AM,07:32 AM,05:37 PM,-0,3,4,3,11,67,74,0.1,1025,8,10,235,8
2020-01-12,6,-0,0.0,5.4,1,1,83,07:16 PM,08:43 AM,07:32 AM,05:38 PM,0,2,3,2,8,76,84,1.1,1024,6,10,78,5
2020-01-13,9,2,0.0,7.1,1,1,76,08:25 PM,09:31 AM,07:32 AM,05:39 PM,-1,3,5,3,12,36,68,0.0,1024,9,10,225,9
2020-01-14,6,1,0.0,8.7,1,1,69,09:34 PM,10:12 AM,07:32 AM,05:40 PM,-4,1,3,1,10,4,62,0.0,1028,6,10,125,7
2020-01-15,2,-2,1.1,3.8,1,1,61,10:42 PM,10:50 AM,07:32 AM,05:41 PM,-5,-4,-0,-4,15,68,70,1.6,1029,2,7,35,10
2020-01-16,5,-2,0.0,7.1,1,1,54,11:49 PM,11:26 AM,07:32 AM,05:42 PM,-4,-1,1,-1,10,50,70,0.0,1030,5,10,34,7
2020-01-17,8,-1,0.0,8.7,1,1,47,No moonrise,12:00 PM,07:31 AM,05:43 PM,-3,2,3,2,9,16,66,0.0,1028,8,10,236,6
2020-01-18,9,2,0.0,7.1,1,1,40,12:54 AM,12:34 PM,07:31 AM,05:43 PM,-3,3,5,3,19,50,56,0.0,1026,9,10,309,12
2020-01-19,10,2,0.0,8.7,1,1,32,01:59 AM,01:10 PM,07:31 AM,05:44 PM,-7,3,6,3,25,30,39,0.0,1025,10,10,317,15
2020-01-20,9,3,0.0,7.1,1,1,25,03:04 AM,01:50 PM,07:31 AM,05:45 PM,-5,4,5,4,15,23,49,0.0,1026,9,10,42,9
2020-01-21,8,1,0.0,3.8,1,1,18,04:08 AM,02:33 PM,07:30 AM,05:46 PM,-1,3,4,3,8,53,68,0.0,1024,8,10,163,5
2020-01-22,9,2,0.0,3.8,1,1,11,05:10 AM,03:22 PM,07:30 AM,05:47 PM,1,5,5,5,6,41,75,0.0,1023,9,10,211,4
2020-01-23,10,3,0.0,7.1,1,1,3,06:07 AM,04:14 PM,07:29 AM,05:48 PM,1,6,7,6,10,50,68,0.0,1026,10,10,95,6
2020-01-24,8,2,0.0,3.8,1,1,0,07:00 AM,05:11 PM,07:29 AM,05:49 PM,-0,1,5,1,28,98,69,1.0,1033,8,8,32,20
2020-01-25,6,1,0.0,3.8,1,1,0,07:46 AM,06:08 PM,07:28 AM,05:50 PM,-0,2,4,2,13,94,75,0.9,1032,6,10,36,9
2020-01-26,6,1,0.3,3.8,1,1,4,08:27 AM,07:06 PM,07:28 AM,05:51 PM,-1,0,3,0,20,96,71,0.9,1030,6,9,32,14
2020-01-27,7,-0,0.1,5.5,1,1,11,09:03 AM,08:03 PM,07:27 AM,05:52 PM,-4,1,3,1,12,57,63,0.1,1026,7,9,111,8
2020-01-28,11,1,0.0,8.7,1,1,18,09:35 AM,08:59 PM,07:27 AM,05:53 PM,-3,4,6,4,11,12,56,0.0,1024,11,10,320,8
2020-01-29,12,3,0.0,8.7,1,1,26,10:04 AM,09:53 PM,07:26 AM,05:54 PM,-3,5,7,5,15,7,50,0.0,1025,12,10,325,10
2020-01-30,14,4,0.0,8.7,1,1,33,10:32 AM,10:47 PM,07:26 AM,05:55 PM,-3,8,9,8,8,0,46,0.0,1026,14,10,229,5
2020-01-31,14,3,0.0,8.7,1,1,37,11:00 AM,11:42 PM,07:25 AM,05:56 PM,-1,7,8,7,15,26,54,0.0,1024,14,10,218,9
2020-02-01,13,6,0.0,3.9,1,1,49,11:28 AM,No moonset,07:24 AM,05:57 PM,1,7,9,7,15,82,58,0.0,1024,13,10,90,9
2020-02-02,13,4,0.0,5.5,1,1,57,11:58 AM,12:36 AM,07:24 AM,05:58 PM,-2,7,8,7,17,66,51,0.0,1027,13,10,332,11
2020-02-03,11,2,0.0,8.7,1,1,64,12:31 PM,01:33 AM,07:23 AM,05:59 PM,-4,5,7,5,14,24,46,0.0,1028,11,10,127,9
