date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,16,0.0,7.1,1,1,37,11:21 AM,11:13 PM,07:03 AM,05:51 PM,14,17,17,17,28,50,80,0.0,1026,19,10,82,21
2020-01-02,19,17,0.0,5.5,1,1,44,11:55 AM,No moonset,07:03 AM,05:51 PM,15,18,18,18,23,46,81,0.0,1024,19,10,91,18
2020-01-03,21,17,0.0,7.1,1,1,51,12:27 PM,12:02 AM,07:03 AM,05:52 PM,15,19,19,19,20,32,81,0.0,1023,21,10,86,16
2020-01-04,21,18,0.0,8.7,1,1,59,01:01 PM,12:51 AM,07:04 AM,05:53 PM,16,19,20,19,21,10,80,0.0,1020,21,10,93,16
2020-01-05,21,18,0.0,5.5,1,1,66,01:35 PM,01:41 AM,07:04 AM,05:53 PM,16,19,19,19,36,69,82,0.1,1020,21,10,79,25
2020-01-06,21,19,0.0,5.5,1,1,73,02:12 PM,02:32 AM,07:04 AM,05:54 PM,17,20,20,20,29,52,83,0.0,1019,21,10,92,21
2020-01-07,23,16,0.0,8.7,1,1,80,02:53 PM,03:26 AM,07:04 AM,05:55 PM,19,22,22,20,13,40,85,0.0,1017,23,10,92,10
2020-01-08,23,19,0.0,8.7,1,1,88,03:39 PM,04:22 AM,07:05 AM,05:55 PM,16,22,22,21,26,5,73,0.0,1018,23,10,66,18
2020-01-09,20,14,0.0,8.7,1,1,95,04:30 PM,05:22 AM,07:05 AM,05:56 PM,15,18,18,18,32,59,80,0.0,1018,20,10,79,24
2020-01-10,21,18,0.0,8.7,1,1,100,05:28 PM,06:21 AM,07:05 AM,05:57 PM,16,19,20,19,23,50,81,0.0,1016,21,10,85,17
2020-01-11,22,19,0.0,8.7,1,1,100,06:30 PM,07:20 AM,07:05 AM,05:57 PM,16,20,22,20,14,39,78,0.0,1015,22,10,94,11
2020-01-12,19,16,0.0,7.1,1,1,83,07:34 PM,08:16 AM,07:05 AM,05:58 PM,9,18,18,18,18,37,59,0.2,1017,19,10,53,14
2020-01-13,19,14,0.0,5.5,1,1,76,08:39 PM,09:08 AM,07:05 AM,05:59 PM,14,17,18,17,25,49,77,0.1,1017,19,10,81,19
2020-01-14,19,17,0.0,8.7,1,1,69,09:42 PM,09:55 AM,07:05 AM,05:59 PM,14,18,18,18,27,30,77,0.0,1018,19,10,86,20
2020-01-15,19,17,0.0,5.5,1,1,61,10:44 PM,10:38 AM,07:05 AM,06:00 PM,15,18,18,18,37,78,82,0.8,1018,19,10,81,27
2020-01-16,22,18,0.0,11.0,1,1,54,11:44 PM,11:20 AM,07:05 AM,06:01 PM,16,20,20,20,20,52,80,0.1,1018,22,10,89,15
2020-01-17,19,16,0.0,7.0,1,1,47,No moonrise,12:00 PM,07:05 AM,06:01 PM,11,18,18,18,16,68,64,0.1,1020,19,10,40,12
2020-01-18,18,17,0.0,10.1,1,1,40,12:43 AM,12:40 PM,07:05 AM,06:02 PM,12,17,17,17,19,59,72,0.3,1020,18,9,70,14
2020-01-19,19,14,0.0,8.5,1,1,32,01:43 AM,01:22 PM,07:05 AM,06:03 PM,13,17,18,17,14,70,75,0.8,1021,19,8,52,11
2020-01-20,19,17,0.0,10.1,1,1,25,02:42 AM,02:06 PM,07:05 AM,06:03 PM,12,18,18,18,15,50,69,0.0,1022,19,10,92,11
2020-01-21,19,14,0.0,7.0,1,1,18,03:42 AM,02:54 PM,07:05 AM,06:04 PM,15,17,18,17,28,74,83,0.2,1022,19,10,84,21
2020-01-22,21,17,0.0,7.0,1,1,11,04:40 AM,03:45 PM,07:05 AM,06:05 PM,17,19,20,19,18,76,86,0.1,1019,21,10,84,14
2020-01-23,23,19,0.0,11.0,1,1,3,05:37 AM,04:38 PM,07:05 AM,06:05 PM,19,21,22,21,18,46,88,0.1,1017,23,10,98,12
2020-01-24,22,20,0.0,5.5,1,1,0,06:29 AM,05:33 PM,07:05 AM,06:06 PM,18,21,21,21,25,76,88,0.9,1017,22,10,83,17
2020-01-25,20,13,0.0,5.5,1,1,0,07:18 AM,06:28 PM,07:04 AM,06:07 PM,17,18,19,18,36,90,86,10.4,1016,20,9,77,25
2020-01-26,18,14,0.0,7.0,1,1,4,08:02 AM,07:22 PM,07:04 AM,06:07 PM,13,17,17,17,25,66,76,6.8,1015,18,10,118,19
2020-01-27,17,12,0.0,11.0,1,1,11,08:42 AM,08:14 PM,07:04 AM,06:08 PM,6,14,15,14,23,26,56,0.0,1017,17,10,28,18
2020-01-28,17,12,0.0,10.1,1,1,18,09:19 AM,09:05 PM,07:04 AM,06:09 PM,5,13,14,13,18,44,56,0.8,1019,17,9,16,14
2020-01-29,17,12,0.0,11.1,1,1,26,09:54 AM,09:55 PM,07:03 AM,06:09 PM,3,13,14,13,25,13,48,0.0,1021,17,10,19,19
2020-01-30,17,12,0.0,11.1,1,1,33,10:26 AM,10:43 PM,07:03 AM,06:10 PM,0,13,14,13,32,0,39,0.0,1021,17,10,22,24
2020-01-31,17,14,0.0,11.1,1,1,37,10:59 AM,11:32 PM,07:03 AM,06:11 PM,4,15,15,15,19,4,47,0.0,1022,17,10,83,16
2020-02-01,17,12,0.0,5.5,1,1,49,11:33 AM,No moonset,07:02 AM,06:11 PM,10,15,16,15,32,47,70,0.0,1022,17,10,79,23
2020-02-02,18,15,0.0,5.6,1,1,57,12:07 PM,12:22 AM,07:02 AM,06:12 PM,13,17,17,17,32,59,79,0.0,1022,18,10,78,24
2020-02-03,19,17,0.0,5.6,1,1,64,12:46 PM,01:14 AM,07:02 AM,06:13 PM,15,18,18,18,28,77,81,0.3,1021,19,10,75,20
2020-02-04,18,12,0.0,5.6,1,1,72,01:28 PM,02:08 AM,07:01 AM,06:13 PM,13,17,18,17,21,79,75,1.0,1021,18,8,62,16
2020-02-05,18,17,0.0,5.6,1,1,79,02:16 PM,03:04 AM,07:01 AM,06:14 PM,14,18,18,18,28,84,80,0.0,1020,18,10,82,21
2020-02-06,18,14,0.0,5.6,1,1,87,03:10 PM,04:03 AM,07:00 AM,06:15 PM,14,17,17,17,36,78,82,0.6,1020,18,8,81,27
2020-02-07,20,17,0.0,5.6,1,1,95,04:09 PM,05:02 AM,07:00 AM,06:15 PM,15,18,18,18,16,70,80,0.4,1021,20,10,75,12
2020-02-08,20,16,0.0,10.1,1,1,100,05:13 PM,06:00 AM,06:59 AM,06:16 PM,12,18,18,18,17,41,71,0.1,1024,20,10,72,13
2020-02-09,18,14,0.0,7.2,1,1,100,06:19 PM,06:54 AM,06:59 AM,06:16 PM,9,16,16,16,17,60,65,0.4,1026,18,9,37,13
2020-02-10,18,14,0.0,5.8,1,1,83,07:26 PM,07:45 AM,06:58 AM,06:17 PM,12,16,16,16,20,74,74,0.0,1023,18,10,77,15
2020-02-11,19,12,0.0,5.8,1,1,75,08:30 PM,08:31 AM,06:58 AM,06:17 PM,16,16,17,16,25,92,88,0.6,1021,19,8,77,18
2020-02-12,23,18,0.0,10.2,1,1,68,09:34 PM,09:16 AM,06:57 AM,06:18 PM,19,21,22,21,13,44,87,0.3,1018,23,10,109,9
2020-02-13,23,20,0.0,10.2,1,1,60,10:35 PM,09:57 AM,06:57 AM,06:19 PM,18,21,21,21,15,42,84,0.3,1015,23,10,169,10
2020-02-14,22,20,0.0,5.8,1,1,53,11:36 PM,10:39 AM,06:56 AM,06:19 PM,20,21,22,21,18,70,93,16.8,1014,22,8,120,12
2020-02-15,22,20,0.0,5.8,1,1,45,No moonrise,11:21 AM,06:55 AM,06:20 PM,20,21,22,21,23,87,93,7.6,1014,22,9,127,15
2020-02-16,16,12,0.0,5.8,1,1,38,12:37 AM,12:05 PM,06:55 AM,06:20 PM,8,12,14,12,34,89,69,17.2,1021,16,8,4,26
2020-02-17,16,11,0.0,11.6,1,1,30,01:37 AM,12:52 PM,06:54 AM,06:21 PM,2,11,13,11,29,30,49,0.0,1026,16,10,25,23
2020-02-18,17,12,0.0,11.6,1,1,22,02:35 AM,01:42 PM,06:53 AM,06:21 PM,5,14,14,14,20,6,54,0.0,1026,17,10,79,16
2020-02-19,18,14,0.0,10.2,1,1,15,03:32 AM,02:33 PM,06:53 AM,06:22 PM,10,15,16,15,24,25,69,0.0,1024,18,10,88,18
2020-02-20,19,16,0.0,11.6,1,1,7,04:25 AM,03:28 PM,06:52 AM,06:22 PM,13,18,18,18,26,25,75,0.0,1024,19,10,87,19
2020-02-21,20,16,0.0,11.6,1,1,0,05:15 AM,04:21 PM,06:51 AM,06:23 PM,14,18,18,18,26,14,77,0.0,1026,20,10,82,20
2020-02-22,22,18,0.0,11.6,1,1,0,06:00 AM,05:16 PM,06:51 AM,06:23 PM,16,20,21,20,17,7,75,0.0,1025,22,10,102,13
2020-02-23,20,17,0.0,10.2,1,1,0,06:41 AM,06:08 PM,06:50 AM,06:24 PM,14,19,19,19,32,39,75,0.0,1024,20,10,84,23
2020-02-24,20,18,0.0,8.7,1,1,0,07:19 AM,06:59 PM,06:49 AM,06:24 PM,16,19,19,19,27,73,83,0.2,1020,20,10,84,20
2020-02-25,23,19,0.0,8.7,1,1,8,07:53 AM,07:49 PM,06:48 AM,06:25 PM,18,21,22,21,18,48,87,0.1,1017,23,10,87,13
2020-02-26,28,20,0.0,11.6,1,1,15,08:26 AM,08:38 PM,06:48 AM,06:25 PM,21,25,25,24,9,17,84,0.0,1017,28,10,136,7
2020-02-27,21,19,0.0,8.7,1,1,23,08:59 AM,09:27 PM,06:47 AM,06:26 PM,17,20,20,20,34,58,84,0.1,1018,21,10,89,26
2020-02-28,21,17,0.0,10.2,1,1,30,09:32 AM,10:16 PM,06:46 AM,06:26 PM,17,19,21,19,24,49,83,0.3,1018,21,10,83,19
2020-02-29,24,20,0.0,11.6,1,1,38,10:06 AM,11:06 PM,06:45 AM,06:27 PM,19,23,23,22,13,20,83,0.0,1015,24,10,110,10
2020-03-01,25,21,0.0,11.6,1,1,44,10:42 AM,11:58 PM,06:44 AM,06:27 PM,20,25,25,23,7,19,82,0.0,1014,25,10,227,6
2020-03-02,21,19,0.0,5.9,1,1,51,11:22 AM,No moonset,06:44 AM,06:27 PM,17,20,21,20,31,85,84,0.5,1017,21,9,90,24
2020-03-03,21,18,0.0,8.8,1,1,58,12:06 PM,12:53 AM,06:43 AM,06:28 PM,17,20,20,20,29,60,84,0.0,1018,21,10,91,23
2020-03-04,21,19,0.0,5.9,1,1,65,12:55 PM,01:49 AM,06:42 AM,06:28 PM,17,20,20,20,22,86,82,1.7,1018,21,9,72,17
2020-03-05,20,17,0.0,10.2,1,1,73,01:51 PM,02:46 AM,06:41 AM,06:29 PM,14,18,18,18,27,70,79,0.7,1019,20,8,89,21
2020-03-06,20,17,0.0,5.9,1,1,80,02:51 PM,03:43 AM,06:40 AM,06:29 PM,15,18,18,18,28,83,84,0.0,1017,20,10,85,22
2020-03-07,23,19,0.0,10.2,1,1,87,03:56 PM,04:38 AM,06:39 AM,06:29 PM,19,21,23,21,15,52,88,0.0,1014,23,10,123,12
2020-03-08,23,21,0.0,6.0,1,1,95,05:02 PM,05:30 AM,06:38 AM,06:30 PM,20,22,23,22,20,83,91,0.2,1011,23,8,126,14
2020-03-09,23,19,0.0,6.0,1,1,100,06:08 PM,06:19 AM,06:37 AM,06:30 PM,21,24,24,22,24,82,88,2.2,1009,23,9,179,15
2020-03-10,24,20,0.0,8.8,1,1,100,07:13 PM,07:05 AM,06:36 AM,06:31 PM,15,24,24,22,30,63,64,1.6,1014,24,10,14,21
2020-03-11,20,15,0.0,6.0,1,1,84,08:18 PM,07:48 AM,06:36 AM,06:31 PM,15,19,19,19,29,81,76,0.4,1018,20,9,83,23
2020-03-12,21,17,0.0,6.0,1,1,76,09:22 PM,08:31 AM,06:35 AM,06:31 PM,18,19,20,19,28,90,91,1.4,1016,21,5,90,21
2020-03-13,25,21,0.0,11.6,1,1,69,10:25 PM,09:15 AM,06:34 AM,06:32 PM,21,24,24,23,13,40,89,0.0,1016,25,8,130,10
2020-03-14,23,20,0.0,10.2,1,1,62,11:28 PM,10:00 AM,06:33 AM,06:32 PM,16,21,22,21,20,57,75,2.3,1018,23,9,76,15
2020-03-15,20,18,0.0,8.8,1,1,55,No moonrise,10:47 AM,06:32 AM,06:33 PM,15,19,19,19,21,53,75,0.4,1019,20,10,98,17
2020-03-16,21,18,0.0,10.2,1,1,47,12:29 AM,11:37 AM,06:31 AM,06:33 PM,15,19,19,19,32,44,75,0.0,1020,21,10,94,24
2020-03-17,22,19,0.0,6.0,1,1,40,01:28 AM,12:29 PM,06:30 AM,06:33 PM,17,20,21,20,23,76,83,0.4,1019,22,10,92,17
2020-03-18,23,20,0.0,8.8,1,1,33,02:23 AM,01:23 PM,06:29 AM,06:34 PM,19,21,23,21,13,50,87,0.8,1016,23,10,102,10
2020-03-19,23,21,0.0,7.4,1,1,25,03:14 AM,02:17 PM,06:28 AM,06:34 PM,19,24,24,22,9,59,84,0.2,1015,23,10,163,7
2020-03-20,23,21,0.0,6.0,1,1,18,04:00 AM,03:11 PM,06:27 AM,06:34 PM,20,24,24,22,17,91,89,0.4,1015,23,9,97,12
2020-03-21,23,21,0.0,6.0,1,1,11,04:41 AM,04:04 PM,06:26 AM,06:35 PM,20,24,24,22,18,92,91,0.3,1015,23,10,120,13
2020-03-22,26,22,0.0,11.6,1,1,4,05:20 AM,04:55 PM,06:25 AM,06:35 PM,21,26,26,24,8,38,84,0.0,1014,26,8,206,7
2020-03-23,27,22,0.0,11.6,1,1,0,05:55 AM,05:45 PM,06:24 AM,06:35 PM,21,27,27,24,14,15,82,0.0,1014,27,10,216,10
2020-03-24,23,21,0.0,10.2,1,1,0,06:28 AM,06:34 PM,06:23 AM,06:36 PM,19,24,24,22,27,51,84,0.3,1015,23,10,98,21
2020-03-25,23,21,0.0,8.8,1,1,3,07:01 AM,07:23 PM,06:22 AM,06:36 PM,19,23,23,22,20,61,86,0.4,1014,23,9,95,16
2020-03-26,25,22,0.0,10.2,1,1,11,07:33 AM,08:12 PM,06:22 AM,06:36 PM,21,26,26,23,16,56,87,0.5,1013,25,10,115,12
2020-03-27,26,23,0.0,11.6,1,1,18,08:06 AM,09:02 PM,06:21 AM,06:37 PM,22,27,27,24,14,34,87,0.0,1013,26,10,153,11
2020-03-28,24,21,0.0,6.1,1,1,25,08:42 AM,09:54 PM,06:20 AM,06:37 PM,20,25,25,23,16,82,82,3.3,1013,24,7,84,12
