date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,7,5,0.0,3.8,1,1,37,11:28 AM,11:07 PM,07:20 AM,05:33 PM,1,5,6,5,12,88,68,1.7,1029,7,6,89,9
2020-01-02,8,4,0.0,3.8,1,1,44,11:58 AM,11:59 PM,07:20 AM,05:33 PM,3,5,7,5,10,100,78,0.8,1028,8,8,131,8
2020-01-03,7,2,0.0,3.8,1,1,51,12:27 PM,No moonset,07:21 AM,05:34 PM,4,5,7,5,9,100,82,2.8,1027,7,4,233,7
2020-01-04,11,7,0.0,5.4,1,1,59,12:57 PM,12:52 AM,07:21 AM,05:35 PM,5,9,9,9,5,84,75,0.3,1025,11,9,84,4
2020-01-05,11,10,0.0,3.8,1,1,66,01:28 PM,01:46 AM,07:21 AM,05:36 PM,9,10,10,10,10,100,88,2.6,1020,11,7,70,7
2020-01-06,11,7,0.0,3.8,1,1,73,02:01 PM,02:40 AM,07:21 AM,05:36 PM,7,7,9,7,17,100,92,24.1,1018,11,8,135,12
2020-01-07,10,5,0.0,3.8,1,1,80,02:39 PM,03:38 AM,07:21 AM,05:37 PM,3,4,7,4,22,70,78,43.5,1022,10,8,330,17
2020-01-08,6,3,0.0,5.4,1,1,88,03:22 PM,04:37 AM,07:21 AM,05:38 PM,1,2,5,2,17,57,77,1.5,1027,6,9,43,13
2020-01-09,5,-2,0.0,3.8,1,1,95,04:12 PM,05:39 AM,07:21 AM,05:39 PM,2,1,4,1,16,100,89,15.0,1024,5,7,22,12
2020-01-10,4,0,0.0,3.8,1,1,100,05:09 PM,06:39 AM,07:21 AM,05:39 PM,3,1,3,1,14,100,93,16.0,1023,4,9,227,10
2020-01-11,9,5,0.0,3.8,1,1,100,06:11 PM,07:38 AM,07:21 AM,05:40 PM,3,5,7,5,12,66,77,1.5,1024,9,9,336,9
2020-01-12,13,7,0.0,8.7,1,1,83,07:18 PM,08:32 AM,07:21 AM,05:41 PM,3,9,9,9,6,2,65,0.0,1023,13,10,123,5
2020-01-13,10,6,0.0,7.1,1,1,76,08:26 PM,09:21 AM,07:21 AM,05:42 PM,2,6,8,6,13,37,68,0.1,1023,10,10,42,10
2020-01-14,11,4,0.0,8.7,1,1,69,09:34 PM,10:04 AM,07:21 AM,05:43 PM,1,5,7,5,16,13,63,0.0,1026,11,10,51,12
2020-01-15,6,2,0.0,3.8,1,1,61,10:39 PM,10:44 AM,07:21 AM,05:44 PM,1,1,4,1,19,93,84,4.2,1025,6,8,26,14
2020-01-16,6,1,0.0,3.8,1,1,54,11:44 PM,11:21 AM,07:21 AM,05:45 PM,-0,-0,3,-0,19,88,79,1.4,1028,6,8,118,15
2020-01-17,11,2,0.0,8.7,1,1,47,No moonrise,11:57 AM,07:21 AM,05:45 PM,1,4,6,4,7,7,69,0.0,1028,11,10,7,6
2020-01-18,10,4,0.0,8.7,1,1,40,12:48 AM,12:33 PM,07:21 AM,05:46 PM,1,6,7,6,9,20,64,0.0,1026,10,10,25,7
2020-01-19,13,6,0.0,8.7,1,1,32,01:51 AM,01:11 PM,07:20 AM,05:47 PM,-0,8,9,8,8,8,54,0.0,1026,13,10,217,6
2020-01-20,13,7,0.0,8.7,1,1,25,02:54 AM,01:52 PM,07:20 AM,05:48 PM,0,10,10,10,8,20,50,0.0,1025,13,10,108,6
2020-01-21,9,8,0.0,3.9,1,1,18,03:57 AM,02:36 PM,07:20 AM,05:49 PM,5,7,9,7,13,91,77,3.0,1023,9,7,106,9
2020-01-22,7,1,0.0,3.9,1,1,11,04:58 AM,03:26 PM,07:20 AM,05:50 PM,4,4,6,4,14,87,84,14.9,1021,7,9,12,11
2020-01-23,8,2,0.0,3.9,1,1,3,05:55 AM,04:19 PM,07:19 AM,05:51 PM,5,5,7,5,13,98,87,10.3,1023,8,8,18,9
2020-01-24,8,7,0.0,3.9,1,1,0,06:48 AM,05:15 PM,07:19 AM,05:51 PM,5,5,7,5,21,100,87,5.8,1027,8,6,22,15
2020-01-25,7,6,0.0,3.9,1,1,0,07:35 AM,06:11 PM,07:18 AM,05:52 PM,4,3,6,3,24,100,83,6.4,1028,7,7,20,17
2020-01-26,6,3,0.0,3.9,1,1,4,08:16 AM,07:08 PM,07:18 AM,05:53 PM,2,1,5,1,23,98,85,1.7,1026,6,9,242,17
2020-01-27,5,3,0.0,3.9,1,1,11,08:54 AM,08:03 PM,07:18 AM,05:54 PM,-0,1,4,1,15,96,74,0.1,1025,5,10,9,11
2020-01-28,10,4,0.0,8.7,1,1,18,09:27 AM,08:58 PM,07:17 AM,05:55 PM,0,6,7,6,8,18,63,0.0,1025,10,10,321,7
2020-01-29,12,5,0.0,8.7,1,1,26,09:58 AM,09:51 PM,07:17 AM,05:56 PM,2,8,9,8,11,8,63,0.0,1026,12,10,269,9
2020-01-30,17,7,0.0,8.7,1,1,33,10:27 AM,10:43 PM,07:16 AM,05:57 PM,2,11,12,11,7,2,53,0.0,1026,17,10,328,6
2020-01-31,15,6,0.0,8.7,1,1,37,10:57 AM,11:36 PM,07:15 AM,05:58 PM,1,10,11,10,11,10,51,0.0,1025,15,10,127,8
2020-02-01,14,8,0.0,5.5,1,1,49,11:27 AM,No moonset,07:15 AM,05:58 PM,3,10,11,10,13,44,59,0.0,1024,14,10,110,10
2020-02-02,14,10,0.0,3.9,1,1,57,11:58 AM,12:29 AM,07:14 AM,05:59 PM,5,11,12,11,8,95,62,0.3,1025,14,9,64,6
2020-02-03,15,8,0.0,10.9,1,1,64,12:33 PM,01:25 AM,07:14 AM,06:00 PM,3,11,11,11,12,30,57,0.0,1026,15,10,88,8
2020-02-04,17,10,0.0,10.9,1,1,72,01:12 PM,02:21 AM,07:13 AM,06:01 PM,5,13,13,13,6,8,59,0.0,1024,17,10,151,5
2020-02-05,17,10,0.0,10.9,1,1,79,01:58 PM,03:21 AM,07:12 AM,06:02 PM,5,13,13,13,16,8,57,0.0,1024,17,10,85,12
2020-02-06,7,6,0.0,5.5,1,1,87,02:50 PM,04:21 AM,07:12 AM,06:03 PM,4,5,8,5,22,100,81,11.6,1025,7,9,15,16
2020-02-07,9,6,0.0,5.5,1,1,95,03:50 PM,05:21 AM,07:11 AM,06:04 PM,3,6,7,6,10,90,76,0.0,1029,9,10,242,8
2020-02-08,12,7,0.0,10.9,1,1,100,04:56 PM,06:17 AM,07:10 AM,06:04 PM,3,8,9,8,9,39,68,0.0,1032,12,10,41,7
2020-02-09,19,9,0.0,11.0,1,1,100,06:05 PM,07:09 AM,07:09 AM,06:05 PM,5,13,13,13,6,5,62,0.0,1030,19,10,242,5
2020-02-10,13,9,0.0,7.0,1,1,83,07:15 PM,07:56 AM,07:09 AM,06:06 PM,5,10,11,10,8,73,69,1.3,1023,13,9,177,6
2020-02-11,13,9,0.0,5.5,1,1,75,08:24 PM,08:39 AM,07:08 AM,06:07 PM,8,11,11,11,8,96,83,3.0,1020,13,9,187,6
2020-02-12,21,10,0.0,10.1,1,1,68,09:32 PM,09:18 AM,07:07 AM,06:08 PM,10,15,15,15,9,35,76,0.0,1018,21,10,186,7
2020-02-13,20,13,0.0,7.0,1,1,60,10:38 PM,09:56 AM,07:06 AM,06:08 PM,13,16,16,16,16,52,83,0.2,1012,20,9,144,10
2020-02-14,20,11,0.0,5.5,1,1,53,11:44 PM,10:32 AM,07:05 AM,06:09 PM,12,15,15,15,25,80,82,4.2,1013,20,10,41,17
2020-02-15,5,-8,6.0,5.5,1,1,45,No moonrise,11:11 AM,07:04 AM,06:10 PM,1,-3,2,-3,46,94,84,24.2,1028,5,3,353,33
2020-02-16,12,-1,0.0,11.1,1,1,38,12:48 AM,11:52 AM,07:03 AM,06:11 PM,-5,4,6,4,11,8,50,0.0,1032,12,10,226,8
2020-02-17,14,7,0.0,10.1,1,1,30,01:52 AM,12:35 PM,07:03 AM,06:12 PM,-4,8,9,8,9,30,41,0.0,1033,14,10,335,7
2020-02-18,16,6,0.0,11.1,1,1,22,02:53 AM,01:23 PM,07:02 AM,06:12 PM,-2,10,10,10,10,26,44,0.0,1029,16,10,132,8
2020-02-19,17,8,0.0,11.1,1,1,15,03:51 AM,02:14 PM,07:01 AM,06:13 PM,3,12,13,12,10,29,54,0.0,1025,17,10,198,7
2020-02-20,18,11,0.0,11.1,1,1,7,04:44 AM,03:08 PM,07:00 AM,06:14 PM,5,14,14,14,14,6,55,0.0,1027,18,10,112,11
2020-02-21,18,12,0.0,11.6,1,1,0,05:32 AM,04:04 PM,06:59 AM,06:15 PM,6,14,14,14,9,41,58,0.0,1030,18,10,233,7
