date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,8,7,0.0,3.9,1,1,11,04:59 AM,03:34 PM,07:21 AM,05:57 PM,7,6,8,6,20,95,91,30.2,1021,8,5,22,15
2020-01-23,7,-2,0.0,3.9,1,1,3,05:56 AM,04:27 PM,07:21 AM,05:58 PM,6,2,5,2,24,100,93,37.4,1023,7,6,129,17
2020-01-24,8,2,0.0,3.9,1,1,0,06:49 AM,05:23 PM,07:21 AM,05:59 PM,6,4,7,4,28,100,93,19.1,1026,8,6,127,19
2020-01-25,7,6,0.0,3.9,1,1,0,07:37 AM,06:19 PM,07:20 AM,05:59 PM,5,2,6,2,31,100,90,9.9,1027,7,7,10,21
2020-01-26,5,-2,0.0,5.4,1,1,4,08:18 AM,07:16 PM,07:20 AM,06:00 PM,2,0,4,0,28,92,88,2.5,1026,5,9,239,20
2020-01-27,5,2,0.0,5.4,1,1,11,08:56 AM,08:10 PM,07:20 AM,06:01 PM,1,1,4,1,17,82,81,0.0,1025,5,10,14,12
2020-01-28,11,2,0.0,10.8,1,1,18,09:31 AM,09:04 PM,07:19 AM,06:02 PM,1,5,6,5,8,20,71,0.0,1025,11,10,234,6
2020-01-29,14,5,0.0,10.8,1,1,26,10:02 AM,09:56 PM,07:19 AM,06:03 PM,4,10,10,10,5,3,66,0.0,1026,14,10,247,4
2020-01-30,15,7,0.0,10.9,1,1,33,10:32 AM,10:48 PM,07:18 AM,06:04 PM,4,11,11,11,6,4,65,0.0,1025,15,10,261,4
2020-01-31,15,7,0.0,10.9,1,1,37,11:02 AM,11:40 PM,07:18 AM,06:04 PM,3,11,11,11,6,19,61,0.0,1024,15,10,169,4
2020-02-01,14,8,0.0,7.0,1,1,49,11:32 AM,No moonset,07:17 AM,06:05 PM,4,11,11,11,7,58,64,0.0,1023,14,10,212,5
2020-02-02,10,8,0.0,5.4,1,1,57,12:04 PM,12:32 AM,07:17 AM,06:06 PM,7,8,9,8,10,94,84,4.3,1025,10,8,220,7
