date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,8,7,0.0,3.8,1,1,11,04:42 AM,03:04 PM,07:04 AM,05:29 PM,6,7,8,7,7,93,90,5.1,1021,8,7,317,5
2020-01-23,11,7,0.0,3.8,1,1,3,05:40 AM,03:56 PM,07:04 AM,05:30 PM,6,7,9,7,15,99,83,1.2,1025,11,8,60,11
2020-01-24,8,7,0.0,3.9,1,1,0,06:32 AM,04:52 PM,07:03 AM,05:31 PM,4,4,7,4,26,97,81,1.8,1030,8,9,54,18
2020-01-25,7,6,0.0,3.9,1,1,0,07:20 AM,05:50 PM,07:03 AM,05:32 PM,3,3,6,3,21,92,78,0.5,1029,7,9,43,15
2020-01-26,5,-2,0.0,3.9,1,1,4,08:01 AM,06:46 PM,07:03 AM,05:33 PM,3,1,5,1,23,100,89,24.4,1025,5,8,33,17
2020-01-27,5,4,0.0,3.9,1,1,11,08:37 AM,07:43 PM,07:02 AM,05:33 PM,2,2,5,2,18,100,82,3.5,1023,5,8,320,13
2020-01-28,6,4,0.0,5.5,1,1,18,09:11 AM,08:37 PM,07:02 AM,05:34 PM,0,3,5,3,15,81,71,0.1,1023,6,10,293,11
2020-01-29,9,3,0.0,7.1,1,1,26,09:41 AM,09:32 PM,07:01 AM,05:35 PM,-1,3,6,3,19,37,64,0.0,1024,9,10,311,13
2020-01-30,8,-1,0.0,8.7,1,1,33,10:09 AM,10:24 PM,07:00 AM,05:36 PM,-2,2,5,2,17,3,60,0.0,1025,8,10,318,12
2020-01-31,13,5,0.0,8.7,1,1,37,10:38 AM,11:18 PM,07:00 AM,05:37 PM,-1,8,8,8,3,2,53,0.0,1026,13,10,206,3
2020-02-01,12,4,0.0,8.7,1,1,49,11:07 AM,No moonset,06:59 AM,05:38 PM,-2,6,7,6,14,38,51,0.0,1026,12,10,110,9
2020-02-02,13,5,0.0,8.7,1,1,57,11:38 AM,12:12 AM,06:59 AM,05:39 PM,1,7,9,7,13,44,58,0.0,1025,13,10,93,9
2020-02-03,11,5,0.0,8.7,1,1,64,12:12 PM,01:08 AM,06:58 AM,05:40 PM,2,5,8,5,19,34,66,0.0,1028,11,10,72,13
2020-02-04,16,4,0.0,8.7,1,1,72,12:51 PM,02:05 AM,06:57 AM,05:41 PM,4,8,10,8,13,14,71,0.0,1026,16,10,136,10
2020-02-05,10,3,0.0,7.2,1,1,79,01:36 PM,03:05 AM,06:56 AM,05:42 PM,2,3,7,3,26,39,74,0.0,1029,10,10,77,20
2020-02-06,5,3,0.0,4.1,1,1,87,02:28 PM,04:06 AM,06:56 AM,05:43 PM,1,-1,4,-1,32,99,84,3.0,1029,5,10,92,23
2020-02-07,6,4,0.0,4.1,1,1,95,03:28 PM,05:06 AM,06:55 AM,05:44 PM,3,3,5,3,16,100,87,3.4,1030,6,5,64,12
2020-02-08,9,5,0.0,4.1,1,1,100,04:33 PM,06:02 AM,06:54 AM,05:44 PM,2,7,7,7,8,88,72,0.2,1032,9,9,120,6
