date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,11,8,0.0,3.9,1,1,11,04:53 AM,03:35 PM,07:16 AM,05:57 PM,8,9,9,9,7,87,92,8.6,1019,11,10,227,4
2020-01-23,9,8,0.0,3.9,1,1,3,05:50 AM,04:27 PM,07:15 AM,05:58 PM,8,9,9,9,5,99,97,10.9,1021,9,5,28,3
2020-01-24,8,1,0.0,3.9,1,1,0,06:42 AM,05:23 PM,07:15 AM,05:58 PM,7,6,7,6,9,100,97,27.8,1025,8,8,247,5
2020-01-25,8,7,0.0,3.9,1,1,0,07:30 AM,06:19 PM,07:15 AM,05:59 PM,7,7,7,7,4,100,98,55.2,1025,8,6,219,4
2020-01-26,6,-4,0.0,5.4,1,1,4,08:13 AM,07:15 PM,07:14 AM,06:00 PM,5,3,5,3,7,99,96,18.7,1024,6,4,257,6
2020-01-27,6,2,0.1,5.4,1,1,11,08:51 AM,08:09 PM,07:14 AM,06:01 PM,2,3,4,3,7,92,90,0.5,1024,6,7,273,5
2020-01-28,6,2,0.0,7.0,1,1,18,09:26 AM,09:02 PM,07:14 AM,06:02 PM,2,4,4,4,5,57,84,0.0,1025,6,9,294,4
2020-01-29,11,2,0.0,10.9,1,1,26,09:58 AM,09:54 PM,07:13 AM,06:02 PM,3,6,7,6,3,9,76,0.0,1026,11,10,315,2
2020-01-30,16,6,0.0,10.9,1,1,33,10:28 AM,10:45 PM,07:13 AM,06:03 PM,5,11,11,11,3,0,67,0.0,1026,16,10,221,2
2020-01-31,15,6,0.0,10.9,1,1,37,10:59 AM,11:36 PM,07:12 AM,06:04 PM,4,9,10,9,7,14,69,0.0,1024,15,10,63,5
2020-02-01,13,4,0.0,10.1,1,1,49,11:30 AM,No moonset,07:12 AM,06:05 PM,3,7,8,7,10,57,71,0.0,1023,13,10,47,6
2020-02-02,9,2,0.0,5.5,1,1,57,12:03 PM,12:28 AM,07:11 AM,06:06 PM,8,8,8,8,6,98,91,9.6,1024,9,8,139,4
2020-02-03,8,6,0.0,5.5,1,1,64,12:39 PM,01:22 AM,07:11 AM,06:06 PM,6,7,7,7,7,99,92,3.0,1026,8,5,32,4
2020-02-04,12,5,0.0,8.5,1,1,72,01:20 PM,02:18 AM,07:10 AM,06:07 PM,6,9,9,9,6,80,84,0.0,1024,12,9,39,4
2020-02-05,17,10,0.0,10.1,1,1,79,02:06 PM,03:16 AM,07:10 AM,06:08 PM,9,12,12,12,10,68,80,0.6,1023,17,9,74,8
2020-02-06,10,1,0.0,5.5,1,1,87,02:59 PM,04:16 AM,07:09 AM,06:09 PM,9,7,9,7,7,95,96,37.5,1021,10,7,16,5
2020-02-07,8,6,0.0,5.5,1,1,95,03:59 PM,05:15 AM,07:08 AM,06:09 PM,7,8,8,8,4,99,93,0.0,1028,8,6,297,3
2020-02-08,8,6,0.0,5.5,1,1,100,05:04 PM,06:12 AM,07:08 AM,06:10 PM,5,7,7,7,5,91,89,0.4,1031,8,7,133,3
2020-02-09,12,6,0.0,8.6,1,1,100,06:12 PM,07:05 AM,07:07 AM,06:11 PM,6,9,9,9,3,52,82,0.0,1030,12,10,349,2
2020-02-10,10,4,0.0,5.5,1,1,83,07:21 PM,07:54 AM,07:06 AM,06:12 PM,6,7,8,7,6,67,86,0.8,1023,10,8,141,3
2020-02-11,14,6,0.0,8.6,1,1,75,08:28 PM,08:37 AM,07:06 AM,06:12 PM,9,10,10,10,7,76,89,8.6,1019,14,9,40,4
2020-02-12,17,11,0.0,7.1,1,1,68,09:34 PM,09:19 AM,07:05 AM,06:13 PM,12,14,14,14,6,69,90,3.9,1017,17,8,201,3
2020-02-13,20,12,0.0,7.1,1,1,60,10:38 PM,09:58 AM,07:04 AM,06:14 PM,14,16,15,16,8,70,90,6.1,1012,20,9,107,4
2020-02-14,22,14,0.0,5.6,1,1,53,11:43 PM,10:36 AM,07:03 AM,06:14 PM,15,17,17,17,13,71,90,24.3,1011,22,7,69,7
2020-02-15,10,-3,10.8,5.6,1,1,45,No moonrise,11:16 AM,07:03 AM,06:15 PM,5,4,6,4,13,100,95,67.1,1022,10,6,301,8
2020-02-16,9,-0,1.9,11.1,1,1,38,12:45 AM,11:58 AM,07:02 AM,06:16 PM,-0,3,4,3,7,33,75,2.7,1032,9,8,333,5
2020-02-17,12,4,0.0,11.2,1,1,30,01:48 AM,12:43 PM,07:01 AM,06:17 PM,1,7,8,7,4,0,64,0.0,1033,12,10,239,3
2020-02-18,13,5,0.0,11.2,1,1,22,02:48 AM,01:32 PM,07:00 AM,06:17 PM,1,7,8,7,9,14,65,0.0,1029,13,10,66,6
2020-02-19,12,6,0.0,7.2,1,1,15,03:45 AM,02:23 PM,06:59 AM,06:18 PM,4,8,8,8,6,58,74,0.0,1025,12,10,200,3
2020-02-20,17,7,0.0,11.6,1,1,7,04:38 AM,03:17 PM,06:58 AM,06:19 PM,7,12,12,12,10,25,73,0.0,1026,17,10,63,7
2020-02-21,12,6,0.0,5.8,1,1,0,05:27 AM,04:12 PM,06:57 AM,06:19 PM,9,10,11,10,5,84,88,1.5,1030,12,6,252,4
2020-02-22,16,10,0.0,8.7,1,1,0,06:11 AM,05:08 PM,06:57 AM,06:20 PM,9,12,12,12,7,66,84,0.1,1030,16,8,58,4
2020-02-23,20,9,0.0,11.6,1,1,0,06:50 AM,06:02 PM,06:56 AM,06:21 PM,10,14,14,14,8,27,76,0.0,1024,20,10,156,4
2020-02-24,25,15,0.0,11.6,1,1,0,07:26 AM,06:55 PM,06:55 AM,06:21 PM,14,19,20,19,12,22,73,0.0,1016,25,10,205,8
2020-02-25,22,17,0.0,7.3,1,1,8,07:58 AM,07:48 PM,06:54 AM,06:22 PM,14,19,20,19,10,61,74,0.3,1016,22,10,249,6
2020-02-26,21,16,0.0,5.8,1,1,15,08:29 AM,08:38 PM,06:53 AM,06:22 PM,15,18,18,18,7,78,86,8.5,1019,21,10,344,4
2020-02-27,17,12,0.0,5.9,1,1,23,09:00 AM,09:30 PM,06:52 AM,06:23 PM,13,15,15,15,12,76,87,0.9,1020,17,8,52,8
2020-02-28,18,11,0.0,11.6,1,1,30,09:31 AM,10:21 PM,06:51 AM,06:24 PM,11,14,14,14,8,58,84,0.0,1017,18,8,276,5
2020-02-29,12,6,0.0,5.9,1,1,38,10:02 AM,11:14 PM,06:50 AM,06:24 PM,10,11,11,11,4,97,94,20.7,1015,12,7,232,2
2020-03-01,14,10,0.0,7.3,1,1,44,10:36 AM,No moonset,06:49 AM,06:25 PM,11,12,12,12,5,76,91,3.6,1019,14,7,208,3
2020-03-02,14,10,0.0,7.3,1,1,51,11:14 AM,12:08 AM,06:48 AM,06:26 PM,8,10,11,10,13,64,84,5.1,1021,14,10,55,8
2020-03-03,10,8,0.0,5.9,1,1,58,11:57 AM,01:04 AM,06:47 AM,06:26 PM,8,9,9,9,7,98,94,23.2,1023,10,7,243,4
2020-03-04,7,3,0.0,5.9,1,1,65,12:45 PM,02:01 AM,06:46 AM,06:27 PM,6,7,7,7,7,97,93,3.7,1025,7,6,211,4
2020-03-05,15,8,0.0,5.9,1,1,73,01:40 PM,02:59 AM,06:45 AM,06:27 PM,8,11,11,11,8,73,82,1.3,1022,15,7,68,6
2020-03-06,14,9,0.0,5.9,1,1,80,02:41 PM,03:56 AM,06:44 AM,06:28 PM,10,11,11,11,8,99,92,20.4,1015,14,7,56,5
2020-03-07,13,8,0.0,5.9,1,1,87,03:47 PM,04:50 AM,06:43 AM,06:29 PM,12,12,12,12,9,98,96,16.4,1014,13,8,47,5
2020-03-08,22,13,0.0,5.9,1,1,95,04:55 PM,05:40 AM,06:42 AM,06:29 PM,16,17,18,17,11,85,92,25.7,1007,22,8,59,7
2020-03-09,16,10,0.0,6.0,1,1,100,06:04 PM,06:26 AM,06:40 AM,06:30 PM,13,14,14,14,10,94,95,26.3,1011,16,6,274,6
