date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,-3,-17,1.3,3.5,1,1,11,04:44 AM,01:56 PM,07:01 AM,04:29 PM,-9,-11,-8,-11,11,86,93,1.7,1025,-3,5,205,6
2020-01-23,-7,-18,1.3,3.5,1,1,3,05:44 AM,02:47 PM,07:00 AM,04:31 PM,-12,-16,-11,-16,16,63,93,1.7,1029,-7,7,265,10
2020-01-24,-10,-20,0.0,8.7,1,1,0,06:36 AM,03:45 PM,06:59 AM,04:32 PM,-19,-20,-17,-20,8,7,84,0.0,1040,-10,10,236,5
2020-01-25,-6,-19,0.0,8.7,1,1,0,07:20 AM,04:46 PM,06:59 AM,04:33 PM,-17,-17,-14,-17,8,14,77,0.0,1036,-6,10,269,4
2020-01-26,-4,-19,0.0,8.7,1,1,4,07:57 AM,05:49 PM,06:58 AM,04:35 PM,-14,-15,-12,-15,8,5,84,0.0,1036,-4,10,196,4
2020-01-27,-1,-12,0.0,8.7,1,1,11,08:27 AM,06:51 PM,06:57 AM,04:36 PM,-13,-10,-8,-10,7,24,71,0.0,1028,-1,10,86,4
2020-01-28,-5,-14,0.0,8.7,1,1,18,08:54 AM,07:52 PM,06:56 AM,04:37 PM,-12,-13,-10,-13,9,72,86,0.0,1026,-5,7,351,5
2020-01-29,-9,-19,0.3,3.7,1,1,26,09:18 AM,08:52 PM,06:55 AM,04:39 PM,-15,-19,-15,-19,11,100,97,0.4,1027,-9,8,355,7
2020-01-30,-11,-22,0.1,3.7,1,1,33,09:41 AM,09:53 PM,06:54 AM,04:40 PM,-18,-19,-18,-19,4,91,97,0.2,1026,-11,9,232,3
2020-01-31,-7,-22,0.0,8.7,1,1,37,10:02 AM,10:52 PM,06:53 AM,04:42 PM,-17,-16,-16,-16,5,28,93,0.0,1025,-7,6,194,2
2020-02-01,-10,-17,0.1,3.7,1,1,49,10:25 AM,11:53 PM,06:52 AM,04:43 PM,-16,-20,-14,-20,16,80,91,0.3,1028,-10,7,240,9
2020-02-02,-11,-21,0.0,3.7,1,1,57,10:49 AM,No moonset,06:51 AM,04:44 PM,-18,-21,-17,-21,12,74,87,0.0,1031,-11,10,259,7
2020-02-03,-13,-21,0.0,8.7,1,1,64,11:18 AM,12:56 AM,06:50 AM,04:46 PM,-20,-24,-18,-24,15,38,84,0.0,1028,-13,10,239,9
2020-02-04,-17,-31,0.0,7.0,1,1,72,11:50 AM,02:00 AM,06:48 AM,04:47 PM,-24,-29,-23,-29,15,64,90,0.0,1031,-17,8,267,9
2020-02-05,-19,-28,0.4,3.8,1,1,79,12:30 PM,03:05 AM,06:47 AM,04:48 PM,-25,-30,-24,-30,11,92,95,0.6,1039,-19,5,266,7
2020-02-06,-12,-27,0.0,7.1,1,1,87,01:20 PM,04:09 AM,06:46 AM,04:50 PM,-22,-24,-19,-24,12,54,83,0.0,1036,-12,9,199,7
2020-02-07,-10,-19,0.5,3.8,1,1,95,02:19 PM,05:09 AM,06:45 AM,04:51 PM,-16,-20,-15,-20,13,89,91,0.7,1029,-10,5,278,8
2020-02-08,-12,-22,0.0,3.8,1,1,100,03:28 PM,06:04 AM,06:43 AM,04:53 PM,-19,-20,-18,-20,6,52,92,0.0,1033,-12,5,291,3
2020-02-09,-4,-19,1.1,5.4,1,1,100,04:44 PM,06:50 AM,06:42 AM,04:54 PM,-14,-18,-12,-18,20,61,88,1.4,1022,-4,8,228,12
2020-02-10,-4,-20,0.1,8.7,1,1,83,06:02 PM,07:30 AM,06:41 AM,04:55 PM,-13,-14,-12,-14,9,34,89,0.1,1024,-4,7,171,4
2020-02-11,3,-9,0.0,8.7,1,1,75,07:21 PM,08:04 AM,06:40 AM,04:57 PM,-5,-7,-3,-7,27,11,85,0.0,1019,3,10,179,14
2020-02-12,4,-2,0.0,7.1,1,1,68,08:38 PM,08:34 AM,06:38 AM,04:58 PM,-0,-2,1,-2,22,54,90,0.0,1015,4,8,205,11
2020-02-13,3,-7,0.3,4.0,1,1,60,09:54 PM,09:03 AM,06:37 AM,05:00 PM,-1,-4,-1,-4,16,86,95,0.7,1015,3,5,196,9
2020-02-14,-11,-15,1.2,5.6,1,1,53,11:09 PM,09:31 AM,06:35 AM,05:01 PM,-14,-19,-12,-19,16,90,89,1.2,1032,-11,8,5,12
2020-02-15,-8,-16,0.0,4.0,1,1,45,No moonrise,10:01 AM,06:34 AM,05:02 PM,-14,-18,-12,-18,17,72,86,0.2,1028,-8,9,10,12
2020-02-16,-11,-16,2.7,4.0,1,1,38,12:21 AM,10:33 AM,06:32 AM,05:04 PM,-15,-21,-14,-21,24,100,92,3.3,1020,-11,3,120,17
2020-02-17,-13,-19,0.3,4.0,1,1,30,01:32 AM,11:11 AM,06:31 AM,05:05 PM,-18,-22,-17,-22,10,86,92,0.4,1024,-13,6,305,7
2020-02-18,-6,-19,0.0,7.1,1,1,22,02:39 AM,11:54 AM,06:29 AM,05:06 PM,-14,-18,-12,-18,18,27,85,0.0,1026,-6,10,225,11
2020-02-19,-3,-13,0.0,8.7,1,1,15,03:40 AM,12:42 PM,06:28 AM,05:08 PM,-10,-11,-8,-11,10,14,82,0.0,1030,-3,10,267,7
2020-02-20,1,-11,0.0,8.7,1,1,7,04:33 AM,01:38 PM,06:26 AM,05:09 PM,-10,-8,-5,-8,9,25,71,0.0,1034,1,10,179,5
2020-02-21,1,-6,11.8,4.1,1,1,0,05:19 AM,02:37 PM,06:25 AM,05:11 PM,-3,-6,-3,-6,14,98,95,13.9,1023,1,3,176,8
2020-02-22,-5,-11,3.1,4.1,1,1,0,05:57 AM,03:39 PM,06:23 AM,05:12 PM,-8,-12,-7,-12,20,85,90,4.1,1020,-5,5,276,13
2020-02-23,-0,-11,0.0,4.1,1,1,0,06:29 AM,04:41 PM,06:22 AM,05:13 PM,-8,-11,-5,-11,27,51,79,0.0,1020,-0,10,202,15
2020-02-24,-2,-9,0.0,7.2,1,1,0,06:57 AM,05:43 PM,06:20 AM,05:15 PM,-8,-8,-6,-8,11,27,83,0.0,1025,-2,10,211,6
2020-02-25,-3,-10,0.0,4.1,1,1,8,07:22 AM,06:43 PM,06:19 AM,05:16 PM,-9,-12,-8,-12,15,75,89,0.0,1028,-3,8,14,10
2020-02-26,-5,-13,0.0,8.7,1,1,15,07:45 AM,07:44 PM,06:17 AM,05:17 PM,-11,-12,-10,-12,8,58,92,0.0,1032,-5,7,232,5
2020-02-27,0,-13,0.0,8.7,1,1,23,08:06 AM,08:43 PM,06:15 AM,05:19 PM,-9,-9,-7,-9,8,20,83,0.0,1032,0,8,217,5
2020-02-28,-0,-9,7.2,4.1,1,1,30,08:28 AM,09:44 PM,06:14 AM,05:20 PM,-6,-10,-5,-10,21,75,90,10.4,1019,-0,5,196,13
2020-02-29,-2,-10,0.0,5.7,1,1,38,08:51 AM,10:45 PM,06:12 AM,05:21 PM,-9,-10,-7,-10,11,58,84,0.1,1021,-2,10,273,7
2020-03-01,-3,-10,0.2,4.2,1,1,44,09:17 AM,11:47 PM,06:10 AM,05:23 PM,-9,-8,-7,-8,5,86,90,0.3,1023,-3,9,215,3
2020-03-02,-4,-11,0.3,4.2,1,1,51,09:47 AM,No moonset,06:09 AM,05:24 PM,-10,-9,-8,-9,6,68,88,0.6,1027,-4,8,231,4
2020-03-03,-1,-12,0.3,5.7,1,1,58,10:23 AM,12:50 AM,06:07 AM,05:25 PM,-9,-9,-6,-9,9,79,86,0.4,1025,-1,9,74,5
2020-03-04,-3,-11,3.9,4.2,1,1,65,11:06 AM,01:53 AM,06:05 AM,05:26 PM,-7,-11,-6,-11,17,96,93,4.6,1023,-3,2,333,11
2020-03-05,-2,-13,0.2,8.7,1,1,73,12:00 PM,02:54 AM,06:04 AM,05:28 PM,-9,-12,-8,-12,16,46,87,0.3,1024,-2,8,207,10
2020-03-06,2,-10,0.0,8.7,1,1,80,01:03 PM,03:50 AM,06:02 AM,05:29 PM,-5,-7,-3,-7,17,44,87,0.0,1018,2,9,149,10
2020-03-07,1,-2,5.1,5.7,1,1,87,02:14 PM,04:39 AM,06:00 AM,05:30 PM,-1,-4,-0,-4,18,76,96,6.7,1017,1,6,231,11
2020-03-08,4,-2,0.0,8.7,1,1,95,03:32 PM,05:22 AM,05:59 AM,05:32 PM,0,-1,1,-1,15,83,91,0.1,1017,4,9,213,9
2020-03-09,-1,-5,5.1,5.9,1,1,100,04:51 PM,05:58 AM,05:57 AM,05:33 PM,-3,-6,-2,-6,14,77,94,9.8,1020,-1,6,121,10
2020-03-10,-0,-7,1.2,7.3,1,1,100,06:11 PM,06:30 AM,05:55 AM,05:34 PM,-6,-6,-4,-6,9,63,85,2.2,1011,-0,6,306,6
2020-03-11,2,-7,0.1,10.2,1,1,84,07:31 PM,07:00 AM,05:53 AM,05:35 PM,-9,-6,-2,-6,15,39,64,0.3,1014,2,9,250,10
2020-03-12,2,-7,0.3,8.8,1,1,76,08:48 PM,07:29 AM,05:52 AM,05:37 PM,-14,-8,-2,-8,34,46,43,1.1,1016,2,9,281,25
2020-03-13,-2,-10,0.0,11.6,1,1,69,10:05 PM,07:59 AM,05:50 AM,05:38 PM,-18,-12,-6,-12,27,13,38,0.0,1023,-2,10,248,18
2020-03-14,2,-6,0.5,10.2,1,1,62,11:20 PM,08:31 AM,05:48 AM,05:39 PM,-8,-6,-2,-6,21,57,62,0.9,1009,2,9,253,14
2020-03-15,-4,-9,4.3,6.0,1,1,55,No moonrise,09:08 AM,05:46 AM,05:40 PM,-9,-11,-6,-11,20,95,79,4.7,1015,-4,4,346,15
2020-03-16,2,-9,0.1,11.6,1,1,47,12:30 AM,09:50 AM,05:45 AM,05:41 PM,-10,-7,-3,-7,16,37,64,0.1,1016,2,9,198,11
2020-03-17,2,-4,3.6,6.0,1,1,40,01:35 AM,10:38 AM,05:43 AM,05:43 PM,-2,-4,-1,-4,16,80,88,4.5,1009,2,5,242,10
2020-03-18,11,-2,0.3,8.8,1,1,33,02:31 AM,11:32 AM,05:41 AM,05:44 PM,-2,1,4,1,25,57,68,0.9,1002,11,9,226,15
2020-03-19,4,-2,5.2,6.0,1,1,25,03:20 AM,12:30 PM,05:39 AM,05:45 PM,-1,-3,1,-3,18,81,88,10.5,1001,4,6,227,13
2020-03-20,8,-2,0.0,10.2,1,1,18,03:59 AM,01:32 PM,05:37 AM,05:46 PM,-3,-0,3,-0,16,39,67,0.0,1006,8,10,239,11
2020-03-21,7,-0,0.0,11.6,1,1,11,04:33 AM,02:33 PM,05:35 AM,05:48 PM,-5,-0,3,-0,17,33,57,0.0,1011,7,10,277,11
2020-03-22,5,-1,0.0,11.6,1,1,4,05:01 AM,03:35 PM,05:34 AM,05:49 PM,-7,-0,2,-0,14,44,51,0.0,1015,5,10,294,10
2020-03-23,7,-1,0.0,10.2,1,1,0,05:27 AM,04:36 PM,05:32 AM,05:50 PM,-5,1,3,1,14,23,55,0.0,1020,7,10,329,11
2020-03-24,11,0,0.0,11.6,1,1,0,05:49 AM,05:36 PM,05:30 AM,05:51 PM,-6,4,5,4,12,6,46,0.0,1020,11,10,166,8
2020-03-25,15,2,0.0,10.2,1,1,3,06:11 AM,06:36 PM,05:28 AM,05:52 PM,-1,5,7,5,25,36,57,0.2,1013,15,10,198,14
2020-03-26,6,-2,1.5,6.1,1,1,11,06:32 AM,07:37 PM,05:26 AM,05:54 PM,-5,-0,3,-0,20,68,60,2.0,1019,6,8,279,13
