date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,-8,-14,0.0,8.7,1,1,37,11:01 AM,10:17 PM,07:12 AM,04:24 PM,-15,-12,-11,-12,4,6,78,0.0,1033,-8,10,216,2
2020-01-02,-8,-12,0.0,8.7,1,1,44,11:25 AM,11:16 PM,07:12 AM,04:25 PM,-12,-12,-10,-12,8,2,80,0.0,1031,-8,10,241,6
2020-01-03,-5,-15,0.0,8.7,1,1,51,11:49 AM,No moonset,07:12 AM,04:25 PM,-11,-12,-9,-12,10,9,80,0.0,1028,-5,10,234,6
2020-01-04,-3,-10,0.0,8.7,1,1,59,12:12 PM,12:15 AM,07:12 AM,04:26 PM,-9,-9,-7,-9,6,8,84,0.0,1029,-3,10,282,4
2020-01-05,-1,-10,0.0,8.7,1,1,66,12:37 PM,01:15 AM,07:12 AM,04:27 PM,-9,-7,-6,-7,7,26,78,0.0,1032,-1,10,96,4
2020-01-06,-0,-8,0.6,3.4,1,1,73,01:05 PM,02:15 AM,07:12 AM,04:28 PM,-6,-6,-3,-6,11,88,83,1.2,1027,-0,7,138,6
2020-01-07,-7,-12,1.3,5.2,1,1,80,01:37 PM,03:19 AM,07:12 AM,04:29 PM,-10,-15,-9,-15,23,77,92,1.1,1024,-7,8,119,16
2020-01-08,-9,-14,0.5,3.4,1,1,88,02:15 PM,04:23 AM,07:12 AM,04:30 PM,-12,-16,-11,-16,13,99,93,0.9,1025,-9,6,325,9
2020-01-09,-6,-12,0.4,3.5,1,1,95,03:01 PM,05:29 AM,07:11 AM,04:31 PM,-11,-11,-10,-11,6,72,93,0.5,1028,-6,7,228,4
2020-01-10,-5,-15,0.0,8.7,1,1,100,03:56 PM,06:32 AM,07:11 AM,04:32 PM,-10,-12,-9,-12,8,12,87,0.0,1025,-5,10,249,5
