date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,10,8,0.0,5.4,1,1,11,04:59 AM,03:39 PM,07:22 AM,06:01 PM,8,7,9,7,15,95,93,15.5,1020,10,9,344,10
2020-01-23,7,-1,0.0,5.4,1,1,3,05:57 AM,04:31 PM,07:22 AM,06:02 PM,6,3,6,3,23,97,94,30.6,1022,7,7,350,16
2020-01-24,8,6,0.0,5.4,1,1,0,06:49 AM,05:27 PM,07:21 AM,06:02 PM,6,4,7,4,24,100,94,29.1,1026,8,8,346,16
2020-01-25,6,-1,0.0,5.4,1,1,0,07:37 AM,06:23 PM,07:21 AM,06:03 PM,5,2,6,2,28,100,92,23.4,1026,6,7,352,19
2020-01-26,5,3,0.0,5.4,1,1,4,08:19 AM,07:19 PM,07:21 AM,06:04 PM,3,0,4,0,26,99,88,2.4,1025,5,8,333,19
2020-01-27,5,2,0.0,5.4,1,1,11,08:57 AM,08:14 PM,07:20 AM,06:05 PM,1,0,4,0,18,79,82,0.3,1025,5,10,352,13
2020-01-28,9,2,0.0,10.9,1,1,18,09:32 AM,09:07 PM,07:20 AM,06:06 PM,1,3,5,3,10,30,76,0.0,1025,9,10,230,7
2020-01-29,15,5,0.0,10.9,1,1,26,10:04 AM,09:59 PM,07:19 AM,06:06 PM,3,9,10,9,5,9,66,0.0,1027,15,10,346,4
2020-01-30,18,9,0.0,10.9,1,1,33,10:34 AM,10:50 PM,07:19 AM,06:07 PM,6,13,13,13,3,1,61,0.0,1026,18,10,87,3
2020-01-31,15,7,0.0,10.9,1,1,37,11:04 AM,11:42 PM,07:19 AM,06:08 PM,5,11,11,11,7,21,63,0.0,1024,15,10,129,5
2020-02-01,13,7,0.0,8.5,1,1,49,11:35 AM,No moonset,07:18 AM,06:09 PM,5,10,10,10,7,59,72,0.1,1023,13,10,175,5
2020-02-02,9,8,0.0,5.5,1,1,57,12:08 PM,12:34 AM,07:17 AM,06:10 PM,7,8,9,8,12,94,89,7.9,1025,9,8,235,8
2020-02-03,11,7,0.0,5.5,1,1,64,12:43 PM,01:28 AM,07:17 AM,06:10 PM,7,8,9,8,11,96,84,1.5,1026,11,5,122,8
2020-02-04,15,8,0.0,8.5,1,1,72,01:24 PM,02:24 AM,07:16 AM,06:11 PM,7,12,12,12,4,56,76,0.0,1024,15,10,92,3
2020-02-05,16,11,0.0,7.0,1,1,79,02:10 PM,03:23 AM,07:16 AM,06:12 PM,8,13,13,13,13,71,73,0.8,1023,16,10,93,9
2020-02-06,11,7,0.0,5.5,1,1,87,03:03 PM,04:22 AM,07:15 AM,06:13 PM,8,7,9,7,21,100,91,41.1,1023,11,7,349,15
2020-02-07,8,2,0.0,5.5,1,1,95,04:03 PM,05:22 AM,07:14 AM,06:14 PM,4,3,6,3,17,99,84,0.3,1029,8,9,341,13
2020-02-08,10,7,0.0,7.0,1,1,100,05:08 PM,06:19 AM,07:14 AM,06:14 PM,5,7,8,7,14,58,80,0.0,1031,10,10,349,11
2020-02-09,14,7,0.0,11.0,1,1,100,06:16 PM,07:12 AM,07:13 AM,06:15 PM,6,10,10,10,8,30,74,0.0,1030,14,10,244,6
2020-02-10,11,9,0.0,5.5,1,1,83,07:25 PM,08:00 AM,07:12 AM,06:16 PM,7,9,10,9,9,80,84,1.6,1023,11,8,161,6
2020-02-11,12,10,0.0,5.5,1,1,75,08:33 PM,08:43 AM,07:12 AM,06:17 PM,10,11,11,11,7,95,93,21.9,1019,12,7,110,5
2020-02-12,18,11,0.0,7.0,1,1,68,09:40 PM,09:24 AM,07:11 AM,06:17 PM,12,14,14,14,4,77,88,2.5,1017,18,8,165,3
2020-02-13,21,14,0.0,5.5,1,1,60,10:44 PM,10:03 AM,07:10 AM,06:18 PM,15,17,18,17,12,78,88,2.4,1012,21,8,169,8
2020-02-14,23,15,0.0,5.6,1,1,53,11:49 PM,10:41 AM,07:09 AM,06:19 PM,16,18,19,18,19,76,87,17.2,1011,23,9,218,13
2020-02-15,7,-7,0.0,5.6,1,1,45,No moonrise,11:21 AM,07:09 AM,06:20 PM,2,-2,3,-2,49,93,86,49.6,1026,7,5,356,35
2020-02-16,10,-0,0.0,11.1,1,1,38,12:52 AM,12:02 PM,07:08 AM,06:20 PM,-1,3,5,3,17,15,65,0.0,1032,10,10,358,13
2020-02-17,13,5,0.0,11.1,1,1,30,01:54 AM,12:47 PM,07:07 AM,06:21 PM,1,8,10,8,10,2,57,0.0,1033,13,10,4,8
2020-02-18,15,7,0.0,11.2,1,1,22,02:55 AM,01:35 PM,07:06 AM,06:22 PM,3,11,11,11,7,18,58,0.0,1029,15,10,123,5
2020-02-19,14,9,0.0,8.6,1,1,15,03:52 AM,02:27 PM,07:05 AM,06:22 PM,6,10,11,10,10,53,71,0.0,1025,14,10,148,7
2020-02-20,18,9,0.0,11.2,1,1,7,04:45 AM,03:21 PM,07:04 AM,06:23 PM,7,14,14,14,9,26,66,0.0,1026,18,10,115,6
2020-02-21,12,10,0.0,5.6,1,1,0,05:34 AM,04:16 PM,07:03 AM,06:24 PM,9,11,12,11,14,81,84,1.2,1030,12,10,328,10
2020-02-22,16,10,0.0,7.1,1,1,0,06:17 AM,05:12 PM,07:02 AM,06:25 PM,9,13,13,13,5,74,80,0.0,1030,16,10,148,4
2020-02-23,21,13,0.0,11.2,1,1,0,06:56 AM,06:06 PM,07:01 AM,06:25 PM,12,17,17,17,12,43,76,0.0,1024,21,10,169,8
2020-02-24,25,15,0.0,10.1,1,1,0,07:32 AM,07:00 PM,07:01 AM,06:26 PM,14,20,21,20,22,40,71,0.0,1015,25,10,188,14
2020-02-25,23,18,0.0,8.6,1,1,8,08:04 AM,07:53 PM,07:00 AM,06:27 PM,16,21,22,21,11,53,77,0.9,1015,23,10,185,7
2020-02-26,18,15,0.0,5.8,1,1,15,08:35 AM,08:44 PM,06:59 AM,06:27 PM,15,17,17,17,20,92,90,6.3,1019,18,8,333,14
2020-02-27,15,13,0.0,5.9,1,1,23,09:05 AM,09:36 PM,06:58 AM,06:28 PM,12,13,14,13,13,99,88,1.8,1021,15,10,328,10
2020-02-28,13,9,0.0,5.9,1,1,30,09:36 AM,10:27 PM,06:57 AM,06:29 PM,9,10,11,10,14,99,85,3.9,1018,13,10,340,11
