date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,1,-13,0.0,10.1,1,1,11,06:05 AM,04:02 PM,08:22 AM,06:27 PM,-16,-8,-6,-8,8,16,51,0.0,1020,1,10,114,5
2020-01-23,-2,-13,0.0,10.0,1,1,3,07:03 AM,04:54 PM,08:21 AM,06:28 PM,-16,-9,-8,-9,6,50,58,0.0,1024,-2,10,141,4
2020-01-24,-2,-13,0.5,10.0,1,1,0,07:55 AM,05:51 PM,08:21 AM,06:29 PM,-12,-9,-8,-9,5,45,75,0.8,1030,-2,8,131,3
2020-01-25,-3,-15,0.0,10.0,1,1,0,08:41 AM,06:50 PM,08:20 AM,06:30 PM,-14,-11,-9,-11,6,36,68,0.0,1025,-3,10,230,4
2020-01-26,-3,-15,0.0,10.1,1,1,4,09:21 AM,07:49 PM,08:19 AM,06:31 PM,-15,-11,-8,-11,6,7,69,0.0,1022,-3,10,150,3
2020-01-27,1,-16,0.0,10.1,1,1,11,09:55 AM,08:47 PM,08:19 AM,06:32 PM,-18,-9,-7,-9,5,7,49,0.0,1022,1,10,153,3
2020-01-28,0,-12,0.0,10.2,1,1,18,10:25 AM,09:44 PM,08:18 AM,06:33 PM,-20,-8,-6,-8,6,34,36,0.0,1023,0,10,152,4
2020-01-29,3,-10,0.0,10.2,1,1,26,10:53 AM,10:40 PM,08:17 AM,06:34 PM,-18,-6,-3,-6,7,3,37,0.0,1027,3,10,145,4
2020-01-30,-0,-11,0.0,10.2,1,1,33,11:20 AM,11:36 PM,08:17 AM,06:35 PM,-19,-8,-5,-8,7,17,39,0.0,1023,-0,10,225,4
2020-01-31,-0,-13,0.0,10.2,1,1,37,11:46 AM,No moonset,08:16 AM,06:36 PM,-17,-8,-7,-8,5,20,47,0.1,1020,-0,10,246,3
2020-02-01,0,-11,0.9,6.7,1,1,49,12:13 PM,12:31 AM,08:15 AM,06:38 PM,-11,-7,-5,-7,8,66,78,1.2,1023,0,7,62,5
2020-02-02,-1,-13,0.2,10.0,1,1,57,12:41 PM,01:28 AM,08:14 AM,06:39 PM,-14,-8,-6,-8,5,41,67,0.3,1029,-1,10,44,4
2020-02-03,1,-11,0.0,10.3,1,1,64,01:14 PM,02:25 AM,08:14 AM,06:40 PM,-21,-8,-5,-8,8,23,35,0.0,1024,1,10,136,5
2020-02-04,4,-10,0.0,10.3,1,1,72,01:51 PM,03:26 AM,08:13 AM,06:41 PM,-22,-5,-3,-5,8,8,26,0.0,1020,4,10,145,5
2020-02-05,3,-11,0.0,8.4,1,1,79,02:34 PM,04:27 AM,08:12 AM,06:42 PM,-22,-6,-4,-6,7,59,28,0.0,1019,3,10,166,4
2020-02-06,1,-11,0.0,10.0,1,1,87,03:26 PM,05:29 AM,08:11 AM,06:43 PM,-20,-7,-6,-7,7,53,33,0.0,1021,1,10,268,4
2020-02-07,2,-10,0.0,10.3,1,1,95,04:26 PM,06:29 AM,08:10 AM,06:44 PM,-18,-5,-3,-5,7,19,37,0.0,1024,2,10,65,4
2020-02-08,1,-10,0.0,10.4,1,1,100,05:34 PM,07:24 AM,08:09 AM,06:45 PM,-14,-5,-4,-5,4,8,51,0.0,1031,1,10,103,2
2020-02-09,3,-9,0.0,10.4,1,1,100,06:45 PM,08:14 AM,08:08 AM,06:46 PM,-15,-4,-3,-4,5,22,46,0.0,1027,3,10,152,3
2020-02-10,5,-8,0.0,10.4,1,1,83,07:59 PM,08:57 AM,08:07 AM,06:47 PM,-20,-3,-2,-3,7,10,26,0.0,1018,5,10,347,4
2020-02-11,6,-5,0.0,10.4,1,1,75,09:12 PM,09:37 AM,08:06 AM,06:48 PM,-20,-1,0,-1,5,5,21,0.0,1018,6,10,136,4
2020-02-12,11,-5,0.0,10.4,1,1,68,10:23 PM,10:12 AM,08:05 AM,06:49 PM,-20,2,4,2,5,2,19,0.0,1014,11,10,149,4
2020-02-13,10,-3,0.0,10.0,1,1,60,11:34 PM,10:45 AM,08:04 AM,06:50 PM,-17,2,4,2,20,37,28,0.0,1011,10,10,251,15
