date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,10,1,0.0,6.9,1,1,11,05:29 AM,03:39 PM,07:48 AM,06:03 PM,-1,5,6,5,8,62,62,0.0,1022,10,9,74,6
2020-01-23,10,3,0.0,6.9,1,1,3,06:27 AM,04:31 PM,07:48 AM,06:04 PM,-2,6,7,6,4,61,55,0.0,1026,10,10,33,3
2020-01-24,8,4,0.0,5.3,1,1,0,07:19 AM,05:28 PM,07:47 AM,06:05 PM,-1,5,5,5,5,81,67,0.6,1032,8,10,67,4
2020-01-25,8,3,0.1,8.4,1,1,0,08:05 AM,06:25 PM,07:47 AM,06:06 PM,1,4,5,4,5,74,75,0.5,1031,8,9,251,4
2020-01-26,7,2,0.0,5.3,1,1,4,08:46 AM,07:24 PM,07:46 AM,06:07 PM,-1,3,4,3,8,94,71,0.1,1028,7,9,36,7
2020-01-27,7,0,0.0,8.5,1,1,11,09:22 AM,08:20 PM,07:46 AM,06:08 PM,-2,2,3,2,7,58,69,0.2,1026,7,9,153,6
2020-01-28,11,1,0.0,10.6,1,1,18,09:53 AM,09:16 PM,07:45 AM,06:09 PM,-4,5,6,5,7,14,52,0.0,1026,11,10,234,5
2020-01-29,13,3,0.0,10.7,1,1,26,10:22 AM,10:11 PM,07:45 AM,06:10 PM,-6,8,8,8,6,4,39,0.0,1028,13,10,270,5
2020-01-30,16,5,0.0,10.7,1,1,33,10:50 AM,11:05 PM,07:44 AM,06:11 PM,-5,10,10,10,6,0,35,0.0,1025,16,10,38,5
2020-01-31,12,3,0.0,5.3,1,1,37,11:17 AM,12:00 AM,07:43 AM,06:12 PM,-6,7,7,7,7,78,38,0.0,1023,12,10,38,5
2020-02-01,12,6,0.0,8.5,1,1,49,11:46 AM,No moonset,07:43 AM,06:13 PM,-2,8,9,8,9,61,49,0.0,1023,12,10,136,6
2020-02-02,11,5,0.0,5.4,1,1,57,12:15 PM,12:55 AM,07:42 AM,06:14 PM,-6,7,8,7,13,77,40,0.5,1029,11,10,266,9
2020-02-03,15,1,0.0,10.7,1,1,64,12:48 PM,01:52 AM,07:41 AM,06:15 PM,-8,7,8,7,9,12,33,0.0,1026,15,10,35,7
2020-02-04,15,4,0.0,10.8,1,1,72,01:27 PM,02:51 AM,07:40 AM,06:16 PM,-4,9,9,9,8,5,41,0.0,1023,15,10,115,6
2020-02-05,10,2,0.0,8.5,1,1,79,02:11 PM,03:52 AM,07:40 AM,06:17 PM,-3,3,6,3,20,54,53,0.2,1024,10,9,43,16
2020-02-06,8,3,0.0,6.9,1,1,87,03:03 PM,04:53 AM,07:39 AM,06:18 PM,-1,3,5,3,10,80,66,0.3,1028,8,10,43,8
2020-02-07,11,1,0.0,10.8,1,1,95,04:03 PM,05:52 AM,07:38 AM,06:19 PM,-3,5,6,5,5,20,56,0.0,1029,11,10,251,4
2020-02-08,14,4,0.0,8.5,1,1,100,05:10 PM,06:48 AM,07:37 AM,06:20 PM,-3,9,9,9,6,44,45,0.0,1032,14,10,234,5
2020-02-09,19,6,0.0,10.9,1,1,100,06:20 PM,07:39 AM,07:36 AM,06:21 PM,-6,13,13,13,4,3,29,0.0,1029,19,10,155,3
2020-02-10,17,7,0.0,10.9,1,1,83,07:32 PM,08:24 AM,07:35 AM,06:22 PM,-6,12,12,12,7,6,28,0.0,1020,17,10,39,5
2020-02-11,19,7,0.0,10.9,1,1,75,08:44 PM,09:04 AM,07:34 AM,06:23 PM,-3,14,13,14,4,11,33,0.0,1017,19,10,244,3
2020-02-12,24,9,0.0,10.9,1,1,68,09:54 PM,09:42 AM,07:33 AM,06:24 PM,3,17,17,17,5,1,41,0.0,1014,24,10,29,4
2020-02-13,22,12,0.0,10.9,1,1,60,11:02 PM,10:16 AM,07:33 AM,06:25 PM,2,17,18,17,10,4,41,0.0,1010,22,10,197,8
2020-02-14,10,4,0.0,10.9,1,1,53,No moonrise,10:52 AM,07:32 AM,06:26 PM,-13,5,8,5,21,38,21,0.0,1026,10,10,137,16
