date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,5,-2,0.0,8.7,1,1,37,11:23 AM,10:51 PM,07:25 AM,05:06 PM,-12,-0,1,-0,9,11,36,0.0,1032,5,10,202,6
2020-01-02,9,1,0.0,8.7,1,1,44,11:50 AM,11:47 PM,07:25 AM,05:07 PM,-6,4,5,4,5,5,49,0.0,1031,9,10,291,3
2020-01-03,9,1,0.0,8.7,1,1,51,12:16 PM,No moonset,07:25 AM,05:08 PM,-6,4,4,4,4,29,46,0.0,1029,9,10,111,3
2020-01-04,10,3,0.0,7.0,1,1,59,12:43 PM,12:42 AM,07:25 AM,05:09 PM,-5,5,6,5,8,63,46,0.0,1028,10,10,133,5
2020-01-05,5,-1,0.0,3.7,1,1,66,01:11 PM,01:39 AM,07:25 AM,05:10 PM,-1,2,4,2,8,81,73,12.2,1028,5,9,91,6
2020-01-06,5,4,0.0,3.7,1,1,73,01:42 PM,02:37 AM,07:25 AM,05:10 PM,3,2,4,2,12,100,89,2.7,1024,5,8,13,9
2020-01-07,2,-6,4.7,3.7,1,1,80,02:16 PM,03:37 AM,07:25 AM,05:11 PM,-0,-4,1,-4,24,90,88,11.5,1023,2,6,31,18
2020-01-08,6,-1,0.0,8.7,1,1,88,02:57 PM,04:39 AM,07:25 AM,05:12 PM,-8,0,2,0,7,21,49,0.0,1029,6,10,137,6
2020-01-09,7,-1,0.0,8.7,1,1,95,03:45 PM,05:43 AM,07:25 AM,05:13 PM,-8,2,3,2,6,35,45,0.0,1028,7,10,253,4
2020-01-10,4,1,0.0,8.7,1,1,100,04:41 PM,06:44 AM,07:25 AM,05:14 PM,-4,2,2,2,6,32,65,0.0,1026,4,10,207,4
2020-01-11,1,-1,0.0,3.7,1,1,100,05:45 PM,07:43 AM,07:25 AM,05:15 PM,-4,-2,0,-2,9,65,73,0.0,1026,1,10,27,7
2020-01-12,5,-1,0.0,8.7,1,1,83,06:53 PM,08:35 AM,07:25 AM,05:16 PM,-4,0,1,0,5,22,73,0.0,1025,5,10,346,4
2020-01-13,1,-5,0.3,5.4,1,1,76,08:04 PM,09:21 AM,07:25 AM,05:17 PM,-4,-3,-0,-3,8,50,76,0.6,1026,1,8,9,6
2020-01-14,4,-2,0.0,8.7,1,1,69,09:15 PM,10:02 AM,07:24 AM,05:18 PM,-11,-1,1,-1,6,1,43,0.0,1030,4,10,235,5
2020-01-15,3,-2,0.0,7.0,1,1,61,10:25 PM,10:37 AM,07:24 AM,05:19 PM,-11,-1,0,-1,5,48,44,0.0,1031,3,10,17,3
2020-01-16,2,-1,0.1,3.7,1,1,54,11:34 PM,11:11 AM,07:24 AM,05:20 PM,-8,-1,0,-1,6,93,55,0.3,1031,2,8,232,5
2020-01-17,4,-3,0.0,8.7,1,1,47,No moonrise,11:43 AM,07:23 AM,05:21 PM,-3,-1,1,-1,5,28,72,0.0,1028,4,10,285,4
2020-01-18,5,-1,0.0,7.0,1,1,40,12:41 AM,12:16 PM,07:23 AM,05:22 PM,-3,1,3,1,13,29,68,0.0,1025,5,10,210,9
2020-01-19,9,2,0.0,8.7,1,1,32,01:48 AM,12:50 PM,07:23 AM,05:23 PM,-6,4,5,4,8,5,49,0.0,1023,9,10,274,6
2020-01-20,7,1,0.0,8.7,1,1,25,02:54 AM,01:29 PM,07:22 AM,05:24 PM,-6,1,3,1,11,24,54,0.0,1027,7,10,63,8
2020-01-21,9,1,0.0,8.7,1,1,18,03:59 AM,02:11 PM,07:22 AM,05:25 PM,-3,2,4,2,13,32,58,0.0,1026,9,10,177,9
2020-01-22,9,3,0.0,8.7,1,1,11,05:02 AM,02:58 PM,07:21 AM,05:26 PM,-1,6,6,6,5,23,65,0.0,1024,9,10,146,3
2020-01-23,10,4,0.0,8.7,1,1,3,06:00 AM,03:51 PM,07:21 AM,05:27 PM,0,6,7,6,9,22,64,0.0,1028,10,10,126,6
2020-01-24,7,1,0.0,5.4,1,1,0,06:52 AM,04:47 PM,07:20 AM,05:28 PM,-6,-0,3,-0,19,54,51,0.0,1035,7,10,79,14
2020-01-25,8,1,0.0,7.1,1,1,0,07:39 AM,05:46 PM,07:20 AM,05:29 PM,-7,4,4,4,6,58,43,0.0,1033,8,10,110,4
2020-01-26,5,2,0.0,3.8,1,1,4,08:18 AM,06:45 PM,07:19 AM,05:30 PM,-7,0,3,0,15,91,49,0.3,1030,5,10,60,11
2020-01-27,6,1,0.0,5.4,1,1,11,08:52 AM,07:44 PM,07:18 AM,05:32 PM,-7,1,3,1,10,64,51,0.0,1025,6,10,31,8
2020-01-28,6,1,0.0,8.7,1,1,18,09:23 AM,08:40 PM,07:18 AM,05:33 PM,-7,2,4,2,8,54,47,0.0,1024,6,10,25,6
2020-01-29,6,1,0.0,5.4,1,1,26,09:51 AM,09:37 PM,07:17 AM,05:34 PM,-5,0,3,0,11,54,59,0.0,1026,6,10,126,8
2020-01-30,9,0,0.0,8.7,1,1,33,10:17 AM,10:32 PM,07:16 AM,05:35 PM,-8,3,4,3,7,2,40,0.0,1026,9,10,42,6
