date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,22,13,0.0,4.1,1,1,11,04:31 AM,03:30 PM,06:56 AM,05:51 PM,13,17,18,17,6,94,77,0.7,1020,22,9,157,4
2020-01-23,26,15,0.0,4.1,1,1,3,05:28 AM,04:22 PM,06:56 AM,05:51 PM,16,21,21,20,10,72,83,2.3,1018,26,10,157,7
2020-01-24,24,17,0.0,4.1,1,1,0,06:21 AM,05:18 PM,06:56 AM,05:52 PM,18,21,21,20,9,80,86,5.1,1019,24,9,140,7
2020-01-25,20,15,0.0,4.1,1,1,0,07:10 AM,06:13 PM,06:56 AM,05:53 PM,15,17,17,17,6,89,85,2.3,1018,20,9,95,5
2020-01-26,15,11,0.0,4.1,1,1,4,07:54 AM,07:08 PM,06:55 AM,05:53 PM,12,13,14,13,13,75,91,26.3,1016,15,8,335,11
2020-01-27,13,6,0.0,8.7,1,1,11,08:33 AM,08:00 PM,06:55 AM,05:54 PM,5,8,10,8,17,18,77,0.0,1017,13,10,338,12
2020-01-28,14,3,0.0,8.7,1,1,18,09:09 AM,08:52 PM,06:55 AM,05:55 PM,3,7,9,7,16,24,71,0.0,1019,14,10,337,10
2020-01-29,14,3,0.0,8.7,1,1,26,09:43 AM,09:42 PM,06:54 AM,05:56 PM,1,7,10,7,18,11,65,0.0,1021,14,10,335,11
2020-01-30,15,2,0.0,8.7,1,1,33,10:15 AM,10:31 PM,06:54 AM,05:56 PM,-1,7,9,7,17,0,57,0.0,1022,15,10,337,10
2020-01-31,20,3,0.0,8.7,1,1,37,10:47 AM,11:21 PM,06:54 AM,05:57 PM,1,10,12,10,9,1,56,0.0,1023,20,10,76,5
2020-02-01,18,4,0.0,8.7,1,1,49,11:20 AM,No moonset,06:53 AM,05:58 PM,3,11,12,11,8,17,60,0.0,1023,18,10,120,5
2020-02-02,19,5,0.0,7.2,1,1,57,11:54 AM,12:11 AM,06:53 AM,05:58 PM,5,12,12,12,6,37,66,0.0,1024,19,10,127,4
2020-02-03,19,9,0.0,4.2,1,1,64,12:31 PM,01:04 AM,06:52 AM,05:59 PM,8,14,14,14,5,65,71,0.2,1023,19,10,86,3
2020-02-04,16,10,0.0,5.7,1,1,72,01:13 PM,01:59 AM,06:52 AM,06:00 PM,11,13,12,13,7,73,92,15.7,1022,16,7,130,4
2020-02-05,19,12,0.0,7.2,1,1,79,02:01 PM,02:56 AM,06:52 AM,06:00 PM,12,15,15,15,7,55,85,0.0,1022,19,8,92,5
2020-02-06,19,10,0.0,7.2,1,1,87,02:54 PM,03:55 AM,06:51 AM,06:01 PM,10,14,14,14,6,54,75,0.0,1021,19,10,111,5
2020-02-07,18,10,0.0,5.8,1,1,95,03:54 PM,04:54 AM,06:50 AM,06:02 PM,12,14,15,14,9,79,89,2.5,1022,18,7,247,6
2020-02-08,20,8,0.0,10.1,1,1,100,04:58 PM,05:51 AM,06:50 AM,06:02 PM,9,14,15,14,9,53,79,0.0,1025,20,10,125,5
2020-02-09,15,7,0.0,7.2,1,1,100,06:05 PM,06:45 AM,06:49 AM,06:03 PM,7,11,11,11,7,69,76,0.0,1027,15,10,227,5
2020-02-10,20,7,0.0,10.1,1,1,83,07:12 PM,07:36 AM,06:49 AM,06:03 PM,7,13,13,13,7,58,72,0.0,1024,20,10,133,5
2020-02-11,19,9,0.0,5.8,1,1,75,08:17 PM,08:21 AM,06:48 AM,06:04 PM,11,15,14,15,7,90,78,0.0,1022,19,10,148,5
2020-02-12,24,13,0.0,7.2,1,1,68,09:21 PM,09:04 AM,06:48 AM,06:05 PM,15,18,19,18,9,73,86,9.3,1018,24,8,188,5
2020-02-13,24,14,0.0,7.2,1,1,60,10:24 PM,09:45 AM,06:47 AM,06:05 PM,16,19,19,19,8,62,87,5.3,1015,24,7,159,5
2020-02-14,21,16,0.0,5.8,1,1,53,11:26 PM,10:26 AM,06:46 AM,06:06 PM,18,19,19,19,6,99,96,29.0,1015,21,4,201,4
2020-02-15,25,15,0.0,7.3,1,1,45,No moonrise,11:07 AM,06:46 AM,06:06 PM,17,21,21,20,14,82,87,2.3,1015,25,7,154,10
2020-02-16,15,5,0.0,8.7,1,1,38,12:27 AM,11:51 AM,06:45 AM,06:07 PM,5,7,10,7,25,65,77,18.3,1022,15,9,339,16
2020-02-17,14,2,0.0,11.6,1,1,30,01:28 AM,12:37 PM,06:44 AM,06:08 PM,1,6,8,6,16,22,63,0.0,1027,14,10,334,10
