date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,8,-0,0.0,8.7,1,1,11,05:08 AM,02:50 PM,07:26 AM,05:20 PM,-4,3,4,3,6,19,56,0.0,1024,8,10,267,4
2020-01-23,9,-1,0.0,8.7,1,1,3,06:07 AM,03:43 PM,07:26 AM,05:21 PM,-8,1,3,1,15,7,45,0.0,1029,9,10,165,10
2020-01-24,3,-3,0.0,7.0,1,1,0,06:59 AM,04:39 PM,07:25 AM,05:22 PM,-9,-3,0,-3,15,23,50,0.0,1038,3,10,127,11
2020-01-25,7,-1,0.0,8.7,1,1,0,07:44 AM,05:39 PM,07:25 AM,05:23 PM,-7,1,2,1,7,7,52,0.0,1034,7,10,280,5
2020-01-26,4,-2,0.0,7.1,1,1,4,08:23 AM,06:39 PM,07:24 AM,05:24 PM,-6,-1,1,-1,9,56,58,0.0,1032,4,10,110,6
2020-01-27,5,0,0.0,3.8,1,1,11,08:56 AM,07:39 PM,07:23 AM,05:25 PM,-6,1,3,1,7,95,54,0.0,1026,5,10,201,5
2020-01-28,6,1,0.0,3.8,1,1,18,09:26 AM,08:37 PM,07:22 AM,05:27 PM,-6,2,3,2,6,89,52,0.0,1024,6,10,53,4
2020-01-29,6,1,0.0,7.1,1,1,26,09:52 AM,09:35 PM,07:22 AM,05:28 PM,-5,1,3,1,10,56,59,0.0,1026,6,10,16,7
2020-01-30,7,-2,0.0,8.7,1,1,33,10:17 AM,10:31 PM,07:21 AM,05:29 PM,-11,1,2,1,9,12,36,0.0,1025,7,10,238,7
2020-01-31,11,2,0.0,8.7,1,1,37,10:42 AM,11:29 PM,07:20 AM,05:30 PM,-7,4,5,4,12,1,40,0.0,1023,11,10,264,9
2020-02-01,5,-1,0.0,8.7,1,1,49,11:08 AM,No moonset,07:19 AM,05:31 PM,-11,-1,2,-1,15,43,39,0.0,1029,5,10,111,11
2020-02-02,3,-2,2.5,3.8,1,1,57,11:35 AM,12:26 AM,07:18 AM,05:33 PM,-6,-3,1,-3,17,76,66,3.3,1029,3,7,224,11
2020-02-03,6,-4,0.0,8.7,1,1,64,12:06 PM,01:26 AM,07:17 AM,05:34 PM,-12,-3,0,-3,14,2,38,0.0,1028,6,10,215,10
2020-02-04,0,-4,0.0,8.7,1,1,72,12:41 PM,02:27 AM,07:16 AM,05:35 PM,-13,-6,-2,-6,20,10,41,0.0,1030,0,10,75,15
2020-02-05,-3,-7,0.3,5.5,1,1,79,01:24 PM,03:30 AM,07:15 AM,05:36 PM,-11,-9,-4,-9,20,61,60,0.6,1037,-3,8,133,15
2020-02-06,-1,-6,1.8,3.8,1,1,87,02:14 PM,04:32 AM,07:14 AM,05:37 PM,-7,-5,-3,-5,8,80,75,2.6,1034,-1,6,196,6
2020-02-07,7,-3,0.0,7.1,1,1,95,03:15 PM,05:33 AM,07:13 AM,05:38 PM,-5,-1,1,-1,8,19,65,0.0,1030,7,10,282,7
2020-02-08,7,-1,0.0,8.7,1,1,100,04:22 PM,06:27 AM,07:12 AM,05:40 PM,-7,1,3,1,10,10,48,0.0,1032,7,10,247,8
2020-02-09,13,-1,0.0,8.7,1,1,100,05:35 PM,07:16 AM,07:11 AM,05:41 PM,-5,5,7,5,9,6,46,0.0,1024,13,10,296,7
2020-02-10,16,5,0.0,8.7,1,1,83,06:50 PM,07:59 AM,07:10 AM,05:42 PM,-5,10,10,10,4,0,35,0.0,1019,16,10,188,3
2020-02-11,15,7,0.0,8.7,1,1,75,08:05 PM,08:36 AM,07:09 AM,05:43 PM,1,10,11,10,9,5,50,0.0,1018,15,10,186,7
2020-02-12,18,8,0.0,8.7,1,1,68,09:19 PM,09:10 AM,07:08 AM,05:44 PM,5,11,12,11,12,1,62,0.0,1015,18,10,221,9
2020-02-13,17,8,0.0,8.7,1,1,60,10:30 PM,09:42 AM,07:07 AM,05:45 PM,5,10,12,10,18,12,67,0.0,1012,17,10,172,12
2020-02-14,1,-4,7.5,3.9,1,1,53,11:42 PM,10:14 AM,07:05 AM,05:46 PM,-3,-7,-0,-7,39,95,84,15.4,1023,1,5,42,28
2020-02-15,0,-6,0.9,8.7,1,1,45,No moonrise,10:47 AM,07:04 AM,05:48 PM,-14,-9,-3,-9,30,37,47,1.0,1029,0,8,322,22
2020-02-16,0,-4,0.0,8.7,1,1,38,12:51 AM,11:23 AM,07:03 AM,05:49 PM,-16,-8,-2,-8,30,31,35,0.0,1028,0,10,337,21
2020-02-17,7,-4,0.0,8.7,1,1,30,01:59 AM,12:03 PM,07:02 AM,05:50 PM,-11,-3,1,-3,22,2,40,0.0,1029,7,10,309,15
2020-02-18,11,2,0.0,7.1,1,1,22,03:03 AM,12:48 PM,07:00 AM,05:51 PM,-7,4,5,4,7,18,39,0.0,1026,11,10,217,5
2020-02-19,8,1,0.0,8.7,1,1,15,04:02 AM,01:38 PM,06:59 AM,05:52 PM,-2,1,4,1,19,6,64,0.0,1026,8,10,92,14
2020-02-20,8,-0,0.0,8.7,1,1,7,04:56 AM,02:32 PM,06:58 AM,05:53 PM,-0,2,4,2,12,52,74,0.0,1030,8,10,128,9
