date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,12,5,0.0,8.7,1,1,11,05:33 AM,03:35 PM,07:39 AM,05:51 PM,1,7,8,7,8,4,65,0.0,1020,12,10,268,5
2020-01-23,12,5,0.0,5.4,1,1,3,06:29 AM,04:28 PM,07:39 AM,05:52 PM,4,5,8,5,34,51,76,2.1,1017,12,9,251,23
2020-01-24,9,0,0.0,7.1,1,1,0,07:21 AM,05:26 PM,07:38 AM,05:53 PM,-2,2,6,2,25,40,60,6.6,1018,9,10,244,19
2020-01-25,13,4,0.0,8.7,1,1,0,08:05 AM,06:23 PM,07:38 AM,05:54 PM,-2,7,8,7,6,0,50,0.0,1028,13,10,227,5
2020-01-26,13,5,0.0,8.7,1,1,4,08:44 AM,07:22 PM,07:37 AM,05:55 PM,3,7,8,7,15,5,72,0.0,1027,13,10,263,10
2020-01-27,14,7,0.0,8.7,1,1,11,09:19 AM,08:19 PM,07:37 AM,05:56 PM,6,9,10,9,8,41,76,0.0,1024,14,10,111,5
2020-01-28,14,8,0.0,5.5,1,1,18,09:49 AM,09:16 PM,07:36 AM,05:57 PM,6,10,10,10,7,65,73,0.0,1018,14,10,12,5
2020-01-29,14,9,0.0,3.8,1,1,26,10:17 AM,10:10 PM,07:35 AM,05:58 PM,8,11,11,11,8,73,81,1.3,1019,14,10,278,6
2020-01-30,15,8,0.0,5.5,1,1,33,10:44 AM,11:05 PM,07:35 AM,05:59 PM,7,10,11,10,28,74,77,1.1,1018,15,10,226,18
2020-01-31,11,6,0.0,5.3,1,1,37,11:11 AM,No moonset,07:34 AM,06:00 PM,3,6,9,6,44,70,65,4.3,1011,11,10,268,30
2020-02-01,13,5,0.0,10.0,1,1,49,11:39 AM,12:00 AM,07:33 AM,06:01 PM,3,6,9,6,32,27,65,0.0,1016,13,10,274,21
2020-02-02,15,6,0.0,10.7,1,1,57,12:09 PM,12:56 AM,07:33 AM,06:02 PM,4,11,11,11,4,4,64,0.0,1022,15,10,264,3
2020-02-03,13,7,0.0,6.9,1,1,64,12:43 PM,01:54 AM,07:32 AM,06:03 PM,5,10,10,10,5,46,70,0.0,1022,13,10,232,3
2020-02-04,15,7,0.0,8.5,1,1,72,01:22 PM,02:54 AM,07:31 AM,06:04 PM,7,10,11,10,17,44,77,0.1,1017,15,10,253,11
2020-02-05,18,10,0.0,10.8,1,1,79,02:07 PM,03:55 AM,07:30 AM,06:05 PM,8,13,13,13,14,29,70,0.3,1015,18,10,240,8
2020-02-06,20,11,0.0,10.8,1,1,87,03:01 PM,04:56 AM,07:29 AM,06:06 PM,7,14,14,14,16,10,63,0.0,1014,20,10,185,10
2020-02-07,11,7,0.0,5.4,1,1,95,04:02 PM,05:56 AM,07:28 AM,06:07 PM,6,7,10,7,36,84,75,5.1,1012,11,8,227,25
2020-02-08,10,2,0.0,5.4,1,1,100,05:10 PM,06:50 AM,07:27 AM,06:08 PM,1,2,6,2,43,74,67,9.0,1012,10,9,287,29
2020-02-09,5,0,0.8,10.8,1,1,100,06:21 PM,07:40 AM,07:27 AM,06:09 PM,-9,-1,2,-1,13,43,47,1.3,1025,5,8,71,9
2020-02-10,5,-2,0.0,10.1,1,1,83,07:34 PM,08:23 AM,07:26 AM,06:10 PM,-9,-0,2,-0,9,31,46,0.1,1025,5,10,231,8
2020-02-11,7,1,0.0,8.5,1,1,75,08:46 PM,09:02 AM,07:25 AM,06:11 PM,-6,2,3,2,6,57,53,1.2,1024,7,10,137,5
2020-02-12,7,3,0.0,5.4,1,1,68,09:57 PM,09:38 AM,07:24 AM,06:12 PM,2,4,5,4,7,100,81,9.7,1023,7,5,140,5
2020-02-13,6,-1,0.0,5.5,1,1,60,11:06 PM,10:12 AM,07:23 AM,06:13 PM,3,2,4,2,13,100,88,3.9,1024,6,8,30,10
2020-02-14,11,4,0.0,7.0,1,1,53,No moonrise,10:47 AM,07:22 AM,06:14 PM,1,3,6,3,24,82,69,0.0,1027,11,10,78,17
2020-02-15,10,4,0.0,7.0,1,1,45,12:13 AM,11:23 AM,07:20 AM,06:15 PM,1,2,6,2,29,81,68,1.0,1021,10,8,55,20
2020-02-16,10,3,0.0,7.0,1,1,38,01:21 AM,12:02 PM,07:19 AM,06:16 PM,2,4,6,4,17,55,74,0.3,1018,10,10,63,12
2020-02-17,13,5,0.0,7.0,1,1,30,02:25 AM,12:44 PM,07:18 AM,06:17 PM,5,8,9,8,11,63,81,0.1,1019,13,10,37,7
2020-02-18,15,6,0.0,10.1,1,1,22,03:28 AM,01:32 PM,07:17 AM,06:17 PM,6,9,11,9,20,55,74,0.0,1019,15,10,73,14
2020-02-19,14,8,0.0,5.5,1,1,15,04:25 AM,02:23 PM,07:16 AM,06:18 PM,8,10,11,10,13,59,82,1.1,1014,14,10,40,9
2020-02-20,16,8,0.0,11.0,1,1,7,05:17 AM,03:19 PM,07:15 AM,06:19 PM,7,10,11,10,33,13,77,0.0,1015,16,10,256,22
2020-02-21,17,8,0.0,11.1,1,1,0,06:03 AM,04:15 PM,07:14 AM,06:20 PM,6,10,12,10,26,34,72,0.8,1014,17,9,194,17
2020-02-22,15,8,0.0,8.6,1,1,0,06:43 AM,05:14 PM,07:13 AM,06:21 PM,7,10,11,10,17,51,75,5.2,1015,15,10,234,11
2020-02-23,17,8,0.0,8.6,1,1,0,07:19 AM,06:11 PM,07:11 AM,06:22 PM,7,12,12,12,8,60,71,1.1,1019,17,10,194,5
