date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,0,-7,0.0,8.7,1,1,11,05:49 AM,03:17 PM,07:59 AM,05:43 PM,-9,-4,-4,-4,6,30,67,0.0,1026,0,10,97,3
2020-01-23,-0,-8,0.0,8.7,1,1,3,06:47 AM,04:09 PM,07:58 AM,05:44 PM,-9,-6,-4,-6,8,34,70,0.0,1033,-0,10,85,4
2020-01-24,-0,-9,0.0,8.7,1,1,0,07:38 AM,05:07 PM,07:57 AM,05:45 PM,-9,-6,-5,-6,7,40,73,0.0,1032,-0,10,98,4
2020-01-25,0,-7,0.0,8.7,1,1,0,08:22 AM,06:07 PM,07:57 AM,05:46 PM,-8,-6,-4,-6,10,33,72,0.0,1024,0,10,102,5
2020-01-26,0,-7,0.0,8.7,1,1,4,08:59 AM,07:08 PM,07:56 AM,05:47 PM,-9,-5,-4,-5,8,25,69,0.0,1024,0,10,140,4
2020-01-27,1,-7,0.0,8.7,1,1,11,09:31 AM,08:09 PM,07:55 AM,05:49 PM,-9,-5,-4,-5,9,25,66,0.0,1025,1,10,89,5
2020-01-28,2,-7,0.0,8.7,1,1,18,09:59 AM,09:08 PM,07:54 AM,05:50 PM,-10,-4,-3,-4,6,10,62,0.0,1027,2,10,128,4
2020-01-29,2,-8,0.0,8.7,1,1,26,10:24 AM,10:07 PM,07:54 AM,05:51 PM,-10,-5,-3,-5,8,5,61,0.0,1028,2,10,275,4
2020-01-30,2,-7,0.0,8.7,1,1,33,10:48 AM,11:05 PM,07:53 AM,05:52 PM,-9,-6,-3,-6,10,11,66,0.0,1027,2,10,97,6
2020-01-31,1,-8,0.0,8.7,1,1,37,11:12 AM,No moonset,07:52 AM,05:54 PM,-10,-6,-4,-6,9,11,67,0.0,1028,1,10,100,5
2020-02-01,1,-8,0.0,8.7,1,1,49,11:36 AM,12:03 AM,07:51 AM,05:55 PM,-10,-5,-4,-5,8,8,64,0.0,1029,1,10,112,5
2020-02-02,1,-8,0.0,8.7,1,1,57,12:03 PM,01:03 AM,07:50 AM,05:56 PM,-11,-6,-4,-6,10,9,60,0.0,1029,1,10,95,5
2020-02-03,3,-8,0.0,8.7,1,1,64,12:32 PM,02:03 AM,07:49 AM,05:57 PM,-10,-4,-3,-4,6,5,61,0.0,1023,3,10,115,3
2020-02-04,3,-6,0.0,8.7,1,1,72,01:08 PM,03:06 AM,07:48 AM,05:58 PM,-9,-4,-2,-4,8,9,62,0.0,1022,3,10,105,4
2020-02-05,5,-5,0.0,10.5,1,1,79,01:50 PM,04:09 AM,07:47 AM,06:00 PM,-8,-2,-1,-2,6,7,59,0.0,1024,5,10,258,3
2020-02-06,5,-6,0.0,10.0,1,1,87,02:41 PM,05:13 AM,07:46 AM,06:01 PM,-9,-2,-1,-2,7,17,54,0.0,1025,5,10,181,4
2020-02-07,6,-6,0.0,10.6,1,1,95,03:43 PM,06:12 AM,07:45 AM,06:02 PM,-9,-2,-1,-2,8,5,53,0.0,1033,6,10,144,4
2020-02-08,6,-6,0.0,10.6,1,1,100,04:51 PM,07:06 AM,07:44 AM,06:03 PM,-11,-1,-0,-1,8,3,47,0.0,1035,6,10,175,4
2020-02-09,6,-5,0.0,10.6,1,1,100,06:06 PM,07:54 AM,07:42 AM,06:05 PM,-11,-1,-0,-1,7,4,46,0.0,1025,6,10,204,4
2020-02-10,7,-4,0.0,10.7,1,1,83,07:23 PM,08:34 AM,07:41 AM,06:06 PM,-10,-1,0,-1,8,4,48,0.0,1018,7,10,89,4
2020-02-11,7,-4,0.0,10.7,1,1,75,08:38 PM,09:10 AM,07:40 AM,06:07 PM,-8,-0,1,-0,10,3,50,0.0,1016,7,10,130,5
2020-02-12,9,-3,0.0,10.0,1,1,68,09:54 PM,09:42 AM,07:39 AM,06:08 PM,-8,1,2,1,8,17,50,0.0,1017,9,10,134,4
2020-02-13,6,-1,0.0,8.5,1,1,60,11:07 PM,10:12 AM,07:38 AM,06:09 PM,-7,-0,2,-0,13,37,52,0.4,1018,6,10,81,8
2020-02-14,5,-1,0.2,5.4,1,1,53,No moonrise,10:43 AM,07:36 AM,06:11 PM,-8,0,1,0,9,70,50,0.4,1030,5,9,147,5
2020-02-15,3,-6,0.0,10.8,1,1,45,12:19 AM,11:15 AM,07:35 AM,06:12 PM,-11,-4,-1,-4,12,14,51,0.0,1033,3,10,157,7
2020-02-16,3,-5,0.0,10.8,1,1,38,01:30 AM,11:50 AM,07:34 AM,06:13 PM,-15,-3,-1,-3,10,28,35,0.0,1032,3,10,156,5
2020-02-17,3,-5,0.0,10.8,1,1,30,02:38 AM,12:29 PM,07:32 AM,06:14 PM,-10,-3,-1,-3,10,20,55,0.0,1035,3,10,144,6
2020-02-18,3,-4,0.0,10.9,1,1,22,03:43 AM,01:14 PM,07:31 AM,06:16 PM,-12,-2,-1,-2,7,29,43,0.0,1025,3,10,184,4
2020-02-19,6,-5,0.0,10.9,1,1,15,04:42 AM,02:04 PM,07:30 AM,06:17 PM,-12,-0,1,-0,7,7,39,0.0,1031,6,10,264,4
2020-02-20,7,-4,0.0,10.9,1,1,7,05:35 AM,03:00 PM,07:28 AM,06:18 PM,-12,0,1,0,7,2,39,0.0,1033,7,10,195,4
2020-02-21,8,-3,0.0,10.9,1,1,0,06:20 AM,03:59 PM,07:27 AM,06:19 PM,-11,2,2,2,5,0,38,0.0,1028,8,10,163,3
2020-02-22,10,-2,0.0,11.0,1,1,0,06:59 AM,04:59 PM,07:25 AM,06:20 PM,-11,3,3,3,7,2,35,0.0,1022,10,10,122,4
2020-02-23,10,-2,0.0,11.0,1,1,0,07:32 AM,06:00 PM,07:24 AM,06:22 PM,-10,3,4,3,10,26,36,0.0,1020,10,10,87,6
2020-02-24,11,2,0.0,11.0,1,1,0,08:01 AM,06:59 PM,07:22 AM,06:23 PM,-9,5,6,5,11,33,36,0.0,1018,11,10,195,6
