date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,12,2,0.0,10.5,1,1,11,05:43 AM,04:34 PM,08:05 AM,06:54 PM,-0,5,7,5,22,13,66,0.0,1017,12,10,240,13
2020-01-23,11,1,0.0,10.5,1,1,3,06:40 AM,05:28 PM,08:04 AM,06:54 PM,-3,4,6,4,22,5,58,0.0,1015,11,10,240,13
2020-01-24,10,0,0.0,10.0,1,1,0,07:33 AM,06:23 PM,08:04 AM,06:55 PM,-3,3,6,3,16,26,59,0.3,1014,10,10,236,11
2020-01-25,14,-0,0.0,10.5,1,1,0,08:20 AM,07:19 PM,08:04 AM,06:56 PM,-4,6,7,6,7,6,57,0.0,1015,14,10,181,5
2020-01-26,12,-3,0.0,10.5,1,1,4,09:04 AM,08:13 PM,08:04 AM,06:57 PM,-6,5,6,5,10,5,51,0.0,1014,12,10,202,6
2020-01-27,11,-2,0.0,10.5,1,1,11,09:43 AM,09:07 PM,08:03 AM,06:57 PM,-5,4,6,4,12,5,55,0.0,1011,11,10,233,8
2020-01-28,9,-1,0.0,10.0,1,1,18,10:18 AM,09:59 PM,08:03 AM,06:58 PM,-2,3,5,3,10,31,71,0.2,1014,9,10,235,6
2020-01-29,10,1,0.0,10.0,1,1,26,10:51 AM,10:49 PM,08:03 AM,06:59 PM,-0,5,6,5,7,43,76,0.2,1017,10,10,202,4
2020-01-30,8,3,0.0,7.0,1,1,33,11:23 AM,11:40 PM,08:02 AM,07:00 PM,1,4,5,4,11,58,77,0.4,1015,8,10,233,8
2020-01-31,10,2,0.0,8.5,1,1,37,11:54 AM,No moonset,08:02 AM,07:00 PM,2,4,5,4,13,59,81,1.4,1014,10,9,241,8
2020-02-01,11,2,0.0,8.6,1,1,49,12:26 PM,12:30 AM,08:01 AM,07:01 PM,1,5,6,5,15,45,75,0.5,1015,11,8,240,10
2020-02-02,11,0,0.0,10.1,1,1,57,01:00 PM,01:21 AM,08:01 AM,07:02 PM,-0,4,6,4,14,41,73,0.7,1016,11,10,236,9
2020-02-03,12,0,0.0,11.0,1,1,64,01:37 PM,02:14 AM,08:00 AM,07:03 PM,1,5,6,5,13,26,74,0.1,1015,12,10,236,8
2020-02-04,13,2,0.0,11.0,1,1,72,02:18 PM,03:10 AM,08:00 AM,07:03 PM,-1,7,8,7,10,8,62,0.0,1015,13,10,230,6
2020-02-05,13,1,0.0,11.5,1,1,79,03:06 PM,04:07 AM,07:59 AM,07:04 PM,-3,6,8,6,18,4,53,0.0,1013,13,10,237,12
2020-02-06,13,2,0.0,11.5,1,1,87,03:59 PM,05:06 AM,07:59 AM,07:05 PM,-1,5,7,5,15,7,61,0.0,1015,13,10,238,10
2020-02-07,15,2,0.0,11.5,1,1,95,04:59 PM,06:05 AM,07:58 AM,07:06 PM,1,8,9,8,13,8,63,0.0,1017,15,10,235,8
2020-02-08,16,4,0.0,11.5,1,1,100,06:04 PM,07:03 AM,07:58 AM,07:06 PM,2,9,9,9,12,21,67,0.1,1019,16,10,228,8
2020-02-09,10,3,0.0,8.7,1,1,100,07:11 PM,07:56 AM,07:57 AM,07:07 PM,6,7,7,7,7,63,89,4.5,1020,10,9,229,4
2020-02-10,10,4,0.0,5.8,1,1,83,08:18 PM,08:45 AM,07:57 AM,07:08 PM,5,6,7,6,12,75,89,12.4,1015,10,9,238,8
2020-02-11,12,3,0.0,11.5,1,1,75,09:25 PM,09:31 AM,07:56 AM,07:08 PM,-0,6,7,6,15,17,65,0.0,1016,12,8,242,9
2020-02-12,12,2,0.0,8.7,1,1,68,10:29 PM,10:12 AM,07:55 AM,07:09 PM,-3,6,8,6,11,29,54,0.0,1016,12,10,237,7
2020-02-13,13,4,0.0,11.6,1,1,60,11:33 PM,10:53 AM,07:55 AM,07:10 PM,0,8,9,8,12,7,61,0.0,1014,13,10,240,8
2020-02-14,14,3,0.0,11.6,1,1,53,No moonrise,11:33 AM,07:54 AM,07:10 PM,2,7,8,7,12,11,69,0.0,1010,14,10,228,7
2020-02-15,12,3,0.0,7.2,1,1,45,12:36 AM,12:13 PM,07:53 AM,07:11 PM,3,7,8,7,10,56,77,0.8,1013,12,10,224,6
2020-02-16,12,5,0.0,7.2,1,1,38,01:38 AM,12:56 PM,07:53 AM,07:12 PM,4,8,9,8,8,51,79,1.2,1017,12,9,213,5
2020-02-17,15,5,0.0,11.6,1,1,30,02:39 AM,01:42 PM,07:52 AM,07:12 PM,3,10,10,10,9,12,67,0.0,1018,15,10,215,6
2020-02-18,15,4,0.0,11.6,1,1,22,03:39 AM,02:31 PM,07:51 AM,07:13 PM,1,9,10,9,17,16,61,0.1,1016,15,10,229,11
2020-02-19,14,4,0.0,11.6,1,1,15,04:35 AM,03:23 PM,07:50 AM,07:13 PM,2,9,11,9,14,18,62,0.1,1017,14,10,242,8
2020-02-20,15,5,0.0,11.6,1,1,7,05:29 AM,04:17 PM,07:50 AM,07:14 PM,0,10,11,10,15,5,56,0.0,1018,15,10,237,9
2020-02-21,18,3,0.0,11.6,1,1,0,06:17 AM,05:12 PM,07:49 AM,07:15 PM,1,12,13,12,11,5,54,0.0,1021,18,10,231,7
2020-02-22,17,4,0.0,11.6,1,1,0,07:01 AM,06:06 PM,07:48 AM,07:15 PM,2,12,13,12,12,4,54,0.0,1022,17,10,236,7
2020-02-23,17,5,0.0,10.2,1,1,0,07:41 AM,07:00 PM,07:47 AM,07:16 PM,4,11,12,11,13,33,66,0.3,1019,17,10,236,8
2020-02-24,15,6,0.0,11.6,1,1,0,08:17 AM,07:52 PM,07:46 AM,07:16 PM,5,8,9,8,13,42,78,0.2,1017,15,7,242,9
2020-02-25,16,6,0.0,11.6,1,1,8,08:51 AM,08:43 PM,07:45 AM,07:17 PM,4,10,11,10,13,29,73,0.0,1016,16,7,239,8
2020-02-26,16,7,0.0,11.6,1,1,15,09:23 AM,09:34 PM,07:45 AM,07:18 PM,3,11,11,11,13,10,62,0.0,1016,16,10,234,9
2020-02-27,14,6,0.0,7.3,1,1,23,09:54 AM,10:24 PM,07:44 AM,07:18 PM,4,9,10,9,13,49,69,2.9,1015,14,9,238,9
2020-02-28,14,6,0.0,11.6,1,1,30,10:26 AM,11:15 PM,07:43 AM,07:19 PM,3,9,10,9,11,26,70,6.3,1015,14,10,248,8
2020-02-29,16,4,0.0,11.6,1,1,38,10:58 AM,No moonset,07:42 AM,07:19 PM,1,10,11,10,12,8,61,0.0,1014,16,10,241,8
2020-03-01,18,6,0.0,11.6,1,1,44,11:34 AM,12:06 AM,07:41 AM,07:20 PM,2,11,11,11,14,4,55,0.0,1014,18,10,238,9
2020-03-02,16,6,0.0,11.6,1,1,51,12:12 PM,01:00 AM,07:40 AM,07:20 PM,2,11,11,11,16,7,58,0.0,1013,16,10,242,10
2020-03-03,14,5,0.0,8.8,1,1,58,12:56 PM,01:55 AM,07:39 AM,07:21 PM,4,8,9,8,12,49,73,4.0,1013,14,10,251,8
2020-03-04,15,5,0.0,7.3,1,1,65,01:45 PM,02:52 AM,07:38 AM,07:21 PM,3,9,10,9,14,60,69,1.8,1013,15,10,240,9
2020-03-05,16,6,0.0,11.6,1,1,73,02:40 PM,03:50 AM,07:37 AM,07:22 PM,3,10,12,10,16,26,68,0.1,1013,16,10,240,10
2020-03-06,15,5,0.0,11.6,1,1,80,03:42 PM,04:46 AM,07:36 AM,07:22 PM,4,9,11,9,16,41,73,0.3,1014,15,8,242,10
2020-03-07,16,6,0.0,11.6,1,1,87,04:47 PM,05:41 AM,07:35 AM,07:23 PM,3,10,11,10,17,30,68,0.1,1013,16,10,245,11
2020-03-08,18,7,0.0,11.6,1,1,95,05:54 PM,06:31 AM,07:34 AM,07:23 PM,3,11,13,11,20,17,62,0.0,1009,18,10,248,14
2020-03-09,16,5,0.0,11.6,1,1,100,07:02 PM,07:19 AM,07:33 AM,07:24 PM,3,9,10,9,14,18,66,0.0,1010,16,10,240,9
