date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,10,4,0.0,8.7,1,1,37,11:04 AM,10:42 PM,06:56 AM,05:10 PM,1,6,7,6,7,33,62,0.0,1031,10,10,109,5
2020-01-02,12,9,0.0,5.5,1,1,44,11:34 AM,11:35 PM,06:56 AM,05:10 PM,6,10,10,10,5,83,77,0.2,1028,12,9,201,4
2020-01-03,11,10,0.0,4.0,1,1,51,12:03 PM,No moonset,06:56 AM,05:11 PM,8,10,10,10,5,81,86,1.6,1026,11,7,242,4
2020-01-04,10,4,0.0,4.0,1,1,59,12:33 PM,12:27 AM,06:56 AM,05:12 PM,8,8,10,8,8,100,91,1.1,1026,10,6,27,6
2020-01-05,17,10,0.0,4.0,1,1,66,01:04 PM,01:21 AM,06:56 AM,05:13 PM,10,13,13,13,10,74,82,0.0,1024,17,10,128,7
2020-01-06,23,12,0.0,8.7,1,1,73,01:38 PM,02:16 AM,06:57 AM,05:13 PM,13,17,17,17,10,42,82,0.0,1019,23,10,187,6
2020-01-07,18,8,0.0,5.5,1,1,80,02:15 PM,03:13 AM,06:57 AM,05:14 PM,10,12,13,12,16,52,80,2.2,1016,18,10,308,11
2020-01-08,10,6,0.0,8.7,1,1,88,02:58 PM,04:12 AM,06:57 AM,05:15 PM,1,5,7,5,16,37,64,0.0,1027,10,10,227,13
2020-01-09,7,1,0.0,4.0,1,1,95,03:48 PM,05:13 AM,06:57 AM,05:16 PM,3,3,6,3,10,74,78,7.5,1025,7,7,36,8
2020-01-10,8,1,0.0,4.0,1,1,100,04:45 PM,06:14 AM,06:57 AM,05:17 PM,7,6,7,6,6,100,92,14.2,1022,8,6,290,4
2020-01-11,8,2,0.0,4.0,1,1,100,05:48 PM,07:13 AM,06:57 AM,05:17 PM,6,5,8,5,12,100,91,14.6,1021,8,9,13,9
2020-01-12,8,4,0.0,4.0,1,1,83,06:54 PM,08:07 AM,06:57 AM,05:18 PM,3,5,7,5,10,54,72,1.3,1024,8,10,226,8
2020-01-13,10,5,0.0,8.7,1,1,76,08:02 PM,08:56 AM,06:57 AM,05:19 PM,2,7,8,7,5,47,67,0.0,1024,10,10,86,4
2020-01-14,8,5,0.0,4.0,1,1,69,09:09 PM,09:40 AM,06:57 AM,05:20 PM,1,5,7,5,12,75,68,0.1,1027,8,10,235,9
2020-01-15,6,-1,0.0,4.0,1,1,61,10:15 PM,10:19 AM,06:57 AM,05:21 PM,3,3,5,3,9,80,85,20.1,1026,6,8,90,7
2020-01-16,7,1,0.0,4.0,1,1,54,11:20 PM,10:57 AM,06:56 AM,05:22 PM,6,5,6,5,11,100,92,13.4,1025,7,8,20,8
2020-01-17,6,5,0.0,4.0,1,1,47,No moonrise,11:33 AM,06:56 AM,05:22 PM,3,3,5,3,14,93,83,3.7,1027,6,8,19,11
2020-01-18,7,5,0.0,4.0,1,1,40,12:23 AM,12:09 PM,06:56 AM,05:23 PM,1,5,6,5,7,76,68,0.0,1026,7,10,125,6
2020-01-19,15,5,0.0,8.7,1,1,32,01:26 AM,12:47 PM,06:56 AM,05:24 PM,3,10,9,10,4,32,64,0.0,1025,15,10,295,3
2020-01-20,14,7,0.0,8.7,1,1,25,02:29 AM,01:28 PM,06:56 AM,05:25 PM,3,10,10,10,5,4,63,0.0,1027,14,10,176,4
2020-01-21,10,7,0.0,5.6,1,1,18,03:32 AM,02:13 PM,06:55 AM,05:26 PM,4,8,9,8,5,47,70,0.1,1025,10,10,168,4
2020-01-22,9,2,0.0,4.0,1,1,11,04:32 AM,03:02 PM,06:55 AM,05:27 PM,7,8,9,8,4,95,88,10.5,1021,9,9,237,3
2020-01-23,10,6,0.0,4.0,1,1,3,05:30 AM,03:55 PM,06:55 AM,05:28 PM,8,8,9,8,9,100,92,20.4,1023,10,8,25,7
2020-01-24,9,8,0.0,4.0,1,1,0,06:22 AM,04:51 PM,06:54 AM,05:29 PM,7,6,8,6,16,100,89,12.6,1027,9,6,39,12
2020-01-25,7,3,0.0,4.0,1,1,0,07:10 AM,05:48 PM,06:54 AM,05:29 PM,6,5,7,5,15,100,92,28.7,1027,7,8,121,11
2020-01-26,7,6,0.0,4.0,1,1,4,07:52 AM,06:44 PM,06:54 AM,05:30 PM,6,4,7,4,19,100,93,34.3,1022,7,7,351,14
2020-01-27,8,5,0.0,4.0,1,1,11,08:29 AM,07:40 PM,06:53 AM,05:31 PM,3,3,6,3,20,86,79,2.4,1021,8,10,338,15
2020-01-28,8,4,0.0,5.6,1,1,18,09:03 AM,08:33 PM,06:53 AM,05:32 PM,1,3,6,3,15,77,72,0.1,1023,8,10,319,11
2020-01-29,10,4,0.0,8.7,1,1,26,09:34 AM,09:27 PM,06:52 AM,05:33 PM,1,4,7,4,17,44,66,0.1,1024,10,10,309,13
2020-01-30,9,5,0.0,5.6,1,1,33,10:03 AM,10:18 PM,06:52 AM,05:34 PM,1,4,7,4,18,52,66,0.5,1024,9,9,315,14
2020-01-31,12,7,0.0,8.7,1,1,37,10:32 AM,11:11 PM,06:51 AM,05:35 PM,1,9,9,9,6,2,56,0.0,1026,12,10,206,5
