date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,4,-3,0.0,9.9,1,1,37,12:16 PM,11:46 PM,08:15 AM,06:01 PM,-6,-1,-0,-1,6,6,63,0.0,1020,4,10,92,4
2020-01-02,3,-5,0.0,9.9,1,1,44,12:43 PM,No moonset,08:15 AM,06:01 PM,-6,-2,-2,-2,4,13,74,0.0,1026,3,10,41,3
2020-01-03,6,-2,0.0,9.9,1,1,51,01:10 PM,12:41 AM,08:16 AM,06:02 PM,-6,1,1,1,2,8,57,0.0,1024,6,10,230,2
2020-01-04,5,-1,0.0,9.9,1,1,59,01:37 PM,01:37 AM,08:16 AM,06:03 PM,-7,1,2,1,4,41,52,0.0,1016,5,10,64,3
2020-01-05,2,-6,0.9,6.6,1,1,66,02:05 PM,02:33 AM,08:16 AM,06:04 PM,-8,-2,-1,-2,8,46,63,1.4,1020,2,8,39,6
2020-01-06,-2,-7,0.4,4.9,1,1,73,02:36 PM,03:31 AM,08:16 AM,06:05 PM,-11,-6,-5,-6,5,74,61,0.7,1027,-2,8,41,3
2020-01-07,3,-7,0.1,9.9,1,1,80,03:12 PM,04:31 AM,08:16 AM,06:06 PM,-7,-2,-2,-2,3,28,72,0.1,1023,3,10,75,2
2020-01-08,3,-3,0.0,9.9,1,1,88,03:53 PM,05:33 AM,08:16 AM,06:06 PM,-7,-1,-1,-1,4,48,63,0.0,1021,3,10,143,3
2020-01-09,-1,-4,0.3,6.6,1,1,95,04:41 PM,06:36 AM,08:16 AM,06:07 PM,-7,-5,-3,-5,6,53,75,0.7,1023,-1,9,127,5
2020-01-10,-1,-5,0.1,5.0,1,1,100,05:38 PM,07:38 AM,08:16 AM,06:08 PM,-6,-4,-3,-4,5,72,83,0.4,1027,-1,9,121,4
2020-01-11,4,-5,0.0,9.9,1,1,100,06:41 PM,08:36 AM,08:16 AM,06:09 PM,-9,-1,-1,-1,4,8,58,0.0,1023,4,10,190,3
2020-01-12,1,-5,0.0,9.9,1,1,83,07:50 PM,09:29 AM,08:16 AM,06:10 PM,-10,-3,-2,-3,7,17,62,0.0,1023,1,10,71,5
2020-01-13,0,-9,0.0,10.0,1,1,76,09:01 PM,10:14 AM,08:15 AM,06:11 PM,-8,-5,-4,-5,3,18,74,0.0,1023,0,10,255,2
2020-01-14,2,-4,0.0,10.0,1,1,69,10:11 PM,10:55 AM,08:15 AM,06:12 PM,-5,-2,-1,-2,5,18,76,0.0,1014,2,10,85,4
2020-01-15,-2,-4,0.1,6.6,1,1,61,11:21 PM,11:31 AM,08:15 AM,06:13 PM,-5,-5,-3,-5,7,64,83,0.5,1022,-2,9,15,6
2020-01-16,0,-6,0.0,10.0,1,1,54,No moonrise,12:05 PM,08:15 AM,06:14 PM,-7,-3,-3,-3,2,12,74,0.0,1027,0,10,46,2
2020-01-17,1,-5,0.0,10.0,1,1,47,12:28 AM,12:37 PM,08:14 AM,06:15 PM,-8,-2,-2,-2,2,10,65,0.0,1025,1,10,221,2
2020-01-18,-2,-5,0.3,6.7,1,1,40,01:36 AM,01:11 PM,08:14 AM,06:16 PM,-9,-5,-3,-5,5,47,67,0.4,1032,-2,9,106,5
2020-01-19,-0,-5,0.0,10.0,1,1,32,02:42 AM,01:46 PM,08:14 AM,06:17 PM,-9,-4,-3,-4,4,31,62,0.0,1029,-0,10,69,3
2020-01-20,1,-5,0.0,10.1,1,1,25,03:48 AM,02:24 PM,08:13 AM,06:18 PM,-9,-2,-2,-2,3,28,61,0.0,1022,1,10,130,2
2020-01-21,3,-4,0.0,10.1,1,1,18,04:53 AM,03:07 PM,08:13 AM,06:19 PM,-7,-1,1,-1,5,22,68,0.2,1018,3,10,83,3
2020-01-22,2,-6,0.0,10.1,1,1,11,05:55 AM,03:55 PM,08:12 AM,06:20 PM,-8,-3,-2,-3,4,10,69,0.0,1021,2,10,43,3
2020-01-23,0,-5,0.2,6.7,1,1,3,06:53 AM,04:48 PM,08:12 AM,06:21 PM,-7,-4,-3,-4,5,67,72,0.5,1027,0,8,132,4
2020-01-24,0,-5,0.4,5.1,1,1,0,07:46 AM,05:44 PM,08:11 AM,06:22 PM,-7,-3,-2,-3,3,87,72,0.5,1032,0,9,134,3
