date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,4,-3,0.0,5.8,1,1,37,12:44 PM,11:47 PM,09:17 AM,05:02 PM,1,-1,2,-1,14,33,89,0.0,1033,4,7,250,10
2020-01-02,7,3,0.0,5.8,1,1,44,01:00 PM,No moonset,09:17 AM,05:03 PM,-3,2,4,2,13,0,59,0.0,1027,7,10,206,9
2020-01-03,6,1,0.0,2.0,1,1,51,01:16 PM,12:54 AM,09:17 AM,05:05 PM,2,0,4,0,31,78,85,1.6,1018,6,10,224,19
2020-01-04,5,2,0.9,2.0,1,1,59,01:32 PM,02:01 AM,09:17 AM,05:06 PM,1,-1,4,-1,37,79,78,7.5,1020,5,9,279,24
2020-01-05,3,-2,0.0,5.8,1,1,66,01:49 PM,03:10 AM,09:17 AM,05:07 PM,-1,-2,1,-2,18,42,84,0.1,1032,3,10,252,12
2020-01-06,5,3,0.0,2.0,1,1,73,02:09 PM,04:20 AM,09:16 AM,05:08 PM,2,1,4,1,16,73,86,0.2,1027,5,9,228,10
2020-01-07,4,1,0.0,3.9,1,1,80,02:35 PM,05:33 AM,09:16 AM,05:10 PM,1,-1,2,-1,17,40,91,0.0,1024,4,7,250,10
2020-01-08,7,1,0.0,2.0,1,1,88,03:08 PM,06:45 AM,09:15 AM,05:11 PM,4,1,5,1,27,90,89,5.7,1022,7,10,221,17
2020-01-09,9,4,0.0,2.0,1,1,95,03:52 PM,07:56 AM,09:15 AM,05:12 PM,7,5,8,5,23,100,95,9.1,1017,9,6,200,14
2020-01-10,10,6,0.0,2.0,1,1,100,04:49 PM,09:00 AM,09:14 AM,05:14 PM,7,6,9,6,27,94,85,8.4,1014,10,8,245,17
2020-01-11,5,4,0.0,5.8,1,1,100,06:00 PM,09:53 AM,09:14 AM,05:15 PM,1,1,5,1,23,64,80,0.0,1028,5,10,243,16
2020-01-12,5,-1,0.0,2.0,1,1,83,07:19 PM,10:35 AM,09:13 AM,05:17 PM,0,-0,4,-0,30,56,75,0.0,1021,5,10,225,19
2020-01-13,6,4,0.0,3.9,1,1,76,08:43 PM,11:08 AM,09:12 AM,05:18 PM,3,3,5,3,23,66,87,0.6,1019,6,9,206,14
2020-01-14,9,3,0.0,2.0,1,1,69,10:08 PM,11:34 AM,09:11 AM,05:20 PM,2,3,6,3,33,61,72,0.0,1012,9,10,208,19
2020-01-15,12,8,0.0,3.9,1,1,61,11:32 PM,11:56 AM,09:11 AM,05:22 PM,3,7,10,7,36,64,64,0.1,1015,12,10,210,21
2020-01-16,11,7,0.0,5.8,1,1,54,No moonrise,12:15 PM,09:10 AM,05:23 PM,5,6,8,6,18,12,82,0.0,1026,11,10,206,12
2020-01-17,8,5,0.0,5.8,1,1,47,12:53 AM,12:35 PM,09:09 AM,05:25 PM,2,3,6,3,23,13,80,0.0,1020,8,10,153,15
2020-01-18,6,4,0.0,2.0,1,1,40,02:14 AM,12:55 PM,09:08 AM,05:26 PM,2,2,5,2,22,74,80,0.1,1022,6,10,244,14
2020-01-19,5,3,0.0,5.8,1,1,32,03:34 AM,01:19 PM,09:07 AM,05:28 PM,2,1,4,1,13,53,87,0.2,1033,5,10,286,9
2020-01-20,5,2,0.0,5.8,1,1,25,04:53 AM,01:46 PM,09:06 AM,05:30 PM,1,0,3,0,13,26,84,0.0,1045,5,9,253,9
2020-01-21,6,1,0.0,5.8,1,1,18,06:08 AM,02:20 PM,09:04 AM,05:32 PM,-1,-1,3,-1,23,17,77,0.0,1039,6,10,259,15
2020-01-22,6,2,0.0,2.1,1,1,11,07:16 AM,03:04 PM,09:03 AM,05:33 PM,2,1,4,1,24,74,87,0.4,1032,6,10,290,16
2020-01-23,4,1,0.0,3.9,1,1,3,08:14 AM,03:57 PM,09:02 AM,05:35 PM,1,0,2,0,12,53,93,0.0,1032,4,6,247,8
2020-01-24,5,-2,0.0,5.8,1,1,0,09:02 AM,04:59 PM,09:01 AM,05:37 PM,-1,-0,2,-0,12,30,80,0.0,1023,5,10,234,8
2020-01-25,3,-0,0.0,5.1,1,1,0,09:39 AM,06:06 PM,08:59 AM,05:39 PM,-2,-1,2,-1,13,69,75,0.0,1021,3,10,252,9
2020-01-26,4,0,0.0,8.7,1,1,4,10:07 AM,07:15 PM,08:58 AM,05:41 PM,-3,0,2,0,11,31,71,0.0,1018,4,10,196,7
2020-01-27,7,2,0.0,5.1,1,1,11,10:30 AM,08:24 PM,08:57 AM,05:42 PM,2,1,4,1,23,79,87,0.6,1011,7,8,212,14
2020-01-28,9,3,0.0,3.3,1,1,18,10:49 AM,09:33 PM,08:55 AM,05:44 PM,2,2,6,2,34,89,75,4.1,994,9,10,223,23
2020-01-29,5,3,0.1,3.3,1,1,26,11:06 AM,10:39 PM,08:54 AM,05:46 PM,0,-1,4,-1,39,100,77,0.8,1000,5,8,260,27
2020-01-30,7,3,0.0,3.4,1,1,33,11:21 AM,11:47 PM,08:52 AM,05:48 PM,2,1,5,1,35,93,80,1.3,1007,7,9,252,22
2020-01-31,10,5,0.0,3.4,1,1,37,11:37 AM,No moonset,08:51 AM,05:50 PM,6,6,9,6,34,92,80,0.6,1003,10,9,275,22
2020-02-01,11,9,0.0,3.4,1,1,49,11:53 AM,12:54 AM,08:49 AM,05:52 PM,8,8,10,8,31,95,85,7.7,1002,11,8,229,19
2020-02-02,9,7,0.0,3.4,1,1,57,12:11 PM,02:02 AM,08:47 AM,05:53 PM,4,4,7,4,32,98,78,4.7,1005,9,7,259,21
2020-02-03,9,6,0.0,3.4,1,1,64,12:34 PM,03:12 AM,08:46 AM,05:55 PM,5,5,8,5,27,100,84,5.1,1006,9,9,269,18
