date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,-5,-11,0.0,8.7,1,1,37,11:34 AM,10:55 PM,07:41 AM,05:04 PM,-17,-12,-8,-12,13,1,45,0.0,1032,-5,10,300,8
2020-01-02,-4,-14,0.0,7.0,1,1,44,11:59 AM,11:53 PM,07:41 AM,05:05 PM,-15,-10,-7,-10,16,34,45,0.0,1033,-4,10,299,9
2020-01-03,-1,-6,0.0,8.7,1,1,51,12:23 PM,No moonset,07:41 AM,05:06 PM,-14,-6,-3,-6,14,4,40,0.0,1030,-1,10,300,8
2020-01-04,1,-4,0.0,8.7,1,1,59,12:48 PM,12:50 AM,07:41 AM,05:07 PM,-12,-4,-1,-4,9,6,43,0.0,1031,1,10,306,6
2020-01-05,-2,-11,0.9,7.0,1,1,66,01:14 PM,01:49 AM,07:41 AM,05:07 PM,-9,-7,-4,-7,8,58,68,1.6,1030,-2,8,103,5
2020-01-06,-2,-13,1.7,7.0,1,1,73,01:43 PM,02:49 AM,07:41 AM,05:08 PM,-8,-7,-5,-7,14,50,72,1.5,1029,-2,9,298,10
2020-01-07,-7,-15,0.0,7.0,1,1,80,02:16 PM,03:51 AM,07:41 AM,05:09 PM,-13,-13,-8,-13,17,48,64,0.0,1031,-7,10,306,11
2020-01-08,-7,-14,0.0,8.7,1,1,88,02:55 PM,04:55 AM,07:41 AM,05:10 PM,-14,-13,-9,-13,13,10,61,0.0,1032,-7,10,306,9
2020-01-09,-5,-15,0.0,8.7,1,1,95,03:43 PM,05:59 AM,07:41 AM,05:11 PM,-14,-11,-8,-11,12,6,58,0.0,1029,-5,10,300,7
2020-01-10,-7,-15,0.0,8.7,1,1,100,04:38 PM,07:02 AM,07:41 AM,05:12 PM,-14,-14,-9,-14,21,3,66,0.0,1030,-7,10,299,12
2020-01-11,-9,-14,0.0,3.6,1,1,100,05:42 PM,08:00 AM,07:40 AM,05:13 PM,-15,-15,-11,-15,13,86,67,0.0,1030,-9,10,301,8
2020-01-12,-7,-17,0.0,8.7,1,1,83,06:52 PM,08:51 AM,07:40 AM,05:14 PM,-16,-15,-10,-15,18,36,58,0.0,1028,-7,10,296,11
2020-01-13,-12,-18,0.0,8.7,1,1,76,08:05 PM,09:36 AM,07:40 AM,05:15 PM,-18,-19,-13,-19,22,5,61,0.0,1031,-12,10,303,14
2020-01-14,-9,-17,0.0,8.7,1,1,69,09:18 PM,10:14 AM,07:40 AM,05:17 PM,-17,-16,-11,-16,11,8,58,0.0,1032,-9,10,303,8
2020-01-15,-4,-16,0.0,7.0,1,1,61,10:30 PM,10:47 AM,07:39 AM,05:18 PM,-16,-13,-9,-13,11,42,55,0.0,1032,-4,10,305,7
2020-01-16,-8,-16,0.0,3.7,1,1,54,11:41 PM,11:19 AM,07:39 AM,05:19 PM,-17,-13,-9,-13,11,65,50,0.0,1033,-8,10,297,6
2020-01-17,-5,-13,0.0,7.0,1,1,47,No moonrise,11:49 AM,07:38 AM,05:20 PM,-14,-11,-8,-11,15,57,55,0.0,1030,-5,10,301,9
2020-01-18,-5,-11,0.0,7.0,1,1,40,12:50 AM,12:19 PM,07:38 AM,05:21 PM,-12,-11,-7,-11,20,28,68,0.0,1026,-5,10,296,13
2020-01-19,-7,-13,0.0,8.7,1,1,32,02:00 AM,12:52 PM,07:38 AM,05:22 PM,-15,-14,-8,-14,22,9,55,0.0,1025,-7,10,298,15
2020-01-20,-5,-13,0.0,8.7,1,1,25,03:08 AM,01:29 PM,07:37 AM,05:23 PM,-17,-13,-8,-13,11,2,47,0.0,1030,-5,10,309,9
2020-01-21,-3,-10,0.0,8.7,1,1,18,04:15 AM,02:09 PM,07:36 AM,05:24 PM,-16,-7,-5,-7,4,3,43,0.0,1026,-3,10,301,3
2020-01-22,-1,-8,0.0,8.7,1,1,11,05:19 AM,02:56 PM,07:36 AM,05:26 PM,-10,-6,-3,-6,9,4,61,0.0,1025,-1,10,302,6
2020-01-23,-3,-10,0.0,8.7,1,1,3,06:17 AM,03:48 PM,07:35 AM,05:27 PM,-10,-8,-4,-8,12,5,61,0.0,1032,-3,10,306,8
2020-01-24,-3,-12,0.0,8.7,1,1,0,07:09 AM,04:45 PM,07:35 AM,05:28 PM,-9,-6,-5,-6,2,25,70,0.0,1038,-3,10,102,2
2020-01-25,-1,-7,0.0,8.7,1,1,0,07:54 AM,05:45 PM,07:34 AM,05:29 PM,-9,-6,-3,-6,9,4,62,0.0,1035,-1,10,305,6
2020-01-26,-2,-11,0.0,7.0,1,1,4,08:32 AM,06:45 PM,07:33 AM,05:30 PM,-10,-4,-3,-4,3,28,55,0.0,1033,-2,10,208,2
2020-01-27,-2,-11,0.0,3.7,1,1,11,09:06 AM,07:45 PM,07:33 AM,05:31 PM,-10,-6,-4,-6,8,100,56,0.0,1026,-2,10,308,5
2020-01-28,-3,-11,0.5,3.8,1,1,18,09:35 AM,08:44 PM,07:32 AM,05:33 PM,-8,-6,-4,-6,6,93,71,0.8,1026,-3,7,295,4
2020-01-29,-1,-8,0.0,8.7,1,1,26,10:01 AM,09:42 PM,07:31 AM,05:34 PM,-9,-7,-3,-7,12,34,63,0.0,1028,-1,10,307,8
2020-01-30,-1,-7,0.0,8.7,1,1,33,10:25 AM,10:39 PM,07:30 AM,05:35 PM,-11,-6,-3,-6,12,8,51,0.0,1026,-1,10,309,8
2020-01-31,-1,-9,0.0,8.7,1,1,37,10:50 AM,11:37 PM,07:29 AM,05:36 PM,-12,-7,-3,-7,20,4,49,0.0,1026,-1,10,304,13
2020-02-01,-5,-11,0.0,8.7,1,1,49,11:15 AM,No moonset,07:28 AM,05:37 PM,-18,-10,-6,-10,9,40,38,0.0,1031,-5,10,238,7
2020-02-02,-6,-15,0.9,5.4,1,1,57,11:42 AM,12:35 AM,07:27 AM,05:39 PM,-14,-12,-7,-12,23,49,59,1.3,1030,-6,7,311,15
2020-02-03,-3,-9,0.0,8.7,1,1,64,12:12 PM,01:35 AM,07:26 AM,05:40 PM,-17,-10,-6,-10,10,4,41,0.0,1029,-3,10,284,7
