date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,33,23,0.0,8.9,1,1,37,10:23 AM,10:47 PM,05:18 AM,05:43 PM,21,29,29,27,15,72,69,0.5,1011,33,10,194,11
2020-01-02,37,24,0.0,11.6,1,1,44,11:06 AM,11:27 PM,05:18 AM,05:43 PM,20,31,31,29,22,44,62,0.2,1011,37,10,64,16
2020-01-03,37,22,0.0,11.6,1,1,51,11:49 AM,No moonset,05:19 AM,05:43 PM,20,31,31,29,23,24,64,0.0,1011,37,10,59,16
2020-01-04,34,24,0.0,11.6,1,1,59,12:32 PM,12:06 AM,05:19 AM,05:44 PM,20,31,31,29,21,38,65,0.0,1012,34,10,53,15
2020-01-05,37,23,0.0,10.2,1,1,66,01:17 PM,12:46 AM,05:20 AM,05:44 PM,19,32,32,30,19,28,62,0.0,1011,37,10,81,13
2020-01-06,36,23,0.0,11.6,1,1,73,02:05 PM,01:29 AM,05:20 AM,05:45 PM,20,30,30,28,21,24,62,0.0,1011,36,10,62,15
2020-01-07,37,23,0.0,11.6,1,1,80,02:56 PM,02:15 AM,05:21 AM,05:45 PM,20,32,32,29,18,28,64,0.0,1012,37,10,61,12
2020-01-08,34,24,0.0,10.2,1,1,88,03:50 PM,03:05 AM,05:21 AM,05:45 PM,21,30,30,28,18,54,68,13.4,1012,34,9,45,12
2020-01-09,31,25,0.0,8.9,1,1,95,04:48 PM,04:00 AM,05:22 AM,05:46 PM,22,30,30,27,21,69,72,17.9,1011,31,8,86,13
2020-01-10,33,24,0.0,8.9,1,1,100,05:47 PM,04:58 AM,05:22 AM,05:46 PM,21,30,30,28,21,59,67,1.2,1012,33,10,72,15
2020-01-11,34,24,0.0,10.2,1,1,100,06:46 PM,05:58 AM,05:23 AM,05:46 PM,20,31,31,28,22,39,63,0.2,1012,34,10,64,16
2020-01-12,36,23,0.0,11.6,1,1,83,07:44 PM,06:59 AM,05:23 AM,05:47 PM,17,30,30,29,20,9,55,0.0,1012,36,10,87,14
2020-01-13,35,25,0.0,11.6,1,1,76,08:37 PM,07:57 AM,05:24 AM,05:47 PM,19,31,31,29,21,26,57,0.1,1011,35,10,71,14
2020-01-14,37,25,0.0,11.6,1,1,69,09:29 PM,08:54 AM,05:24 AM,05:47 PM,19,33,33,31,20,17,58,0.0,1010,37,10,74,14
2020-01-15,35,25,0.0,11.6,1,1,61,10:17 PM,09:48 AM,05:24 AM,05:48 PM,20,31,31,29,22,25,58,0.0,1011,35,10,67,16
2020-01-16,36,25,0.0,11.6,1,1,54,11:05 PM,10:40 AM,05:25 AM,05:48 PM,19,32,32,30,18,31,56,0.0,1012,36,10,78,13
2020-01-17,35,26,0.0,11.6,1,1,47,11:53 PM,11:33 AM,05:25 AM,05:48 PM,20,33,33,30,21,40,58,1.2,1012,35,10,85,15
2020-01-18,35,26,0.0,8.9,1,1,40,No moonrise,12:24 PM,05:26 AM,05:48 PM,21,32,32,29,24,65,62,3.5,1012,35,10,90,16
2020-01-19,36,25,0.0,11.6,1,1,32,12:41 AM,01:17 PM,05:26 AM,05:49 PM,19,32,32,30,24,22,57,0.0,1011,36,10,68,17
2020-01-20,36,25,0.0,11.6,1,1,25,01:32 AM,02:11 PM,05:27 AM,05:49 PM,19,31,31,30,19,25,59,0.0,1010,36,10,68,14
2020-01-21,34,25,0.0,7.5,1,1,18,02:23 AM,03:06 PM,05:27 AM,05:49 PM,21,31,31,29,19,62,65,2.1,1010,34,10,39,13
2020-01-22,36,25,0.0,10.2,1,1,11,03:17 AM,04:01 PM,05:27 AM,05:49 PM,21,32,32,30,18,47,64,0.4,1010,36,10,47,13
2020-01-23,35,26,0.0,11.6,1,1,3,04:11 AM,04:55 PM,05:28 AM,05:49 PM,21,32,32,29,22,33,62,0.0,1010,35,10,58,16
2020-01-24,36,26,0.0,8.9,1,1,0,05:05 AM,05:47 PM,05:28 AM,05:49 PM,20,32,32,30,21,61,58,0.1,1011,36,10,68,15
2020-01-25,35,26,0.0,10.2,1,1,0,05:57 AM,06:35 PM,05:28 AM,05:50 PM,21,32,32,30,22,38,60,0.0,1011,35,10,56,15
2020-01-26,36,26,0.0,11.6,1,1,4,06:46 AM,07:21 PM,05:29 AM,05:50 PM,21,33,33,30,24,36,61,0.1,1011,36,10,64,17
2020-01-27,36,26,0.0,11.6,1,1,11,07:33 AM,08:03 PM,05:29 AM,05:50 PM,21,33,33,30,20,53,61,1.7,1011,36,10,67,14
2020-01-28,36,25,0.0,11.6,1,1,18,08:18 AM,08:43 PM,05:29 AM,05:50 PM,20,32,32,29,21,49,61,1.7,1012,36,10,67,15
2020-01-29,34,25,0.0,11.6,1,1,26,09:01 AM,09:23 PM,05:30 AM,05:50 PM,20,31,31,29,18,38,61,0.0,1011,34,10,72,12
2020-01-30,34,25,0.0,7.5,1,1,33,09:44 AM,10:02 PM,05:30 AM,05:50 PM,20,31,31,29,19,63,60,3.9,1012,34,10,103,13
2020-01-31,35,25,0.0,11.6,1,1,37,10:26 AM,10:41 PM,05:30 AM,05:50 PM,20,31,31,28,18,40,63,3.6,1012,35,10,63,13
2020-02-01,35,25,0.0,8.9,1,1,49,11:10 AM,11:22 PM,05:30 AM,05:50 PM,22,32,32,29,14,53,69,4.3,1013,35,10,57,10
2020-02-02,33,25,0.0,7.5,1,1,57,11:55 AM,No moonset,05:31 AM,05:50 PM,22,31,31,28,19,70,72,28.3,1012,33,8,54,12
2020-02-03,33,24,0.0,7.5,1,1,64,12:43 PM,12:06 AM,05:31 AM,05:50 PM,22,31,31,28,19,58,73,4.7,1013,33,10,54,13
2020-02-04,33,25,0.0,8.8,1,1,72,01:35 PM,12:53 AM,05:31 AM,05:50 PM,22,31,31,28,20,59,71,6.5,1012,33,10,65,13
2020-02-05,34,24,0.0,10.2,1,1,79,02:30 PM,01:44 AM,05:31 AM,05:50 PM,21,31,31,28,21,38,67,1.6,1012,34,10,66,14
2020-02-06,34,24,0.0,8.8,1,1,87,03:29 PM,02:40 AM,05:32 AM,05:50 PM,20,31,31,29,17,36,65,0.7,1012,34,10,67,12
2020-02-07,34,24,0.0,8.8,1,1,95,04:28 PM,03:39 AM,05:32 AM,05:50 PM,20,30,30,28,20,38,64,0.2,1011,34,10,49,14
2020-02-08,35,24,0.0,11.6,1,1,100,05:27 PM,04:40 AM,05:32 AM,05:50 PM,20,31,31,29,19,21,63,0.0,1011,35,10,58,14
2020-02-09,35,25,0.0,6.1,1,1,100,06:24 PM,05:41 AM,05:32 AM,05:50 PM,21,31,31,29,18,57,64,5.8,1013,35,10,77,12
2020-02-10,35,25,0.0,8.8,1,1,83,07:18 PM,06:40 AM,05:32 AM,05:50 PM,21,32,32,29,19,43,66,3.9,1013,35,10,63,13
2020-02-11,36,25,0.0,11.6,1,1,75,08:10 PM,07:38 AM,05:32 AM,05:50 PM,20,32,32,30,19,18,59,0.0,1011,36,10,74,14
2020-02-12,36,24,0.0,11.6,1,1,68,09:00 PM,08:32 AM,05:33 AM,05:49 PM,19,32,32,30,18,15,58,0.0,1011,36,10,65,13
2020-02-13,34,26,0.0,8.8,1,1,60,09:49 PM,09:27 AM,05:33 AM,05:49 PM,21,31,31,28,14,51,66,19.5,1011,34,9,56,9
2020-02-14,34,25,0.0,8.8,1,1,53,10:38 PM,10:20 AM,05:33 AM,05:49 PM,21,31,31,29,14,68,68,5.0,1011,34,9,79,9
2020-02-15,35,25,0.0,11.6,1,1,45,11:29 PM,11:14 AM,05:33 AM,05:49 PM,21,31,31,29,18,28,65,0.0,1011,35,10,63,13
2020-02-16,36,24,0.0,11.6,1,1,38,No moonrise,12:08 PM,05:33 AM,05:49 PM,20,31,31,29,17,22,62,0.0,1011,36,10,81,11
2020-02-17,35,26,0.0,10.2,1,1,30,12:20 AM,01:02 PM,05:33 AM,05:49 PM,21,31,31,29,18,58,64,4.6,1010,35,10,78,12
