date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,10,6,0.0,8.7,1,1,37,10:59 AM,10:37 PM,06:52 AM,05:03 PM,0,7,8,7,10,24,60,0.0,1032,10,10,129,8
2020-01-02,12,9,0.0,3.9,1,1,44,11:29 AM,11:30 PM,06:53 AM,05:04 PM,7,10,11,10,9,84,77,0.1,1029,12,10,181,7
2020-01-03,11,10,0.0,3.9,1,1,51,11:58 AM,No moonset,06:53 AM,05:04 PM,8,10,10,10,7,87,87,1.0,1027,11,7,331,5
2020-01-04,11,2,0.0,3.9,1,1,59,12:27 PM,12:22 AM,06:53 AM,05:05 PM,7,8,9,8,12,100,81,1.1,1026,11,8,41,9
2020-01-05,13,8,0.0,3.9,1,1,66,12:58 PM,01:16 AM,06:53 AM,05:06 PM,8,10,12,10,26,80,74,0.1,1025,13,10,112,17
2020-01-06,21,14,0.0,8.7,1,1,73,01:32 PM,02:11 AM,06:53 AM,05:07 PM,14,16,17,16,17,51,82,0.0,1019,21,9,201,12
2020-01-07,17,8,0.0,4.0,1,1,80,02:09 PM,03:09 AM,06:53 AM,05:07 PM,10,12,13,12,29,77,81,0.9,1015,17,6,277,21
2020-01-08,9,5,0.0,7.1,1,1,88,02:52 PM,04:08 AM,06:53 AM,05:08 PM,-0,4,7,4,22,44,58,0.2,1027,9,10,321,18
2020-01-09,7,1,0.0,4.0,1,1,95,03:41 PM,05:10 AM,06:54 AM,05:09 PM,3,4,6,4,12,88,77,5.1,1026,7,9,30,9
2020-01-10,9,8,0.0,4.0,1,1,100,04:38 PM,06:11 AM,06:54 AM,05:10 PM,6,7,9,7,17,100,84,5.9,1022,9,8,69,13
2020-01-11,9,-0,0.0,4.0,1,1,100,05:41 PM,07:10 AM,06:54 AM,05:11 PM,5,5,7,5,16,100,81,5.5,1021,9,9,11,12
2020-01-12,12,4,0.0,8.7,1,1,83,06:47 PM,08:04 AM,06:53 AM,05:12 PM,1,6,8,6,12,23,59,0.0,1024,12,10,330,10
2020-01-13,10,5,0.0,7.1,1,1,76,07:56 PM,08:52 AM,06:53 AM,05:12 PM,0,7,7,7,7,53,61,0.0,1024,10,10,128,5
2020-01-14,8,6,0.0,4.0,1,1,69,09:03 PM,09:36 AM,06:53 AM,05:13 PM,-0,5,7,5,12,64,61,0.0,1027,8,10,330,10
2020-01-15,8,0,0.0,5.6,1,1,61,10:09 PM,10:15 AM,06:53 AM,05:14 PM,2,3,6,3,16,73,73,6.4,1027,8,8,73,12
2020-01-16,8,7,0.0,4.0,1,1,54,11:15 PM,10:52 AM,06:53 AM,05:15 PM,5,4,7,4,20,100,86,4.9,1025,8,6,46,15
2020-01-17,7,6,0.0,4.0,1,1,47,No moonrise,11:28 AM,06:53 AM,05:16 PM,1,4,6,4,16,90,68,1.0,1026,7,9,336,13
2020-01-18,8,5,0.0,5.6,1,1,40,12:18 AM,12:03 PM,06:53 AM,05:17 PM,-1,4,6,4,9,68,59,0.2,1026,8,10,332,7
2020-01-19,12,5,0.0,8.7,1,1,32,01:22 AM,12:41 PM,06:52 AM,05:18 PM,1,7,8,7,9,19,60,0.0,1025,12,10,287,7
2020-01-20,16,8,0.0,8.7,1,1,25,02:25 AM,01:22 PM,06:52 AM,05:19 PM,4,11,11,11,9,1,61,0.0,1027,16,10,303,8
2020-01-21,12,4,0.0,7.1,1,1,18,03:28 AM,02:06 PM,06:52 AM,05:19 PM,5,7,9,7,19,45,71,0.7,1026,12,8,129,14
2020-01-22,10,4,0.0,4.0,1,1,11,04:29 AM,02:55 PM,06:51 AM,05:20 PM,8,8,10,8,9,88,89,23.8,1021,10,8,275,7
2020-01-23,12,9,0.0,4.0,1,1,3,05:27 AM,03:48 PM,06:51 AM,05:21 PM,7,8,10,8,13,95,86,20.9,1024,12,6,37,10
2020-01-24,10,3,0.0,4.0,1,1,0,06:19 AM,04:44 PM,06:51 AM,05:22 PM,5,6,9,6,22,100,78,5.9,1028,10,9,41,16
2020-01-25,8,4,0.0,4.0,1,1,0,07:06 AM,05:41 PM,06:50 AM,05:23 PM,6,6,8,6,20,100,86,20.9,1026,8,6,127,14
2020-01-26,10,7,0.0,4.0,1,1,4,07:48 AM,06:37 PM,06:50 AM,05:24 PM,6,6,9,6,30,100,86,10.6,1021,10,8,36,21
2020-01-27,8,6,0.0,4.0,1,1,11,08:25 AM,07:34 PM,06:49 AM,05:25 PM,4,4,7,4,23,90,79,1.6,1020,8,9,320,17
2020-01-28,10,5,0.0,8.7,1,1,18,08:58 AM,08:27 PM,06:49 AM,05:26 PM,-0,4,7,4,22,54,62,0.0,1022,10,10,304,17
2020-01-29,10,5,0.0,8.7,1,1,26,09:29 AM,09:21 PM,06:48 AM,05:27 PM,-2,4,7,4,22,23,53,0.0,1023,10,10,304,17
2020-01-30,8,4,0.0,8.7,1,1,33,09:59 AM,10:13 PM,06:48 AM,05:28 PM,-3,3,6,3,21,4,52,0.0,1023,8,10,311,18
2020-01-31,12,5,0.0,8.7,1,1,37,10:27 AM,11:06 PM,06:47 AM,05:28 PM,-5,7,9,7,12,0,39,0.0,1026,12,10,323,11
2020-02-01,15,7,0.0,8.7,1,1,49,10:57 AM,12:00 AM,06:47 AM,05:29 PM,-1,10,10,10,7,10,47,0.0,1027,15,10,145,6
2020-02-02,13,6,0.0,8.7,1,1,57,11:29 AM,No moonset,06:46 AM,05:30 PM,2,9,10,9,11,48,61,0.0,1026,13,10,141,8
2020-02-03,12,8,0.0,8.7,1,1,64,12:03 PM,12:55 AM,06:45 AM,05:31 PM,3,8,10,8,12,48,64,0.0,1027,12,10,44,10
2020-02-04,12,5,0.0,7.2,1,1,72,12:42 PM,01:53 AM,06:45 AM,05:32 PM,3,8,10,8,11,48,62,0.3,1026,12,9,123,9
2020-02-05,12,5,0.0,8.7,1,1,79,01:28 PM,02:52 AM,06:44 AM,05:33 PM,2,7,9,7,17,31,62,0.2,1030,12,10,55,13
2020-02-06,7,5,0.0,4.1,1,1,87,02:19 PM,03:52 AM,06:43 AM,05:34 PM,2,3,6,3,21,93,74,7.1,1030,7,8,81,16
2020-02-07,9,6,0.0,4.1,1,1,95,03:20 PM,04:52 AM,06:43 AM,05:35 PM,3,5,7,5,17,86,77,5.8,1029,9,6,31,13
2020-02-08,10,5,0.0,5.6,1,1,100,04:25 PM,05:49 AM,06:42 AM,05:36 PM,1,6,8,6,11,53,66,0.0,1032,10,10,353,9
2020-02-09,14,6,0.0,8.7,1,1,100,05:34 PM,06:40 AM,06:41 AM,05:36 PM,3,9,11,9,9,1,57,0.0,1030,14,10,287,8
2020-02-10,15,7,0.0,7.2,1,1,83,06:44 PM,07:28 AM,06:40 AM,05:37 PM,3,10,11,10,14,39,59,0.0,1025,15,10,162,11
2020-02-11,12,6,0.0,4.1,1,1,75,07:54 PM,08:10 AM,06:40 AM,05:38 PM,9,8,11,8,23,97,87,12.1,1021,12,6,156,15
2020-02-12,16,11,0.0,4.1,1,1,68,09:02 PM,08:49 AM,06:39 AM,05:39 PM,10,13,13,13,9,69,85,4.2,1019,16,10,276,7
2020-02-13,15,6,0.0,4.1,1,1,60,10:08 PM,09:26 AM,06:38 AM,05:40 PM,11,10,12,10,18,76,88,0.5,1017,15,8,128,13
2020-02-14,17,13,0.0,7.2,1,1,53,11:14 PM,10:03 AM,06:37 AM,05:41 PM,13,15,15,15,19,74,91,0.0,1016,17,8,121,14
2020-02-15,16,2,0.0,4.1,1,1,45,No moonrise,10:41 AM,06:36 AM,05:41 PM,9,9,11,9,21,94,87,8.3,1020,16,6,330,16
