date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,14,9,0.0,10.5,1,1,37,12:01 PM,11:41 PM,07:53 AM,06:04 PM,4,11,11,11,7,35,63,0.0,1024,14,10,45,4
2020-01-02,14,7,0.0,8.4,1,1,44,12:31 PM,No moonset,07:53 AM,06:05 PM,3,10,11,10,6,44,61,0.0,1025,14,10,20,4
2020-01-03,15,8,0.0,10.5,1,1,51,01:01 PM,12:33 AM,07:54 AM,06:06 PM,3,11,11,11,4,27,59,0.0,1025,15,10,203,3
2020-01-04,15,8,0.0,10.0,1,1,59,01:30 PM,01:26 AM,07:54 AM,06:07 PM,4,11,11,11,6,50,61,0.1,1021,15,10,95,4
2020-01-05,12,9,0.0,8.4,1,1,66,02:01 PM,02:19 AM,07:54 AM,06:07 PM,6,10,10,10,8,68,76,0.1,1017,12,10,51,6
2020-01-06,11,9,0.0,5.3,1,1,73,02:34 PM,03:15 AM,07:54 AM,06:08 PM,6,10,10,10,6,78,75,0.2,1017,11,10,128,5
2020-01-07,13,9,0.0,10.6,1,1,80,03:12 PM,04:12 AM,07:54 AM,06:09 PM,5,10,10,10,9,11,69,0.0,1022,13,10,98,6
2020-01-08,10,7,0.0,5.3,1,1,88,03:55 PM,05:12 AM,07:54 AM,06:10 PM,5,8,9,8,12,85,75,0.1,1020,10,10,43,8
2020-01-09,12,7,0.0,10.0,1,1,95,04:45 PM,06:13 AM,07:54 AM,06:10 PM,4,7,8,7,10,59,76,0.1,1020,12,10,75,7
2020-01-10,10,6,0.0,8.4,1,1,100,05:42 PM,07:14 AM,07:54 AM,06:11 PM,3,6,8,6,14,50,74,0.0,1021,10,10,34,10
2020-01-11,14,5,0.0,10.6,1,1,100,06:45 PM,08:12 AM,07:54 AM,06:12 PM,4,9,10,9,7,11,68,0.0,1024,14,10,121,5
2020-01-12,13,6,0.0,8.4,1,1,83,07:52 PM,09:06 AM,07:54 AM,06:13 PM,4,10,10,10,9,28,66,0.0,1019,13,10,61,7
2020-01-13,13,7,0.0,10.6,1,1,76,09:00 PM,09:55 AM,07:54 AM,06:14 PM,3,9,9,9,12,31,66,0.0,1018,13,10,39,8
2020-01-14,13,7,0.0,5.3,1,1,69,10:07 PM,10:38 AM,07:54 AM,06:15 PM,4,9,9,9,11,80,69,0.3,1020,13,9,104,8
2020-01-15,11,7,0.0,5.3,1,1,61,11:14 PM,11:18 AM,07:54 AM,06:15 PM,5,8,9,8,7,95,77,0.3,1019,11,9,80,5
2020-01-16,12,8,0.0,8.5,1,1,54,No moonrise,11:54 AM,07:54 AM,06:16 PM,4,9,9,9,9,64,71,0.0,1024,12,10,67,7
2020-01-17,13,6,0.0,10.6,1,1,47,12:18 AM,12:30 PM,07:54 AM,06:17 PM,3,9,9,9,10,27,66,0.0,1025,13,10,61,7
2020-01-18,11,6,0.0,8.5,1,1,40,01:22 AM,01:06 PM,07:53 AM,06:18 PM,4,8,9,8,10,59,70,0.1,1024,11,10,30,7
